id_m,id_s
n4,s5-1
n5,s6-1
n1,s1-1
n2,s2-1
n3,s3-1
n7,s7-1
n8,s8-1
n6,s4-1
n11,s14-1
n9,s15-1
n10,s9-1
n12,s10-1
n13,s11-1
n16,s16-1
n15,s17-1
n14,s12-1
n18,s19-1
n19,s20-1
n20,s21-1
n21,s22-1
n23,s26-1
n24,s27-1
n22,s23-1
n27,s31-1
n26,s32-1
n25,s28-1
n29,s33-1
n30,s34-1
n28,s29-1
n31,s30-1
n32,s36-1
n33,s37-1
n34,s38-1
n35,s39-1
n36,s40-1
n37,s41-1
n39,s48-1
n38,s43-1
n41,s49-1
n40,s44-1
n43,s50-1
n42,s45-1
n45,s51-1
n44,s46-1
n46,s52-1
n47,s53-1
n49,s59-1
n48,s54-1
n51,s60-1
n50,s55-1
n53,s61-1
n52,s56-1
n54,s62-1
n55,s57-1
n56,s63-1
n57,s64-1
n59,s70-1
n58,s65-1
n61,s71-1
n60,s66-1
n63,s72-1
n62,s67-1
n65,s73-1
n64,s68-1
n66,s74-1
n67,s75-1
n69,s81-1
n68,s76-1
n70,s77-1
n71,s78-1
n72,s79-1
n73,s80-1
n75,s88-1
n76,s89-1
n74,s84-1
n77,s85-1
n80,s90-1
n79,s91-1
n78,s86-1
n85,s97-1
n84,s96-1
n86,s98-1
n87,s99-1
n88,s100-1
n89,s101-1
n90,s102-1
n91,s115-1
n92,s103-1
n93,s104-1
n94,s116-1
n95,s105-1
n96,s106-1
n97,s117-1
n98,s107-1
n99,s108-1
n100,s118-1
n101,s109-1
n102,s110-1
n103,s119-1
n104,s111-1
n105,s112-1
n106,s120-1
n107,s113-1
n108,s114-1
n109,s126-1
n110,s121-1
n111,s122-1
n113,s127-1
n112,s123-1
n114,s124-1
n116,s128-1
n115,s125-1
n117,s129-1
n118,s130-1
n119,s131-1
n121,s144-1
n120,s132-1
n122,s133-1
n124,s145-1
n123,s134-1
n125,s135-1
n126,s146-1
n127,s136-1
n128,s137-1
n129,s147-1
n130,s138-1
n131,s139-1
n132,s148-1
n133,s140-1
n134,s141-1
n135,s149-1
n136,s142-1
n137,s143-1
n138,s162-1
n139,s150-1
n140,s151-1
n141,s152-1
n142,s153-1
n143,s154-1
n144,s155-1
n145,s156-1
n146,s157-1
n147,s158-1
n148,s159-1
n149,s160-1
n150,s161-1
n151,s165-1
n152,s166-1
n153,s167-1
n154,s168-1
n155,s169-1
n156,s170-1
n157,s171-1
n158,s172-1
n159,s173-1
n160,s174-1
n161,s175-1
n162,s176-1
n164,s185-1
n165,s186-1
n163,s178-1
n166,s180-1
n167,s189-1
n169,s187-1
n168,s181-1
n173,s188-1
n172,s183-1
n171a,s184-1
n171,s182-1
n177,s195-1
n176,s193-1
n175,s190-1
n178,s194-1
n182,s5-2
n183,s6-2
n179,s1-2
n180,s2-2
n181,s3-2
n185,s7-2
n186,s8-2
n184,s4-2
n189,s14-2
n187,s15-2
n188,s9-2
n190,s10-2
n191,s11-2
n194,s16-2
n193,s17-2
n192,s12-2
n196,s19-2
n197,s20-2
n198,s21-2
n199,s22-2
n201,s26-2
n202,s27-2
n200,s23-2
n205,s31-2
n204,s32-2
n203,s28-2
n207,s33-2
n208,s34-2
n206,s29-2
n209,s30-2
n210,s36-2
n211,s37-2
n212,s38-2
n213,s39-2
n214,s40-2
n215,s41-2
n217,s48-2
n216,s43-2
n219,s49-2
n218,s44-2
n221,s50-2
n220,s45-2
n223,s51-2
n222,s46-2
n224,s52-2
n225,s53-2
n227,s59-2
n226,s54-2
n229,s60-2
n228,s55-2
n231,s61-2
n230,s56-2
n232,s62-2
n233,s57-2
n234,s63-2
n235,s64-2
n237,s70-2
n236,s65-2
n239,s71-2
n238,s66-2
n241,s72-2
n240,s67-2
n243,s73-2
n242,s68-2
n244,s74-2
n245,s75-2
n247,s81-2
n246,s76-2
n248,s77-2
n249,s78-2
n250,s79-2
n251,s80-2
n253,s88-2
n254,s89-2
n252,s84-2
n255,s85-2
n258,s90-2
n257,s91-2
n256,s86-2
n263,s97-2
n262,s96-2
n264,s98-2
n265,s99-2
n266,s100-2
n267,s101-2
n268,s102-2
n269,s115-2
n270,s103-2
n271,s104-2
n272,s116-2
n273,s105-2
n274,s106-2
n275,s117-2
n276,s107-2
n277,s108-2
n278,s118-2
n279,s109-2
n280,s110-2
n281,s119-2
n282,s111-2
n283,s112-2
n284,s120-2
n285,s113-2
n286,s114-2
n287,s126-2
n288,s121-2
n289,s122-2
n291,s127-2
n290,s123-2
n292,s124-2
n294,s128-2
n293,s125-2
n295,s129-2
n296,s130-2
n297,s131-2
n299,s144-2
n298,s132-2
n300,s133-2
n302,s145-2
n301,s134-2
n303,s135-2
n304,s146-2
n305,s136-2
n306,s137-2
n307,s147-2
n308,s138-2
n309,s139-2
n310,s148-2
n311,s140-2
n312,s141-2
n313,s149-2
n314,s142-2
n315,s143-2
n316,s162-2
n317,s150-2
n318,s151-2
n319,s152-2
n320,s153-2
n321,s154-2
n322,s155-2
n323,s156-2
n324,s157-2
n325,s158-2
n326,s159-2
n327,s160-2
n328,s161-2
n329,s165-2
n330,s166-2
n331,s167-2
n332,s168-2
n333,s169-2
n334,s170-2
n335,s171-2
n336,s172-2
n337,s173-2
n338,s174-2
n339,s175-2
n340,s176-2
n342,s185-2
n343,s186-2
n341,s178-2
n344,s180-2
n345,s189-2
n347,s187-2
n346,s181-2
n351,s188-2
n350,s183-2
n349a,s184-2
n349,s182-2
n355,s195-2
n354,s193-2
n353,s190-2
n356,s194-2
n356a,s196-1
n357,s197-1
n358,s198-1
