id_m,id_s
n3,s6-1
n2,s7-1
n1,s1-1
n4,s2-1
n5,s3-1
n6,s4-1
n7,s5-1
n11,s19-1
n10,s20-1
n9,s13-1
n8,s9-1
n12,s14-1
n13,s15-1
n14,s16-1
n15,s11-1
n16,s12-1
n20,s35-1
n19,s26-1
n18,s27-1
n17,s25-1
n21,s36-1
n22,s37-1
n23,s38-1
n25,s30-1
n24,s31-1
n27,s32-1
n26,s33-1
n31,s51-1
n30,s47-1
n29,s43-1
n28,s39-1
n33,s44-1
n32,s40-1
n35,s45-1
n34,s41-1
n37,s46-1
n36,s42-1
n38,s49-1
n39,s50-1
n41,s65-1
n40,s64-1
n43,s59-1
n42,s53-1
n45,s60-1
n44,s54-1
n47,s61-1
n46,s55-1
n49,s62-1
n48,s56-1
n51,s63-1
n50,s57-1
n55,s78-1
n54,s74-1
n53,s70-1
n52,s66-1
n57,s71-1
n56,s67-1
n59,s72-1
n58,s68-1
n61,s73-1
n60,s69-1
n62,s76-1
n63,s77-1
n65,s94-1
n64,s91-1
n67,s86-1
n66,s80-1
n69,s87-1
n68,s81-1
n71,s88-1
n70,s82-1
n73,s89-1
n72,s83-1
n76,s93-1
n75,s90-1
n74,s84-1
n79,s101-1
n78,s99-1
n77,s95-1
n82,s102-1
undefined,s100-1
n81,s96-1
n86,s113-1
n85,s107-1
n87,s114-1
n88,s115-1
n89,s116-1
n91,s117-1
n90,s109-1
n92,s118-1
n94,s119-1
n93,s110-1
n95,s120-1
n96,s121-1
n97,s122-1
n99,s123-1
n98,s112-1
n100,s124-1
n102,s129-1
n101,s125-1
n103,s130-1
n104,s131-1
n105,s132-1
n106,s133-1
n107,s134-1
n109,s135-1
n108,s126-1
n110,s136-1
n111,s137-1
n112,s138-1
n114,s139-1
n113,s128-1
n115,s140-1
n117,s147-1
n116,s141-1
n118,s148-1
n119,s149-1
n120,s150-1
n122,s151-1
n121,s143-1
n123,s152-1
n125,s153-1
n124,s144-1
n126,s154-1
n127,s155-1
n128,s156-1
n130,s157-1
n129,s146-1
n131,s158-1
n133,s163-1
n132,s159-1
n134,s164-1
n135,s165-1
n136,s166-1
n137,s167-1
n138,s168-1
n140,s169-1
n139,s160-1
n141,s170-1
n142,s171-1
n143,s172-1
n145,s173-1
n144,s162-1
n146,s174-1
n148,s179-1
n147,s175-1
n149,s180-1
n150,s181-1
n151,s182-1
n152,s183-1
n153,s184-1
n155,s185-1
n154,s176-1
n156,s186-1
n157,s187-1
n158,s188-1
n159,s189-1
n160,s190-1
n162,s195-1
n161,s191-1
n163,s196-1
n164,s197-1
n165,s198-1
n166,s199-1
n167,s200-1
n169,s201-1
n168,s192-1
n170,s202-1
n171,s203-1
n172,s204-1
n173,s205-1
n174,s206-1
n176,s211-1
n175,s207-1
n177,s212-1
n178,s213-1
n179,s214-1
n180,s215-1
n181,s216-1
n183,s217-1
n184,s218-1
n185,s219-1
n186,s220-1
n187,s221-1
n188,s222-1
n190,s227-1
n189,s223-1
n191,s228-1
n192,s229-1
n193,s230-1
n194,s231-1
n195,s232-1
n197,s233-1
n196,s224-1
n198,s234-1
n199,s235-1
n200,s236-1
n201,s237-1
n202,s238-1
n203,s245-1
n204,s246-1
n206,s247-1
n205,s240-1
n207,s248-1
