id_m,id_s
n1,s1-1
n3,s6-1
n2,s7-1
n4,s4-1
n5,s5-1
n6,s11-1
n7,s12-1
n8,s9-1
n9,s10-1
n10,s16-1
n11,s17-1
n12,s14-1
n13,s15-1
n14,s21-1
n15,s22-1
n16,s19-1
n17,s20-1
n18,s27-1
n19,s26-1
n20,s24-1
n21,s28-1
n22,s25-1
n23,s34-1
n24,s32-1
n25,s30-1
n27,s35-1
n28,s33-1
n26,s31-1
n29,s40-1
n30,s39-1
n31,s37-1
n33,s41-1
n32,s38-1
n34,s48-1
n36,s46-1
n35,s43-1
n37,s44-1
n39,s52-1
n38,s53-1
n40,s50-1
n41,s51-1
n43,s57-1
n42,s58-1
n44,s55-1
n45,s56-1
n46,s62-1
n47,s63-1
n48,s60-1
n49,s61-1
n51,s67-1
n50,s68-1
n52,s65-1
n53,s66-1
n55,s74-1
n54,s72-1
n56,s70-1
n58,s73-1
n57,s71-1
n60,s79-1
n59,s75-1
n62,s80-1
n61,s76-1
n64,s81-1
n63,s77-1
n67,s88-1
n66,s82-1
n65,s83-1
n68,s84-1
n69,s85-1
n73,s90-1
n72,s91-1
n71,s86-1
n70,s87-1
n76,s98-1
n75,s99-1
n74,s92-1
n79,s96-1
n80,s97-1
n82,s110-1
n83,s107-1
n81,s102-1
n84,s111-1
n85,s112-1
n87,s108-1
n86,s103-1
n88,s104-1
n89,s113-1
n91,s114-1
n93,s109-1
n92,s105-1
n90,s106-1
n94,s115-1
n97,s125-1
n95,s122-1
n98,s116-1
n96,s117-1
n99,s126-1
n101,s127-1
n100,s123-1
n102,s128-1
n103,s129-1
n104,s124-1
n108,s130-1
n107,s120-1
n109,s121-1
n110,s139-1
n111,s136-1
n112,s131-1
n113,s140-1
n114,s141-1
n115,s137-1
n116,s132-1
n117,s133-1
n118,s142-1
n119,s143-1
n120,s138-1
n122,s134-1
n121,s135-1
n123,s144-1
n126,s154-1
n124,s151-1
n127,s145-1
n125,s146-1
n128,s155-1
n129,s156-1
n130,s152-1
n131,s157-1
n133,s158-1
n132,s153-1
n136,s159-1
n137,s149-1
n138,s150-1
n139,s160-1
n140,s161-1
n141,s162-1
n142,s165-1
n143,s166-1
n145,s167-1
n144,s168-1
n146,s169-1
n147,s170-1
n148,s171-1
n149,s174-1
n150,s175-1
n151,s176-1
n152,s177-1
n153,s185-1
n154,s186-1
n155,s179-1
n156,s180-1
n157,s181-1
n158,s182-1
n159,s183-1
n160,s184-1
n164,s194-1
n163,s195-1
n161,s189-1
n162,s190-1
n165,s191-1
n166,s200-1
n169,s203-1
n168,s204-1
n167,s202-1
n173,s208-1
n172,s209-1
n170,s210-1
n171,s205-1
n174,s206-1
n175,s211-1
n176,s212-1
n177,s207-1
n180,s221-1
n179,s215-1
n181,s213-1
n182,s216-1
n178,s214-1
n185,s222-1
n183,s217-1
n184,s218-1
n188,s223-1
n186,s219-1
n187,s220-1
n190,s230-1
n189,s224-1
n193,s228-1
n194,s229-1
n195,s241-1
n196,s238-1
n197,s233-1
n198,s242-1
n201,s243-1
n199,s239-1
n200,s234-1
n202,s235-1
n203,s244-1
n204,s245-1
n205,s240-1
n206,s236-1
n207,s237-1
n208,s246-1
n211,s256-1
n209,s253-1
n212,s247-1
n210,s248-1
n213,s257-1
n215,s258-1
n214,s254-1
n216,s259-1
n219,s260-1
n218,s255-1
n222,s261-1
n221,s251-1
n223,s252-1
n225,s270-1
n226,s267-1
n224,s262-1
n227,s271-1
n229,s272-1
n228,s268-1
n230,s263-1
n231,s264-1
n232,s273-1
n234,s274-1
n233,s269-1
n236,s265-1
n235,s266-1
n237,s275-1
n239,s285-1
n238,s282-1
n241,s276-1
n240,s277-1
n242,s286-1
n244,s287-1
n243,s283-1
n245,s288-1
n247,s289-1
n246,s284-1
n251,s290-1
n250,s280-1
n252,s281-1
n253,s291-1
n254,s292-1
n255,s293-1
n256,s297-1
n257,s298-1
n258,s299-1
n259,s300-1
n260,s301-1
n261,s302-1
n262,s303-1
n263,s307-1
n264,s308-1
n266,s309-1
n265,s310-1
n268,s318-1
n267,s319-1
n269,s312-1
n270,s313-1
n271,s314-1
n272,s315-1
n273,s316-1
n274,s317-1
n277,s327-1
n278,s328-1
n275,s322-1
n276,s323-1
n279,s324-1
n280,s333-1
n283,s336-1
n282,s337-1
n281,s335-1
n286,s342-1
n284,s343-1
n285,s338-1
n288,s339-1
n291,s344-1
n290,s345-1
n289,s340-1
n294,s354-1
n292,s348-1
n296,s346-1
n295,s349-1
n293,s347-1
n299,s355-1
n297,s350-1
n298,s351-1
n300,s356-1
n301,s352-1
n302,s353-1
n304,s359-1
n303,s357-1
n306,s365-1
n305,s366-1
n310,s361-1
n308,s362-1
n307,s363-1
n309,s364-1
n311,s368-1
n312,s369-1
n313,s370-1
n314,s371-1
n315,s372-1
n316,s373-1
n317,s377-1
n318,s378-1
n320,s379-1
n319,s375-1
n321,s380-1
n323,s381-1
n322,s376-1
n324,s382-1
n326,s386-1
n325,s383-1
n328,s387-1
n332,s388-1
n334,s389-1
n335,s384-1
n337,s390-1
n336,s385-1
n338,s391-1
n340,s394-1
n339,s392-1
n341,s395-1
n343,s396-1
n344,s397-1
n346,s398-1
n345,s393-1
n347,s399-1
n348,s402-1
n349,s400-1
n350,s403-1
n351,s404-1
n352,s405-1
n353,s406-1
n354,s401-1
n355,s407-1
n356,s411-1
n357,s412-1
n359,s413-1
n358,s409-1
n360,s414-1
n361,s415-1
n362,s410-1
n363,s416-1
n365,s423-1
n364,s417-1
n367,s424-1
n366,s418-1
n370,s425-1
n368,s419-1
n372,s426-1
n371,s420-1
n374,s427-1
n373,s421-1
n375,s428-1
n376,s422-1
n377,s435-1
n378,s429-1
n379,s436-1
n380,s430-1
n382,s437-1
n381,s431-1
n384,s438-1
n383,s432-1
n386,s439-1
n385,s433-1
n388,s440-1
n387,s434-1
n389,s443-1
n390,s441-1
n391,s444-1
n392,s445-1
n393,s446-1
n394,s447-1
n395,s442-1
n396,s448-1
n397,s452-1
n398,s453-1
n401,s454-1
n399,s450-1
n402,s455-1
n404,s456-1
n403,s451-1
n405,s457-1
n407,s464-1
n406,s458-1
n408,s465-1
n409,s466-1
n411,s467-1
n410,s459-1
n412,s460-1
n413,s461-1
n415,s468-1
n414,s462-1
n417,s469-1
n416,s463-1
n419,s472-1
n418,s470-1
