id_m,id_s
n1,s1-1
n2,s2-1
n3,s3-1
n7,s16-1
n5,s17-1
n6,s18-1
n4,s6-1
n10,s9-1
n9,s8-1
n11,s10-1
n8,s7-1
n12,s11-1
n13,s12-1
n14,s13-1
n18,s19-1
n16,s20-1
n17,s21-1
n15,s14-1
n19,s15-1
n22,s39-1
n21,s31-1
n20,s22-1
n24,s32-1
n23,s23-1
n28,s33-1
n26,s34-1
n27,s29-1
n25,s24-1
n31,s35-1
n32,s36-1
n30,s25-1
n29,s26-1
n36,s37-1
n35,s38-1
n37,s30-1
n33,s27-1
n34,s28-1
n40,s49-1
n41,s50-1
n38,s40-1
n43,s51-1
n42,s52-1
n44,s41-1
n45,s42-1
n48,s53-1
n47,s54-1
n46,s43-1
n49,s44-1
n52,s56-1
n50,s48-1
n51,s45-1
n53,s46-1
n57,s65-1
n56,s64-1
n54,s57-1
n55,s58-1
n58,s59-1
n59,s60-1
n60,s61-1
n62,s66-1
n63,s67-1
n61,s62-1
n64,s63-1
n67,s76-1
n66,s77-1
n68,s78-1
n65,s68-1
n69,s69-1
n70,s70-1
n71,s71-1
n72,s72-1
n73,s73-1
n75,s79-1
n76,s80-1
n74,s74-1
n77,s75-1
n81,s92-1
n80,s93-1
n79,s94-1
n78,s81-1
n82,s82-1
n85,s95-1
n84,s96-1
n83,s97-1
n86,s84-1
n87,s85-1
n88,s86-1
n89,s87-1
n90,s88-1
n91,s89-1
n92,s90-1
n93,s91-1
n94,s99-1
n95,s100-1
n99,s113-1
n96,s107-1
n97,s108-1
n98,s101-1
n100,s102-1
n103,s114-1
n102,s109-1
n104,s110-1
n101,s103-1
n105,s111-1
n106,s112-1
n108,s106-1
n107,s104-1
n109,s105-1
n111,s117-1
n112,s118-1
n110,s115-1
n113,s119-1
n114,s1-2
n115,s2-2
n116,s3-2
n120,s16-2
n118,s17-2
n119,s18-2
n117,s6-2
n123,s9-2
n122,s8-2
n124,s10-2
n121,s7-2
n125,s11-2
n126,s12-2
n127,s13-2
n131,s19-2
n129,s20-2
n130,s21-2
n128,s14-2
n132,s15-2
n135,s39-2
n134,s31-2
n133,s22-2
n137,s32-2
n136,s23-2
n141,s33-2
n139,s34-2
n140,s29-2
n138,s24-2
n144,s35-2
n145,s36-2
n143,s25-2
n142,s26-2
n149,s37-2
n148,s38-2
n150,s30-2
n146,s27-2
n147,s28-2
n153,s49-2
n154,s50-2
n151,s40-2
n156,s51-2
n155,s52-2
n157,s41-2
n158,s42-2
n161,s53-2
n160,s54-2
n159,s43-2
n162,s44-2
n165,s56-2
n163,s48-2
n164,s45-2
n166,s46-2
n170,s65-2
n169,s64-2
n167,s57-2
n168,s58-2
n171,s59-2
n172,s60-2
n173,s61-2
n175,s66-2
n176,s67-2
n174,s62-2
n177,s63-2
n180,s76-2
n179,s77-2
n181,s78-2
n178,s68-2
n182,s69-2
n183,s70-2
n184,s71-2
n185,s72-2
n186,s73-2
n188,s79-2
n189,s80-2
n187,s74-2
n190,s75-2
n194,s92-2
n193,s93-2
n192,s94-2
n191,s81-2
n195,s82-2
n198,s95-2
n197,s96-2
n196,s97-2
n199,s84-2
n200,s85-2
n201,s86-2
n202,s87-2
n203,s88-2
n204,s89-2
n205,s90-2
n206,s91-2
n207,s99-2
n208,s100-2
n212,s113-2
n209,s107-2
n210,s108-2
n211,s101-2
n213,s102-2
n216,s114-2
n215,s109-2
n217,s110-2
n214,s103-2
n218,s111-2
n219,s112-2
n221,s106-2
n220,s104-2
n222,s105-2
n224,s117-2
n225,s118-2
n223,s115-2
n226,s119-2
n228,s120-1
n235,s137-1
n234,s133-1
n233,s127-1
n236,s128-1
n239,s138-1
n238,s134-1
n237,s129-1
n242,s139-1
n241,s135-1
n240,s130-1
n247,s140-1
n245,s141-1
n246,s136-1
n244,s131-1
n243,s132-1
n252,s155-1
n251,s150-1
n250,s156-1
n249,s142-1
n248,s143-1
n255,s151-1
n253,s144-1
n254,s145-1
n257,s157-1
n258,s152-1
n256,s146-1
n261,s158-1
n260,s153-1
n259,s147-1
n266,s159-1
n263,s160-1
n265,s154-1
n264,s148-1
n262,s149-1
n271,s178-1
n269,s172-1
n267,s173-1
n270,s169-1
n268,s161-1
n273,s179-1
n272,s162-1
n275,s175-1
n274,s163-1
n276,s164-1
n278,s176-1
n282,s177-1
n281,s171-1
n286,s187-1
n284,s180-1
n285,s181-1
n288,s182-1
n287,s183-1
n289,s184-1
n290,s185-1
n291,s186-1
n295,s195-1
n294,s196-1
n293,s193-1
n292,s189-1
n297,s197-1
n296,s198-1
n299,s199-1
n298,s200-1
n302,s201-1
n301,s202-1
n300,s190-1
n305,s203-1
n304,s204-1
n303,s191-1
n309,s205-1
n308,s206-1
n306,s194-1
n307,s192-1
n313,s214-1
n312,s215-1
n311,s213-1
n310,s207-1
n314,s208-1
n315,s209-1
n316,s210-1
n317,s211-1
n321,s226-1
n320,s227-1
n319,s228-1
n318,s217-1
n326,s218-1
n329,s229-1
n330,s230-1
n328,s231-1
n327,s219-1
n331,s220-1
n332,s221-1
n336,s232-1
n335,s233-1
n334,s234-1
n333,s222-1
n337,s223-1
n338,s224-1
n339,s225-1
n343,s243-1
n342,s244-1
n341,s245-1
n340,s235-1
n344,s236-1
n345,s237-1
n346,s238-1
n347,s239-1
n348,s240-1
n349,s241-1
n350,s242-1
n354,s259-1
n352,s255-1
n353,s256-1
n351,s247-1
n357,s257-1
n356,s258-1
n355,s248-1
n358,s249-1
n359,s250-1
n360,s251-1
n361,s252-1
n362,s253-1
n363,s254-1
n367,s272-1
n366,s273-1
n365,s274-1
n364,s260-1
n368,s261-1
n369,s262-1
n372,s275-1
n373,s276-1
n371,s266-1
n370,s263-1
n374,s267-1
n378,s277-1
n377,s278-1
n375,s268-1
n376,s264-1
n379,s269-1
n383,s279-1
n382,s280-1
n381,s270-1
n380,s265-1
n384,s271-1
n388,s292-1
n387,s293-1
n386,s287-1
n385,s281-1
n389,s282-1
n390,s283-1
n391,s284-1
n395,s297-1
n393,s295-1
n394,s289-1
n392,s285-1
n396,s296-1
n398,s286-1
n397,s290-1
n399,s291-1
n402,s302-1
n401,s300-1
n400,s298-1
n403,s301-1
n404,s120-2
n411,s137-2
n410,s133-2
n409,s127-2
n412,s128-2
n415,s138-2
n414,s134-2
n413,s129-2
n418,s139-2
n417,s135-2
n416,s130-2
n423,s140-2
n421,s141-2
n422,s136-2
n420,s131-2
n419,s132-2
n428,s155-2
n427,s150-2
n426,s156-2
n425,s142-2
n424,s143-2
n431,s151-2
n429,s144-2
n430,s145-2
n433,s157-2
n434,s152-2
n432,s146-2
n437,s158-2
n436,s153-2
n435,s147-2
n442,s159-2
n439,s160-2
n441,s154-2
n440,s148-2
n438,s149-2
n447,s178-2
n445,s172-2
n443,s173-2
n446,s169-2
n444,s161-2
n449,s179-2
n448,s162-2
n451,s175-2
n450,s163-2
n452,s164-2
n454,s176-2
n458,s177-2
n457,s171-2
n462,s187-2
n460,s180-2
n461,s181-2
n464,s182-2
n463,s183-2
n465,s184-2
n466,s185-2
n467,s186-2
n471,s195-2
n470,s196-2
n469,s193-2
n468,s189-2
n473,s197-2
n472,s198-2
n475,s199-2
n474,s200-2
n478,s201-2
n477,s202-2
n476,s190-2
n481,s203-2
n480,s204-2
n479,s191-2
n485,s205-2
n484,s206-2
n482,s194-2
n483,s192-2
n489,s214-2
n488,s215-2
n487,s213-2
n486,s207-2
n490,s208-2
n491,s209-2
n492,s210-2
n493,s211-2
n497,s226-2
n496,s227-2
n495,s228-2
n494,s217-2
n502,s218-2
n505,s229-2
n506,s230-2
n504,s231-2
n503,s219-2
n507,s220-2
n508,s221-2
n512,s232-2
n511,s233-2
n510,s234-2
n509,s222-2
n513,s223-2
n514,s224-2
n515,s225-2
n519,s243-2
n518,s244-2
n517,s245-2
n516,s235-2
n520,s236-2
n521,s237-2
n522,s238-2
n523,s239-2
n524,s240-2
n525,s241-2
n526,s242-2
n530,s259-2
n528,s255-2
n529,s256-2
n527,s247-2
n533,s257-2
n532,s258-2
n531,s248-2
n534,s249-2
n535,s250-2
n536,s251-2
n537,s252-2
n538,s253-2
n539,s254-2
n543,s272-2
n542,s273-2
n541,s274-2
n540,s260-2
n544,s261-2
n545,s262-2
n548,s275-2
n549,s276-2
n547,s266-2
n546,s263-2
n550,s267-2
n554,s277-2
n553,s278-2
n551,s268-2
n552,s264-2
n555,s269-2
n559,s279-2
n558,s280-2
n557,s270-2
n556,s265-2
n560,s271-2
n564,s292-2
n563,s293-2
n562,s287-2
n561,s281-2
n565,s282-2
n566,s283-2
n567,s284-2
n571,s297-2
n569,s295-2
n570,s289-2
n568,s285-2
n572,s296-2
n574,s286-2
n573,s290-2
n575,s291-2
n578,s302-2
n577,s300-2
n576,s298-2
n579,s301-2
n580,s303-1
n579a,s304-1
n582,s305-1
n581,s306-1
n584,s307-1
n583,s308-1
n587,s319-1
n586,s311-1
n585,s312-1
n588,s320-1
n589,s321-1
n590,s322-1
n591,s323-1
n592,s324-1
n595,s325-1
n594,s313-1
n593,s314-1
n596,s326-1
n599,s327-1
n598,s315-1
n597,s316-1
n600,s328-1
n602,s329-1
n603,s317-1
n601,s318-1
n604,s330-1
n607,s339-1
n606,s331-1
n605,s332-1
n608,s340-1
n609,s341-1
n610,s342-1
n611,s343-1
n612,s344-1
n614,s345-1
n615,s333-1
n613,s334-1
n616,s346-1
n618,s347-1
n619,s335-1
n617,s336-1
n620,s348-1
n622,s349-1
n623,s337-1
n621,s338-1
n624,s350-1
n627,s356-1
n626,s355-1
n625,s351-1
n628,s357-1
n629,s358-1
n630,s359-1
n631,s360-1
n632,s361-1
n633,s362-1
n634,s352-1
n635,s363-1
n637,s364-1
n636,s353-1
n638,s365-1
n640,s366-1
n639,s354-1
n641,s367-1
n644,s377-1
n643,s375-1
n645,s369-1
n642,s368-1
n646,s378-1
n649,s379-1
n648,s376-1
n647,s370-1
n650,s380-1
n651,s381-1
n652,s372-1
n653,s373-1
n654,s374-1
n655,s383-1
n659,s393-1
n657,s394-1
n658,s395-1
n656,s384-1
n662,s396-1
n660,s397-1
n661,s398-1
n666,s399-1
n665,s400-1
n664,s401-1
n663,s386-1
n667,s387-1
n669,s402-1
n671,s403-1
n670,s404-1
n668,s388-1
n672,s389-1
n676,s405-1
n673,s406-1
n675,s407-1
n674,s390-1
n677,s391-1
n682,s417-1
n679,s418-1
n680,s419-1
n681,s420-1
n678,s408-1
n685,s411-1
n684,s410-1
n686,s412-1
n683,s409-1
n687,s413-1
n688,s414-1
n689,s415-1
n690,s416-1
n692,s433-1
n691,s422-1
n693,s423-1
n696,s434-1
n695,s430-1
n694,s424-1
n697,s425-1
n700,s435-1
n698,s431-1
n699,s426-1
n701,s432-1
n703,s429-1
n702,s427-1
n704,s428-1
n707,s440-1
n706,s438-1
n705,s436-1
n708,s439-1
n710,s303-2
n709,s304-2
n712,s305-2
n711,s306-2
n714,s307-2
n713,s308-2
n717,s319-2
n716,s311-2
n715,s312-2
n718,s320-2
n719,s321-2
n720,s322-2
n721,s323-2
n722,s324-2
n725,s325-2
n724,s313-2
n723,s314-2
n726,s326-2
n729,s327-2
n728,s315-2
n727,s316-2
n730,s328-2
n732,s329-2
n733,s317-2
n731,s318-2
n734,s330-2
n737,s339-2
n736,s331-2
n735,s332-2
n738,s340-2
n739,s341-2
n740,s342-2
n741,s343-2
n742,s344-2
n744,s345-2
n745,s333-2
n743,s334-2
n746,s346-2
n748,s347-2
n749,s335-2
n747,s336-2
n750,s348-2
n752,s349-2
n753,s337-2
n751,s338-2
n754,s350-2
n757,s356-2
n756,s355-2
n755,s351-2
n758,s357-2
n759,s358-2
n760,s359-2
n761,s360-2
n762,s361-2
n763,s362-2
n764,s352-2
n765,s363-2
n767,s364-2
n766,s353-2
n768,s365-2
n770,s366-2
n769,s354-2
n771,s367-2
n774,s377-2
n773,s375-2
n775,s369-2
n772,s368-2
n776,s378-2
n779,s379-2
n778,s376-2
n777,s370-2
n780,s380-2
n781,s381-2
n782,s372-2
n783,s373-2
n784,s374-2
n785,s383-2
n789,s393-2
n787,s394-2
n788,s395-2
n786,s384-2
n792,s396-2
n790,s397-2
n791,s398-2
n796,s399-2
n795,s400-2
n794,s401-2
n793,s386-2
n797,s387-2
n799,s402-2
n801,s403-2
n800,s404-2
n798,s388-2
n802,s389-2
n806,s405-2
n803,s406-2
n805,s407-2
n804,s390-2
n807,s391-2
n812,s417-2
n809,s418-2
n810,s419-2
n811,s420-2
n808,s408-2
n815,s411-2
n814,s410-2
n816,s412-2
n817,s413-2
n813,s409-2
n818,s414-2
n819,s415-2
n820,s416-2
n822,s433-2
n821,s422-2
n823,s423-2
n826,s434-2
n825,s430-2
n824,s424-2
n827,s425-2
n830,s435-2
n828,s431-2
n829,s426-2
n831,s432-2
n833,s429-2
n832,s427-2
n834,s428-2
n837,s440-2
n836,s438-2
n835,s436-2
n838,s439-2
n839,s441-1
n840,s442-1
n841,s443-1
n842,s446-1
n843,s452-1
n844,s453-1
n846,s454-1
n845,s447-1
n847,s448-1
n849,s455-1
n848,s449-1
n851,s456-1
n850,s450-1
n852,s457-1
n853,s465-1
n855,s466-1
n854,s458-1
n858,s467-1
n857,s462-1
n856,s459-1
n861,s468-1
n860,s463-1
n859,s460-1
n862,s461-1
n863,s469-1
n864,s479-1
n865,s475-1
n867,s476-1
n866,s470-1
n868,s471-1
n870,s477-1
n869,s472-1
n872,s478-1
n871,s473-1
undefined,s474-1
n876,s488-1
n875,s489-1
n873,s481-1
n874,s482-1
n877,s483-1
n878,s484-1
n879,s485-1
