id_m,id_s
n1,s1-1
n3,s4-1
n4,s5-1
n2,s2-1
n7,s12-1
n6,s13-1
n9,s8-1
n10,s9-1
n11,s10-1
n14,s15-1
n13,s16-1
n12,s11-1
n16,s23-1
n15,s24-1
n19,s19-1
n20,s20-1
n21,s21-1
n23,s26-1
n24,s27-1
n22,s22-1
n26,s39-1
n27,s36-1
n25,s28-1
n28,s29-1
n30,s40-1
n29,s30-1
n31,s31-1
n33,s41-1
n34,s37-1
n32,s32-1
n35,s33-1
n36,s42-1
n38,s38-1
n37,s34-1
n39,s35-1
n42,s54-1
n41,s49-1
n40,s43-1
n44,s50-1
n43,s44-1
n45,s45-1
n46,s46-1
n49,s52-1
n48,s53-1
n47,s47-1
n50,s48-1
n51,s64-1
n52,s65-1
n56,s66-1
n57,s67-1
n55,s58-1
n58,s59-1
n59,s60-1
n60,s61-1
n63,s69-1
n62,s70-1
n61,s62-1
n64,s63-1
n67,s79-1
n65,s80-1
n71,s81-1
n70,s82-1
n69,s73-1
n72,s74-1
n73,s75-1
n74,s76-1
n77,s84-1
n76,s85-1
n75,s77-1
n78,s78-1
n80,s95-1
n79,s86-1
n82,s87-1
n83,s99-1
n84,s96-1
n85,s88-1
n86,s89-1
n87,s100-1
n88,s90-1
n90,s91-1
n93,s93-1
n91,s92-1
n92,s97-1
n98,s111-1
n100,s112-1
n99,s101-1
n101,s113-1
n102,s103-1
n103,s104-1
n104,s114-1
n105,s106-1
n106,s107-1
n107,s115-1
n108,s109-1
n109,s110-1
n110,s128-1
n111,s117-1
n112,s118-1
n113,s129-1
n114,s120-1
n115,s121-1
n116,s130-1
n117,s123-1
n118,s124-1
n119,s131-1
n120,s126-1
n121,s127-1
n122,s144-1
n123,s133-1
n124,s134-1
n127,s145-1
n126,s146-1
n125,s135-1
n128,s136-1
n129,s137-1
n132,s147-1
n130,s148-1
n131,s138-1
n133,s139-1
n134,s140-1
n135,s149-1
n136,s150-1
n137,s141-1
n138,s142-1
n139,s143-1
n142,s163-1
n141,s164-1
n140,s151-1
n143,s152-1
n144,s153-1
n145,s165-1
n146,s154-1
n147,s155-1
n148,s156-1
n149,s166-1
n150,s157-1
n151,s158-1
n153,s159-1
n154,s167-1
n155,s160-1
n156,s161-1
n157,s162-1
n159,s173-1
n158,s168-1
n162,s174-1
n163,s175-1
n161,s170-1
n160,s169-1
n166,s176-1
n165,s177-1
n164,s171-1
