id_m,id_s
n2,s24-1
n3,s8-1
n1,s1-1
n4,s9-1
n6,s10-1
n5,s2-1
n7,s11-1
n9,s12-1
n8,s3-1
n10,s13-1
n12,s14-1
n11,s4-1
n13,s15-1
n15,s25-1
n16,s16-1
n14,s5-1
n17,s17-1
n19,s18-1
n18,s6-1
n20,s19-1
n23,s26-1
n22,s20-1
n21,s7-1
n24,s21-1
n26,s27-1
n25,s22-1
n27,s23-1
n29,s54-1
n28,s28-1
n30,s55-1
n31,s56-1
n32,s57-1
n34,s42-1
n36,s43-1
n38,s44-1
n37,s31-1
n40,s45-1
n39,s32-1
n43,s58-1
n42,s46-1
n41,s33-1
n45,s47-1
n44,s34-1
n47,s48-1
n46,s35-1
n48,s49-1
n49,s36-1
n50,s50-1
n51,s37-1
n56,s51-1
n57,s38-1
n59,s52-1
n58,s39-1
n62,s53-1
n61,s40-1
n64,s83-1
n65,s67-1
n63,s60-1
n66,s68-1
n68,s69-1
n67,s61-1
n69,s70-1
n72,s84-1
n71,s71-1
n70,s62-1
n73,s72-1
n76,s85-1
n75,s73-1
n74,s63-1
n77,s74-1
n80,s86-1
n79,s75-1
n78,s64-1
n81,s76-1
n83,s77-1
n82,s65-1
n84,s78-1
n87,s87-1
n86,s79-1
n85,s66-1
n88,s80-1
n89,s88-1
n90,s81-1
n91,s82-1
n92,s109-1
n95,s110-1
n97,s111-1
n98,s103-1
n96,s91-1
n100,s104-1
n99,s92-1
n103,s112-1
n102,s105-1
n101,s93-1
n107,s113-1
n106,s106-1
n105,s94-1
n104,s95-1
n110,s114-1
n111,s96-1
n109,s97-1
n108,s98-1
n112,s115-1
n114,s116-1
n113,s99-1
n115,s100-1
n116,s101-1
n118,s126-1
n117,s117-1
n119,s127-1
n120,s128-1
n121,s129-1
n123,s130-1
n122,s118-1
n124,s131-1
n125,s132-1
n127,s133-1
n126,s119-1
n129,s134-1
n128,s120-1
n130,s135-1
n131,s136-1
n132,s137-1
n133,s122-1
n134,s138-1
n136,s139-1
n137,s140-1
n138,s141-1
n139,s125-1
n141,s152-1
n140,s142-1
n142,s153-1
n143,s154-1
n144,s155-1
n145,s144-1
n147,s156-1
n146,s145-1
n149,s157-1
n150,s158-1
n151,s159-1
n152,s147-1
n154,s160-1
n152a,s148-1
n155,s161-1
n157,s162-1
n153,s149-1
n162,s163-1
n168,s164-1
n167,s150-1
n169,s165-1
n170,s166-1
n171,s167-1
n173,s181-1
n172,s168-1
n174,s182-1
n175,s183-1
n176,s184-1
n178,s185-1
n177,s169-1
n179,s186-1
n180,s170-1
n182,s187-1
n181,s171-1
n184,s188-1
n183,s172-1
n186,s189-1
n185,s173-1
n188,s190-1
n187,s174-1
n189,s191-1
n190,s175-1
n191,s192-1
n192,s176-1
n194,s193-1
n193,s177-1
n196,s194-1
n195,s178-1
n198,s195-1
n197,s179-1
n200,s196-1
n199,s180-1
n202,s210-1
n201,s197-1
n204,s211-1
n203,s198-1
n206,s212-1
n205,s199-1
n207,s213-1
n208,s200-1
n210,s214-1
n209,s201-1
n211,s215-1
n212,s202-1
n213,s216-1
n214,s203-1
n215,s217-1
n216,s204-1
n219,s218-1
n218,s205-1
n217,s206-1
n220,s219-1
n221,s220-1
n222,s221-1
n224,s222-1
n223,s207-1
n225,s208-1
n226,s223-1
n227,s224-1
n228,s225-1
n230,s242-1
n229,s226-1
n231,s243-1
n232,s244-1
n234,s245-1
n233,s227-1
n235,s228-1
n237,s246-1
n236,s229-1
n239,s247-1
n238,s230-1
n241,s248-1
n240,s231-1
n243,s249-1
n242,s232-1
n245,s250-1
n244,s233-1
n247,s251-1
n246,s234-1
n249,s252-1
n248,s236-1
n251,s253-1
n250,s237-1
n252,s254-1
n253,s239-1
n254,s255-1
n256,s256-1
n255,s240-1
n257,s257-1
n259,s278-1
n258,s258-1
n260,s279-1
n261,s280-1
n263,s281-1
n262,s259-1
n264,s260-1
n266,s282-1
n265,s261-1
n267,s262-1
n268,s283-1
n269,s263-1
n270,s264-1
n272,s284-1
n271,s265-1
n273,s266-1
n275,s285-1
n274,s267-1
n276,s268-1
n278,s286-1
n277,s269-1
n280,s287-1
n279,s270-1
n281,s271-1
n283,s288-1
n282,s272-1
n285,s289-1
n284,s273-1
n286,s274-1
n288,s290-1
n287,s275-1
n289,s291-1
n291,s292-1
n290,s276-1
n292,s293-1
