id_m,id_s
n1,s1-1
n2,s3-1
n4,s5-1
n3,s6-1
n5,s7-1
n6,s8-1
n8,s9-1
n7,s10-1
n9,s11-1
n10,s13-1
n11,s14-1
n12,s15-1
n13,s16-1
n15,s17-1
n14,s18-1
n17,s27-1
n16,s19-1
n18,s20-1
n19,s28-1
n20,s21-1
n21,s22-1
n23,s29-1
n22,s23-1
n24,s24-1
n26,s30-1
n25,s25-1
n27,s26-1
n29,s39-1
n28,s31-1
n30,s32-1
n31,s33-1
n32,s34-1
n34,s40-1
n33,s35-1
n35,s36-1
n36,s37-1
n37,s38-1
n38,s41-1
n40,s43-1
n39,s44-1
n42,s45-1
n41,s46-1
n43,s47-1
n44,s48-1
n45,s49-1
n46,s51-1
n47,s52-1
n49,s53-1
n48,s54-1
n51,s55-1
n50,s56-1
n53,s65-1
n52,s57-1
n54,s58-1
n56,s66-1
n55,s59-1
n57,s60-1
n59,s67-1
n58,s61-1
n60,s62-1
n62,s68-1
n61,s63-1
n63,s64-1
n65,s77-1
n64,s69-1
n66,s70-1
n68,s78-1
n67,s71-1
n69,s72-1
n71,s79-1
n70,s73-1
n72,s74-1
n74,s80-1
n73,s75-1
n75,s76-1
n77,s89-1
n76,s81-1
n78,s82-1
n80,s90-1
n79,s83-1
n81,s84-1
n82,s91-1
n83,s85-1
n84,s86-1
n85,s92-1
n86,s87-1
n87,s88-1
n88,s96-1
n89,s93-1
n90,s97-1
n91,s98-1
n92,s95-1
n97,s107-1
n96,s108-1
n98,s109-1
n95,s99-1
n99,s100-1
n100,s101-1
n101,s102-1
n102,s103-1
n103,s104-1
n104,s105-1
n105,s106-1
n108,s119-1
n106,s120-1
n109,s121-1
n107,s111-1
n110,s112-1
n112,s113-1
n113,s114-1
n114,s115-1
n115,s116-1
n116,s117-1
n117,s118-1
n119,s131-1
n121,s132-1
n120,s133-1
n118,s123-1
n122,s124-1
n123,s125-1
n124,s126-1
n125,s127-1
n126,s128-1
n127,s129-1
n128,s130-1
n131,s143-1
n130,s144-1
n129,s145-1
n132,s135-1
n133,s136-1
n135,s137-1
n136,s138-1
n137,s139-1
n138,s140-1
n139,s141-1
n140,s142-1
n143,s155-1
n141,s156-1
n142,s147-1
n144,s148-1
n145,s149-1
n146,s150-1
n147,s151-1
n148,s152-1
n149,s153-1
n150,s154-1
n151,s165-1
n152,s166-1
n153,s157-1
n154,s158-1
n155,s159-1
n156,s160-1
n159,s167-1
n157,s168-1
n158,s161-1
n160,s162-1
n161,s163-1
n162,s164-1
n165,s177-1
n163,s178-1
n164,s169-1
n166,s170-1
n167,s171-1
n168,s172-1
n169,s173-1
n170,s174-1
n172,s179-1
n173,s180-1
n171,s175-1
n174,s176-1
n175,s185-1
n176,s181-1
n177,s186-1
n178,s187-1
n179,s188-1
n180,s189-1
n181,s183-1
n182,s190-1
n183,s191-1
n184,s184-1
n185,s192-1
n186,s199-1
n187,s193-1
n188,s200-1
n189,s201-1
n190,s194-1
n191,s202-1
n194,s203-1
n193,s195-1
n192,s196-1
n195,s204-1
n196,s205-1
n198,s197-1
n197,s198-1
n199,s206-1
n200,s211-1
n201,s207-1
n202,s208-1
n203,s212-1
n204,s213-1
n205,s214-1
n206,s215-1
n207,s209-1
n208,s216-1
n210,s217-1
n209,s210-1
n212,s218-1
n214,s225-1
n215,s219-1
n216,s226-1
n218,s227-1
n217,s220-1
n220,s228-1
n223,s229-1
n224,s221-1
n222,s222-1
n225,s230-1
n226,s231-1
n228,s223-1
n227,s224-1
n229,s232-1
n232,s237-1
n230,s233-1
n231,s234-1
n233,s236-1
n234,s239-1
n235,s240-1
n236,s241-1
n237,s242-1
n238,s244-1
n240,s250-1
n239,s247-1
n241,s248-1
n244,s251-1
n242,s249-1
n243,s245-1
n245,s252-1
n246,s253-1
n247,s254-1
n248,s255-1
n249,s257-1
n251,s263-1
n250,s260-1
n252,s261-1
n255,s264-1
n253,s262-1
n254,s258-1
n256,s265-1
n257,s266-1
n258,s267-1
n259,s268-1
n260,s270-1
n261,s277-1
n262,s274-1
n263,s275-1
n266,s278-1
n265,s276-1
n264,s272-1
n267,s279-1
n268,s284-1
n269,s285-1
n270,s281-1
n272,s290-1
n271,s286-1
n273,s291-1
n274,s292-1
n276,s288-1
n275,s289-1
n278,s293-1
n277,s294-1
n279,s299-1
n280,s300-1
n282,s296-1
n281,s297-1
n286,s306-1
n285,s307-1
n287,s308-1
n288,s309-1
n289,s310-1
n290,s311-1
n291,s313-1
n292,s314-1
n293,s315-1
n294,s316-1
n295,s317-1
n296,s318-1
n298,s319-1
n297,s320-1
n300,s328-1
n299,s329-1
n301,s330-1
n302,s322-1
n303,s323-1
n304,s331-1
n305,s324-1
n306,s325-1
n308,s332-1
n307,s326-1
n309,s327-1
n311,s341-1
n310,s333-1
n312,s334-1
n313,s342-1
n314,s335-1
n315,s336-1
n316,s343-1
n317,s337-1
n318,s338-1
n319,s344-1
n320,s339-1
n321,s340-1
n322,s353-1
n323,s345-1
n324,s346-1
n325,s354-1
n326,s347-1
n327,s348-1
