id_m,id_s
n1,s1-1
n3,s10-1
n2,s3-1
n5,s12-1
n7,s13-1
n6,s4-1
n8,s5-1
n9,s14-1
n10,s15-1
n12,s16-1
n11,s6-1
n13,s7-1
n15,s9-1
n14,s8-1
n16,s17-1
n17,s18-1
n19,s23-1
n18,s19-1
n20,s24-1
n21,s25-1
n23,s26-1
n22,s20-1
n24,s27-1
n25,s28-1
n26,s29-1
n28,s22-1
n29,s31-1
n30,s41-1
n31,s32-1
n32,s42-1
n33,s33-1
n35,s43-1
n34,s34-1
n37,s44-1
n36,s35-1
n39,s45-1
n38,s36-1
n41,s46-1
n40,s37-1
n43,s47-1
n42,s38-1
n45,s48-1
n44,s39-1
n47,s49-1
n46,s40-1
n49,s54-1
n48,s50-1
n50,s55-1
n51,s56-1
n53,s57-1
n52,s51-1
n54,s58-1
n55,s59-1
n56,s60-1
n57,s61-1
n58,s53-1
n59,s62-1
n61,s72-1
n60,s63-1
n63,s73-1
n62,s64-1
n65,s74-1
n64,s65-1
n67,s75-1
n66,s66-1
n68,s76-1
n69,s67-1
n71,s77-1
n70,s68-1
n73,s78-1
n72,s69-1
n74,s79-1
n75,s70-1
n77,s80-1
n76,s71-1
n78,s90-1
n79,s81-1
n80,s91-1
n81,s92-1
n82,s93-1
n83,s82-1
n84,s83-1
n85,s84-1
n86,s85-1
n87,s89-1
n88,s86-1
n91,s111-1
n92,s112-1
n90,s104-1
n89,s95-1
n94,s105-1
n93,s96-1
n96,s106-1
n95,s97-1
n97,s98-1
n99,s99-1
n100,s100-1
n101,s101-1
n102,s102-1
n103,s110-1
n104,s103-1
n107,s125-1
n108,s126-1
n106,s120-1
n105,s115-1
n110,s121-1
n109,s116-1
n112,s122-1
n111,s117-1
n114,s123-1
n113,s118-1
n115,s128-1
n116,s129-1
n118,s130-1
n117,s131-1
n121,s132-1
n122,s133-1
n120,s124-1
n124,s134-1
n123,s135-1
n126,s136-1
n125,s137-1
n129,s148-1
n128,s149-1
n127,s147-1
n130,s139-1
n131,s140-1
n133,s150-1
n132,s141-1
n134,s142-1
n135,s143-1
n137,s151-1
n136,s144-1
n138,s145-1
n139,s146-1
n142,s166-1
n141,s157-1
n140,s152-1
n143,s158-1
n144,s159-1
n145,s160-1
n146,s161-1
n147,s162-1
n148,s163-1
n149,s164-1
n151,s169-1
