id_m,id_s
n413,s479-1
n414,s472-1
n416,s483-1
n417,s477-1
n415,s473-1
n419,s480-1
n418,s474-1
n421,s481-1
n420,s475-1
n423,s494-1
n422,s484-1
n424,s490-1
n425,s485-1
n427,s491-1
n426,s486-1
n429,s495-1
n428,s487-1
n430,s492-1
n431,s488-1
n433,s493-1
n432,s489-1
n437,s501-1
n436,s502-1
n435,s496-1
n434,s497-1
n441,s507-1
n440,s508-1
n443,s509-1
n442,s510-1
n447,s516-1
n446,s517-1
n445,s512-1
n444,s513-1
n452,s518-1
n451,s519-1
n450,s514-1
n449,s515-1
n455,s525-1
n456,s526-1
n454,s520-1
n453,s521-1
n461,s527-1
n460,s528-1
n459,s522-1
n457,s523-1
n458,s524-1
n463,s541-1
n462,s529-1
n464,s530-1
n465,s542-1
n466,s531-1
n467,s532-1
n468,s543-1
n469,s533-1
n470,s534-1
n471,s544-1
n472,s535-1
n473,s536-1
n474,s545-1
n475,s537-1
n476,s538-1
n478,s546-1
n477,s539-1
n479,s540-1
n480,s559-1
n481,s547-1
n482,s548-1
n484,s560-1
n483,s549-1
n485,s550-1
n486,s561-1
n487,s551-1
n488,s552-1
n489,s562-1
n490,s553-1
n491,s554-1
n493,s563-1
n492,s555-1
n494,s556-1
n495,s564-1
n496,s557-1
n497,s558-1
n498,s571-1
n499,s565-1
n500,s566-1
n501,s567-1
n502,s568-1
n503,s569-1
n504,s570-1
n506,s581-1
n505,s575-1
n507,s576-1
n508,s577-1
n511,s582-1
n510,s583-1
n509,s578-1
n512,s579-1
n513,s580-1
n516,s590-1
n515,s591-1
n514,s584-1
n517,s585-1
n518,s586-1
n520,s592-1
n521,s593-1
n519,s594-1
n522,s587-1
n523,s588-1
n524,s589-1
n526,s607-1
n525,s595-1
n527,s596-1
n529,s608-1
n528,s597-1
n530,s598-1
n531,s609-1
n532,s599-1
n533,s600-1
n534,s610-1
n535,s601-1
n536,s602-1
n537,s611-1
n538,s603-1
n539,s604-1
n541,s612-1
n540,s605-1
n542,s606-1
n544,s625-1
n543,s626-1
n545,s627-1
n546,s613-1
n547,s614-1
n548,s615-1
n549,s616-1
n550,s617-1
n551,s618-1
n552,s619-1
n553,s620-1
n554,s621-1
n555,s622-1
n556,s623-1
n557,s624-1
n558,s644-1
n559,s632-1
n560,s633-1
n562,s645-1
n561,s634-1
n563,s635-1
n564,s636-1
n565,s637-1
n566,s647-1
n567,s638-1
n568,s639-1
n569,s648-1
n570,s640-1
n571,s641-1
n572,s642-1
n573,s643-1
n574,s662-1
n575,s650-1
n576,s651-1
n577,s663-1
n578,s652-1
n579,s653-1
n580,s654-1
n581,s655-1
n583,s665-1
n582,s656-1
n584,s657-1
n585,s666-1
n586,s658-1
n587,s659-1
n588,s660-1
n589,s661-1
n590,s680-1
n591,s668-1
n592,s669-1
n593,s670-1
n594,s671-1
n595,s682-1
n596,s672-1
n597,s673-1
n599,s683-1
n598,s674-1
n600,s675-1
n601,s676-1
n602,s677-1
n604,s685-1
n603,s678-1
n605,s679-1
n606,s695-1
n607,s686-1
n608,s687-1
n609,s688-1
n610,s689-1
n611,s690-1
n612,s691-1
n613,s692-1
n614,s699-1
n615,s700-1
n616,s701-1
n617,s702-1
n618,s703-1
n619,s708-1
n620,s704-1
n621,s709-1
n622,s710-1
n623,s711-1
n625,s712-1
n624,s706-1
n627,s713-1
n626,s707-1
n629,s718-1
n628,s714-1
n630,s719-1
n632,s720-1
n631,s715-1
n634,s721-1
n633,s716-1
n635,s722-1
n636,s723-1
n638,s728-1
n637,s724-1
n639,s729-1
n640,s730-1
n641,s731-1
n643,s732-1
n642,s726-1
n644,s733-1
n645,s727-1
