xml_mn,mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,label,duration_qb,timesig,volta,phraseend,phrase_type
1,1,0.0,1.0,0.0,1.0,0,8,60,6,n24-1,C.I{,2.0,4/4,,{,1
1,1,0.0,0.25,0.0,0.25,0,2,64,5,n8-1,,,,,,0
1,1,0.0,0.5,0.0,0.5,0,4,72,1,n1-1,,,,,,0
1,1,0.25,0.25,0.25,0.25,2,2,67,5,n9-1,,,,,,0
1,1,0.5,0.25,0.5,0.25,4,2,64,5,n10-1,,,,,,0
1,1,0.5,0.5,0.5,0.5,4,4,72,1,n2-1,,,,,,0
1,1,0.75,0.25,0.75,0.25,6,2,67,5,n11-1,,,,,,0
1,1,1.0,0.5,1.0,0.5,8,4,72,1,n3-1,,,,,,0
1,1,1.0,0.25,1.0,0.25,8,2,64,5,n12-1,,,,,,0
1,1,1.25,0.25,1.25,0.25,10,2,67,5,n13-1,,,,,,0
1,1,1.5,0.25,1.5,0.25,12,2,64,5,n14-1,,,,,,0
1,1,1.5,0.5,1.5,0.5,12,4,72,1,n4-1,,,,,,0
1,1,1.75,0.25,1.75,0.25,14,2,67,5,n15-1,,,,,,0
1,1,2.0,0.5,2.0,0.5,16,4,71,1,n5-1,,,,,,0
1,1,2.0,0.25,2.0,0.25,16,2,65,5,n16-1,,,,,,0
1,1,2.0,1.0,2.0,1.0,16,8,62,6,n25-1,V43,,,,,0
1,1,2.25,0.25,2.25,0.25,18,2,67,5,n17-1,,,,,,0
1,1,2.5,0.5,2.5,0.5,20,4,77,1,n6-1,,,,,,0
1,1,2.5,0.25,2.5,0.25,20,2,65,5,n18-1,,,,,,0
1,1,2.75,0.25,2.75,0.25,22,2,67,5,n19-1,,,,,,0
1,1,3.0,0.5,3.0,0.5,24,4,59,6,n26-1,V65,,,,,0
1,1,3.0,0.25,3.0,0.25,24,2,62,5,n20-1,,,,,,0
1,1,3.0,1.0,3.0,1.0,24,8,77,1,n7-1,,,,,,0
1,1,3.25,0.25,3.25,0.25,26,2,67,5,n21-1,,,,,,0
1,1,3.5,0.5,3.5,0.5,28,4,55,6,n27-1,V7,,,,,0
1,1,3.5,0.25,3.5,0.25,28,2,59,5,n22-1,,,,,,0
1,1,3.75,0.25,3.75,0.25,30,2,67,5,n23-1,,,,,,0
2,2,4.0,0.25,4.0,0.25,32,2,60,6,n54-1,I,,,,,0
2,2,4.0,1.0,4.0,1.0,32,8,76,1,n28-1,,,,,,0
2,2,4.25,0.25,4.25,0.25,34,2,67,6,n55-1,,,,,,0
2,2,4.5,0.25,4.5,0.25,36,2,59,6,n56-1,iii64,,,,,0
2,2,4.75,0.25,4.75,0.25,38,2,67,6,n57-1,,,,,,0
2,2,5.0,0.0,5.0,0.0,40,0,79,1,n29-1,,,,,,0
2,2,5.0,0.5,5.0,0.5,40,4,77,1,n30-1,,,,,,0
2,2,5.0,0.25,5.0,0.25,40,2,57,5,n42-1,IV6,,,,,0
2,2,5.25,0.25,5.25,0.25,42,2,60,5,n43-1,,,,,,0
2,2,5.5,0.25,5.5,0.25,44,2,76,1,n31-1,,,,,,0
2,2,5.5,0.25,5.5,0.25,44,2,53,5,n44-1,ii6,,,,,0
2,2,5.75,0.25,5.75,0.25,46,2,74,1,n32-1,,,,,,0
2,2,5.75,0.25,5.75,0.25,46,2,65,5,n45-1,,,,,,0
2,2,6.0,1.5,6.0,1.5,48,12,55,6,n58-1,V(64),,,,,0
2,2,6.0,0.25,6.0,0.25,48,2,72,1,n33-1,,,,,,0
2,2,6.0,0.25,6.0,0.25,48,2,64,5,n46-1,,,,,,0
2,2,6.25,0.25,6.25,0.25,50,2,62,5,n47-1,,,,,,0
2,2,6.25,0.25,6.25,0.25,50,2,71,1,n34-1,,,,,,0
2,2,6.5,0.25,6.5,0.25,52,2,60,5,n48-1,,,,,,0
2,2,6.5,0.25,6.5,0.25,52,2,69,1,n35-1,,,,,,0
2,2,6.75,0.25,6.75,0.25,54,2,59,5,n49-1,,,,,,0
2,2,6.75,0.25,6.75,0.25,54,2,67,1,n36-1,,,,,,0
2,2,7.0,0.25,7.0,0.25,56,2,60,5,n50-1,V,,,,,0
2,2,7.0,0.25,7.0,0.25,56,2,69,1,n37-1,,,,,,0
2,2,7.25,0.25,7.25,0.25,58,2,59,5,n51-1,,,,,,0
