xml_mn,mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,label,duration_qb,timesig,cadence,cadence_type
1,1,0.0,1.0,0.0,1.0,0,24,58,5,n4-1,Bb.I{,1.0,3/4,,0
1,1,0.0,1.0,0.0,1.0,0,24,62,5,n5-1,,,,,0
1,1,0.0,1.0,0.0,1.0,0,24,70,1,n1-1,,,,,0
1,1,1.0,1.0,1.0,1.0,24,24,60,5,n6-1,viio6,1.0,3/4,,0
1,1,1.0,1.0,1.0,1.0,24,24,63,5,n7-1,,,,,0
1,1,1.0,1.0,1.0,1.0,24,24,69,1,n2-1,,,,,0
1,1,2.0,1.0,2.0,1.0,48,24,62,5,n8-1,I6,1.0,3/4,,0
1,1,2.0,1.0,2.0,1.0,48,24,65,5,n9-1,,,,,0
1,1,2.0,1.0,2.0,1.0,48,24,70,1,n3-1,,,,,0
2,2,3.0,1.0,3.0,1.0,72,24,61,5,n12-1,,,,,0
2,2,3.0,2.0,3.0,2.0,72,48,64,1,n10-1,,,,,0
2,2,3.0,3.0,3.0,3.0,72,72,55,6,n15-1,viio65/V,1.0,3/4,,0
2,2,4.0,1.0,4.0,1.0,96,24,60,5,n13-1,V64/V,1.0,3/4,,0
2,2,5.0,2.0,5.0,2.0,120,48,58,5,n14-1,V43/V,1.0,3/4,,0
2,2,5.0,1.0,5.0,1.0,120,24,72,1,n11-1,,,,,0
3,3,6.0,2.5,6.0,2.5,144,60,53,6,n29-1,V(4),1.0,3/4,,0
3,3,6.0,0.0,6.0,0.0,144,0,71,1,n16-1,,,,,0
3,3,6.0,0.0,6.0,0.0,144,0,72,1,n17-1,,,,,0
3,3,6.0,1.5,6.0,1.5,144,36,72,1,n19-1,,,,,0
3,3,6.0,0.0,6.0,0.0,144,0,74,1,n18-1,,,,,0
3,3,7.0,1.5,7.0,1.5,168,36,57,5,n27-1,V,1.5,3/4,,0
3,3,7.5,0.25,7.5,0.25,180,6,70,1,n20-1,,,,,0
3,3,7.75,0.25,7.75,0.25,186,6,69,1,n21-1,,,,,0
3,3,8.0,0.25,8.0,0.25,192,6,67,1,n22-1,,,,,0
3,3,8.25,0.25,8.25,0.25,198,6,65,1,n23-1,,,,,0
3,3,8.5,0.5,8.5,0.5,204,12,55,6,n31-1,IV6,0.5,3/4,,0
3,3,8.5,0.5,8.5,0.5,204,12,58,5,n28-1,,,,,0
3,3,8.5,0.25,8.5,0.25,204,6,63,1,n24-1,,,,,0
3,3,8.75,0.25,8.75,0.25,210,6,67,1,n25-1,,,,,0
4,4,9.0,1.0,9.0,1.0,216,24,57,5,n37-1,V65,1.0,3/4,,0
4,4,9.0,1.0,9.0,1.0,216,24,60,5,n38-1,,,,,0
4,4,9.0,0.5,9.0,0.5,216,12,65,1,n32-1,,,,,0
4,4,9.5,0.5,9.5,0.5,228,12,63,1,n33-1,,,,,0
4,4,10.0,1.0,10.0,1.0,240,24,58,5,n39-1,I},2.0,3/4,,0
4,4,10.0,1.0,10.0,1.0,240,24,62,1,n34-1,,,,,0
4,4,11.0,1.5,11.0,1.5,264,36,74,1,n36-1,,,,,0
4,4,11.0,1.5,11.0,1.5,264,36,65,1,n35-1,{,0.0,3/4,,0
5,5,12.0,3.0,12.0,3.0,288,72,36,5,n52-1,ii(9#74),1.0,3/4,,0
5,5,12.0,3.0,12.0,3.0,288,72,48,5,n53-1,,,,,0
5,5,12.5,0.5,12.5,0.5,300,12,62,1,n43-1,,,,,0
5,5,12.5,0.5,12.5,0.5,300,12,71,1,n44-1,,,,,0
5,5,13.0,0.5,13.0,0.5,312,12,63,1,n45-1,ii,2.0,3/4,,0
5,5,13.0,0.5,13.0,0.5,312,12,72,1,n46-1,,,,,0
5,5,13.5,0.5,13.5,0.5,324,12,65,1,n47-1,,,,,0
5,5,13.5,0.5,13.5,0.5,324,12,74,1,n48-1,,,,,0
5,5,14.0,0.5,14.0,0.5,336,12,67,1,n49-1,,,,,0
5,5,14.0,0.5,14.0,0.5,336,12,75,1,n50-1,,,,,0
5,5,14.5,0.5,14.5,0.5,348,12,72,1,n51-1,,,,,0
6,6,15.0,0.5,15.0,0.5,360,12,70,1,n54-1,,,,,0
6,6,15.0,1.0,15.0,1.0,360,24,60,5,n60-1,viio6,1.0,3/4,,0
6,6,15.0,1.0,15.0,1.0,360,24,63,5,n61-1,,,,,0
6,6,15.5,0.5,15.5,0.5,372,12,69,1,n55-1,,,,,0
6,6,16.0,1.0,16.0,1.0,384,24,62,5,n62-1,I6,2.0,3/4,,0
6,6,16.0,1.0,16.0,1.0,384,24,65,5,n63-1,,,,,0
6,6,16.0,0.5,16.0,0.5,384,12,72,1,n56-1,,,,,0
6,6,16.5,0.5,16.5,0.5,396,12,70,1,n57-1,,,,,0
6,6,17.0,1.5,17.0,1.5,408,36,74,1,n58-1,,,,,0
6,6,17.0,1.5,17.0,1.5,408,36,77,1,n59-1,,,,,0
7,7,18.0,3.0,18.0,3.0,432,72,39,5,n77-1,ii6(11#72),1.0,3/4,,0
7,7,18.0,3.0,18.0,3.0,432,72,51,5,n78-1,,,,,0
7,7,18.5,0.5,18.5,0.5,444,12,74,1,n68-1,,,,,0
7,7,18.5,0.5,18.5,0.5,444,12,71,1,n67-1,,,,,0
7,7,19.0,0.5,19.0,0.5,456,12,72,1,n69-1,ii6,2.0,3/4,,0
7,7,19.0,0.5,19.0,0.5,456,12,75,1,n70-1,,,,,0
7,7,19.5,0.5,19.5,0.5,468,12,74,1,n71-1,,,,,0
7,7,19.5,0.5,19.5,0.5,468,12,77,1,n72-1,,,,,0
7,7,20.0,0.5,20.0,0.5,480,12,75,1,n73-1,,,,,0
7,7,20.0,0.5,20.0,0.5,480,12,79,1,n74-1,,,,,0
7,7,20.5,0.5,20.5,0.5,492,12,72,1,n75-1,,,,,0
7,7,20.5,0.5,20.5,0.5,492,12,75,1,n76-1,,,,,0
8,8,21.0,0.5,21.0,0.5,504,12,74,1,n79-1,,,,,0
8,8,21.0,1.0,21.0,1.0,504,24,69,2,n85-1,,,,,0
8,8,21.0,1.0,21.0,1.0,504,24,53,5,n88-1,V7,1.0,3/4,,0
8,8,21.0,1.0,21.0,1.0,504,24,63,5,n89-1,,,,,0
8,8,21.5,0.5,21.5,0.5,516,12,72,1,n80-1,,,,,0
8,8,22.0,1.0,22.0,1.0,528,24,58,5,n90-1,I,1.0,3/4,,0
8,8,22.0,1.0,22.0,1.0,528,24,62,5,n91-1,,,,,0
8,8,22.0,1.0,22.0,1.0,528,24,70,2,n86-1,,,,,0
8,8,22.0,0.5,22.0,0.5,528,12,75,1,n81-1,,,,,0
8,8,22.5,0.5,22.5,0.5,540,12,74,1,n82-1,,,,,0
8,8,23.0,0.5,23.0,0.5,552,12,79,1,n83-1,,,,,0
8,8,23.0,1.0,23.0,1.0,552,24,72,2,n87-1,,,,,0
8,8,23.0,1.0,23.0,1.0,552,24,45,5,n92-1,V6,1.0,3/4,,0
8,8,23.0,1.0,23.0,1.0,552,24,57,5,n93-1,,,,,0
8,8,23.5,0.5,23.5,0.5,564,12,77,1,n84-1,,,,,0
9,9,24.0,2.0,24.0,2.0,576,48,43,5,n102-1,vi,2.0,3/4,,0
9,9,24.0,2.0,24.0,2.0,576,48,55,5,n103-1,,,,,0
9,9,24.0,1.0,24.0,1.0,576,24,74,2,n100-1,,,,,0
9,9,24.0,0.5,24.0,0.5,576,12,84,1,n94-1,,,,,0
9,9,24.5,0.5,24.5,0.5,588,12,82,1,n95-1,,,,,0
9,9,25.0,0.5,25.0,0.5,600,12,81,1,n96-1,,,,,0
9,9,25.0,2.0,25.0,2.0,600,48,70,2,n101-1,,,,,0
9,9,25.5,0.5,25.5,0.5,612,12,79,1,n97-1,,,,,0
9,9,26.0,1.0,26.0,1.0,624,24,60,5,n104-1,,,,,0
9,9,26.0,1.0,26.0,1.0,624,24,55,6,n105-1,V43/V,1.0,3/4,,0
9,9,26.0,0.5,26.0,0.5,624,12,77,1,n98-1,,,,,0
9,9,26.5,0.5,26.5,0.5,636,12,76,1,n99-1,,,,,0
10,10,27.0,1.0,27.0,1.0,648,24,79,1,n107-1,,,,,0
10,10,27.0,1.0,27.0,1.0,648,24,70,1,n106-1,,,,,0
10,10,27.0,1.0,27.0,1.0,648,24,64,5,n114-1,,,,,0
10,10,27.0,2.0,27.0,2.0,648,48,53,6,n116-1,V(974)},1.0,3/4,,0
10,10,28.0,1.0,28.0,1.0,672,24,65,5,n115-1,V|HC,2.0,3/4,HC,2
10,10,28.0,1.0,28.0,1.0,672,24,69,1,n108-1,,,,,0
10,10,28.0,1.25,28.0,1.25,672,30,77,1,n109-1,,,,,0
10,10,29.25,0.25,29.25,0.25,702,6,79,1,n111-1,,,,,0
10,10,29.5,0.25,29.5,0.25,708,6,75,1,n112-1,,,,,0
10,10,29.75,0.25,29.75,0.25,714,6,72,1,n113-1,,,,,0
11,11,30.0,1.0,30.0,1.0,720,24,58,5,n120-1,I{,1.0,3/4,,0
11,11,30.0,1.0,30.0,1.0,720,24,62,5,n121-1,,,,,0
11,11,30.0,1.0,30.0,1.0,720,24,70,1,n117-1,,,,,0
11,11,31.0,1.0,31.0,1.0,744,24,69,1,n118-1,,,,,0
11,11,31.0,1.0,31.0,1.0,744,24,63,5,n123-1,,,,,0
11,11,31.0,1.0,31.0,1.0,744,24,60,5,n122-1,viio6,1.0,3/4,,0
11,11,32.0,1.0,32.0,1.0,768,24,62,5,n124-1,I6,1.0,3/4,,0
11,11,32.0,1.0,32.0,1.0,768,24,65,5,n125-1,,,,,0
11,11,32.0,1.0,32.0,1.0,768,24,70,1,n119-1,,,,,0
12,12,33.0,3.0,33.0,3.0,792,72,55,6,n131-1,viio65/V,1.0,3/4,,0
12,12,33.0,1.0,33.0,1.0,792,24,61,5,n128-1,,,,,0
12,12,33.0,2.0,33.0,2.0,792,48,64,1,n126-1,,,,,0
12,12,34.0,1.0,34.0,1.0,816,24,60,5,n129-1,V64/V,1.0,3/4,,0
12,12,35.0,2.0,35.0,2.0,840,48,58,5,n130-1,V43/V,1.0,3/4,,0
12,12,35.0,1.0,35.0,1.0,840,24,72,1,n127-1,,,,,0
13,13,36.0,0.0,36.0,0.0,864,0,74,1,n134-1,,,,,0
13,13,36.0,0.0,36.0,0.0,864,0,72,1,n133-1,,,,,0
13,13,36.0,0.0,36.0,0.0,864,0,71,1,n132-1,,,,,0
13,13,36.0,2.5,36.0,2.5,864,60,53,6,n145-1,V(4),1.0,3/4,,0
13,13,36.0,1.5,36.0,1.5,864,36,72,1,n135-1,,,,,0
13,13,37.0,1.5,37.0,1.5,888,36,57,5,n143-1,V,1.5,3/4,,0
13,13,37.5,0.25,37.5,0.25,900,6,70,1,n136-1,,,,,0
13,13,37.75,0.25,37.75,0.25,906,6,69,1,n137-1,,,,,0
13,13,38.0,0.25,38.0,0.25,912,6,67,1,n138-1,,,,,0
13,13,38.25,0.25,38.25,0.25,918,6,65,1,n139-1,,,,,0
13,13,38.5,0.5,38.5,0.5,924,12,55,6,n147-1,IV6,0.5,3/4,,0
13,13,38.5,0.5,38.5,0.5,924,12,58,5,n144-1,,,,,0
13,13,38.5,0.25,38.5,0.25,924,6,63,1,n140-1,,,,,0
13,13,38.75,0.25,38.75,0.25,930,6,67,1,n141-1,,,,,0
14,14,39.0,0.5,39.0,0.5,936,12,65,1,n148-1,,,,,0
14,14,39.0,1.0,39.0,1.0,936,24,57,5,n153-1,V65,1.0,3/4,,0
14,14,39.0,1.0,39.0,1.0,936,24,60,5,n154-1,,,,,0
14,14,39.5,0.5,39.5,0.5,948,12,63,1,n149-1,,,,,0
14,14,40.0,1.0,40.0,1.0,960,24,58,5,n155-1,I},2.0,3/4,,0
14,14,40.0,1.0,40.0,1.0,960,24,62,1,n150-1,,,,,0
14,14,41.0,1.5,41.0,1.5,984,36,65,1,n151-1,{,0.0,3/4,,0
14,14,41.0,1.5,41.0,1.5,984,36,74,1,n152-1,,,,,0
15,15,42.0,3.0,42.0,3.0,1008,72,36,5,n168-1,ii(9#74),1.0,3/4,,0
15,15,42.0,3.0,42.0,3.0,1008,72,48,5,n169-1,,,,,0
15,15,42.5,0.5,42.5,0.5,1020,12,71,1,n160-1,,,,,0
15,15,42.5,0.5,42.5,0.5,1020,12,62,1,n159-1,,,,,0
15,15,43.0,0.5,43.0,0.5,1032,12,72,1,n162-1,,,,,0
15,15,43.0,0.5,43.0,0.5,1032,12,63,1,n161-1,ii,2.0,3/4,,0
15,15,43.5,0.5,43.5,0.5,1044,12,65,1,n163-1,,,,,0
15,15,43.5,0.5,43.5,0.5,1044,12,74,1,n164-1,,,,,0
15,15,44.0,0.5,44.0,0.5,1056,12,67,1,n165-1,,,,,0
15,15,44.0,0.5,44.0,0.5,1056,12,75,1,n166-1,,,,,0
15,15,44.5,0.5,44.5,0.5,1068,12,72,1,n167-1,,,,,0
16,16,45.0,1.0,45.0,1.0,1080,24,60,5,n176-1,viio6,1.0,3/4,,0
16,16,45.0,1.0,45.0,1.0,1080,24,63,5,n177-1,,,,,0
16,16,45.0,0.5,45.0,0.5,1080,12,70,1,n170-1,,,,,0
16,16,45.5,0.5,45.5,0.5,1092,12,69,1,n171-1,,,,,0
16,16,46.0,1.0,46.0,1.0,1104,24,65,5,n179-1,,,,,0
16,16,46.0,0.5,46.0,0.5,1104,12,72,1,n172-1,,,,,0
16,16,46.0,1.0,46.0,1.0,1104,24,62,5,n178-1,I6,2.0,3/4,,0
