xml_mn,mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,label,duration_qb,timesig,cadence,cadence_type
1,1,0.0,0.25,0.0,0.25,0,12,51,5,n12-1,Eb.I{,2.0,4/4,,0
1,1,0.0,1.0,0.0,1.0,0,48,70,1,n1-1,,,,,0
1,1,0.25,0.25,0.25,0.25,12,12,55,5,n13-1,,,,,0
1,1,0.5,0.25,0.5,0.25,24,12,58,5,n14-1,,,,,0
1,1,0.75,0.25,0.75,0.25,36,12,55,5,n15-1,,,,,0
1,1,1.0,0.25,1.0,0.25,48,12,51,5,n16-1,,,,,0
1,1,1.0,0.5,1.0,0.5,48,24,67,1,n2-1,,,,,0
1,1,1.25,0.25,1.25,0.25,60,12,55,5,n17-1,,,,,0
1,1,1.5,0.25,1.5,0.25,72,12,58,5,n18-1,,,,,0
1,1,1.5,0.5,1.5,0.5,72,24,67,1,n3-1,,,,,0
1,1,1.75,0.25,1.75,0.25,84,12,55,5,n19-1,,,,,0
1,1,2.0,1.0,2.0,1.0,96,48,63,2,n9-1,,,,,0
1,1,2.0,0.875,2.0,0.875,96,42,67,1,n4-1,,,,,0
1,1,2.0,0.25,2.0,0.25,96,12,46,5,n20-1,V(64),1.0,4/4,,0
1,1,2.25,0.25,2.25,0.25,108,12,51,5,n21-1,,,,,0
1,1,2.5,0.25,2.5,0.25,120,12,55,5,n22-1,,,,,0
1,1,2.75,0.25,2.75,0.25,132,12,51,5,n23-1,,,,,0
1,1,2.875,0.125,2.875,0.125,138,6,68,1,n5-1,,,,,0
1,1,3.0,0.25,3.0,0.25,144,12,46,5,n24-1,V,1.0,4/4,,0
1,1,3.0,0.5,3.0,0.5,144,24,62,2,n10-1,,,,,0
1,1,3.0,0.5,3.0,0.5,144,24,65,1,n6-1,,,,,0
1,1,3.25,0.25,3.25,0.25,156,12,50,5,n25-1,,,,,0
1,1,3.5,0.25,3.5,0.25,168,12,53,5,n26-1,,,,,0
1,1,3.75,0.25,3.75,0.25,180,12,50,5,n27-1,,,,,0
2,2,4.0,1.0,4.0,1.0,192,48,63,1,n28-1,,,,,0
2,2,4.0,1.0,4.0,1.0,192,48,51,5,n52-1,I,1.0,4/4,,0
2,2,4.0,0.25,4.0,0.25,192,12,55,2,n41-1,,,,,0
2,2,4.25,0.25,4.25,0.25,204,12,58,2,n42-1,,,,,0
2,2,4.5,0.25,4.5,0.25,216,12,55,2,n43-1,,,,,0
2,2,4.75,0.25,4.75,0.25,228,12,58,2,n44-1,,,,,0
2,2,5.0,1.0,5.0,1.0,240,48,46,5,n53-1,V,1.0,4/4,,0
2,2,5.0,0.25,5.0,0.25,240,12,62,2,n45-1,,,,,0
2,2,5.0,1.0,5.0,1.0,240,48,65,1,n29-1,,,,,0
2,2,5.25,0.25,5.25,0.25,252,12,58,2,n46-1,,,,,0
2,2,5.5,0.25,5.5,0.25,264,12,62,2,n47-1,,,,,0
2,2,5.75,0.25,5.75,0.25,276,12,58,2,n48-1,,,,,0
2,2,6.0,1.0,6.0,1.0,288,48,39,5,n54-1,I,3.0,4/4,,0
2,2,6.0,0.5,6.0,0.5,288,24,63,2,n49-1,,,,,0
2,2,6.0,0.375,6.0,0.375,288,18,67,1,n30-1,,,,,0
2,2,6.375,0.125,6.375,0.125,306,6,68,1,n31-1,,,,,0
2,2,6.5,0.125,6.5,0.125,312,6,70,1,n32-1,,,,,0
2,2,6.625,0.125,6.625,0.125,318,6,72,1,n33-1,,,,,0
2,2,6.75,0.125,6.75,0.125,324,6,74,1,n34-1,,,,,0
2,2,6.875,0.125,6.875,0.125,330,6,75,1,n35-1,,,,,0
2,2,7.0,0.25,7.0,0.25,336,12,70,1,n36-1,,,,,0
2,2,7.5,0.25,7.5,0.25,360,12,75,1,n37-1,,,,,0
2,2,7.5,0.25,7.5,0.25,360,12,79,1,n38-1,,,,,0
2,2,7.75,0.25,7.75,0.25,372,12,74,1,n39-1,,,,,0
2,2,7.75,0.25,7.75,0.25,372,12,77,1,n40-1,,,,,0
3,3,8.0,0.25,8.0,0.25,384,12,72,1,n56-1,,,,,0
3,3,8.0,0.25,8.0,0.25,384,12,75,1,n57-1,,,,,0
3,3,8.25,0.25,8.25,0.25,396,12,70,1,n58-1,,,,,0
3,3,8.25,0.25,8.25,0.25,396,12,74,1,n59-1,,,,,0
3,3,8.5,0.25,8.5,0.25,408,12,50,5,n82-1,,,,,0
3,3,8.5,0.25,8.5,0.25,408,12,68,1,n60-1,,,,,0
3,3,8.5,0.25,8.5,0.25,408,12,72,1,n61-1,,,,,0
3,3,8.75,0.25,8.75,0.25,420,12,70,1,n63-1,,,,,0
3,3,8.75,0.25,8.75,0.25,420,12,51,5,n83-1,,,,,0
3,3,8.75,0.25,8.75,0.25,420,12,67,1,n62-1,,,,,0
3,3,9.0,0.25,9.0,0.25,432,12,53,5,n84-1,ii,1.0,4/4,,0
3,3,9.0,0.25,9.0,0.25,432,12,65,1,n64-1,,,,,0
3,3,9.0,0.25,9.0,0.25,432,12,68,1,n65-1,,,,,0
3,3,9.25,0.25,9.25,0.25,444,12,55,5,n85-1,,,,,0
3,3,9.25,0.25,9.25,0.25,444,12,63,1,n66-1,,,,,0
3,3,9.25,0.25,9.25,0.25,444,12,67,1,n67-1,,,,,0
3,3,9.5,0.25,9.5,0.25,456,12,56,5,n86-1,,,,,0
3,3,9.5,0.25,9.5,0.25,456,12,60,1,n68-1,,,,,0
3,3,9.5,0.25,9.5,0.25,456,12,72,1,n69-1,,,,,0
3,3,9.75,0.25,9.75,0.25,468,12,53,5,n87-1,,,,,0
3,3,9.75,0.25,9.75,0.25,468,12,65,1,n70-1,,,,,0
3,3,9.75,0.25,9.75,0.25,468,12,68,1,n71-1,,,,,0
3,3,10.0,1.0,10.0,1.0,480,48,67,1,n72-1,,,,,0
