xml_mn,mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,label,duration_qb,timesig,phraseend,phrase_type
1,1,0.0,2.0,0.0,1.0,0,8,41,5,n13-1,F.I{,7.5,6/8,{,1
1,1,0.0,2.0,0.0,1.0,0,8,45,5,n14-1,,,,,0
1,1,0.0,2.0,0.0,1.0,0,8,48,5,n15-1,,,,,0
1,1,0.0,2.0,0.0,1.0,0,8,53,5,n16-1,,,,,0
1,1,0.5,0.5,0.25,0.25,2,2,84,1,n2-1,,,,,0
1,1,1.0,0.5,0.5,0.25,4,2,83,1,n3-1,,,,,0
1,1,1.5,0.5,0.75,0.25,6,2,84,1,n4-1,,,,,0
1,1,2.0,0.5,1.0,0.25,8,2,89,1,n5-1,,,,,0
1,1,2.5,0.5,1.25,0.25,10,2,84,1,n6-1,,,,,0
1,1,3.0,0.5,1.5,0.25,12,2,82,1,n7-1,,,,,0
1,1,3.5,0.5,1.75,0.25,14,2,81,1,n8-1,,,,,0
1,1,4.0,0.5,2.0,0.25,16,2,80,1,n9-1,,,,,0
1,1,4.5,0.5,2.25,0.25,18,2,81,1,n10-1,,,,,0
1,1,5.0,0.5,2.5,0.25,20,2,84,1,n11-1,,,,,0
1,1,5.5,0.5,2.75,0.25,22,2,81,1,n12-1,,,,,0
2,2,6.0,0.5,3.0,0.25,24,2,79,1,n20-1,,,,,0
2,2,6.5,0.5,3.25,0.25,26,2,77,1,n21-1,,,,,0
2,2,7.0,0.5,3.5,0.25,28,2,76,1,n22-1,,,,,0
2,2,7.5,0.5,3.75,0.25,30,2,77,1,n23-1,,,,,0
2,2,8.0,0.5,4.0,0.25,32,2,81,1,n24-1,,,,,0
2,2,8.5,0.5,4.25,0.25,34,2,77,1,n25-1,,,,,0
2,2,9.0,0.5,4.5,0.25,36,2,74,1,n26-1,,,,,0
2,2,9.5,0.5,4.75,0.25,38,2,72,1,n27-1,,,,,0
2,2,10.0,0.5,5.0,0.25,40,2,71,1,n28-1,,,,,0
2,2,10.5,0.5,5.25,0.25,42,2,72,1,n29-1,,,,,0
2,2,11.0,0.5,5.5,0.25,44,2,77,1,n30-1,,,,,0
2,2,11.5,0.5,5.75,0.25,46,2,72,1,n31-1,,,,,0
3,3,12.0,0.5,6.0,0.25,48,2,70,1,n33-1,,,,,0
3,3,12.5,0.5,6.25,0.25,50,2,69,1,n34-1,,,,,0
3,3,13.0,0.5,6.5,0.25,52,2,68,1,n35-1,,,,,0
3,3,13.5,0.5,6.75,0.25,54,2,69,1,n36-1,,,,,0
3,3,14.0,0.5,7.0,0.25,56,2,72,1,n37-1,,,,,0
3,3,14.5,0.5,7.25,0.25,58,2,69,1,n38-1,,,,,0
3,3,15.0,0.5,7.5,0.25,60,2,65,1,n39-1,,,,,0
3,3,15.0,1.0,7.5,0.5,60,4,57,5,n47-1,I6,,,,0
3,3,15.5,0.5,7.75,0.25,62,2,77,1,n40-1,,,,,0
3,3,16.0,0.5,8.0,0.25,64,2,64,1,n41-1,,,,,0
3,3,16.0,1.0,8.0,0.5,64,4,55,5,n48-1,,,,,0
3,3,16.5,0.5,8.25,0.25,66,2,77,1,n42-1,,,,,0
3,3,17.0,0.5,8.5,0.25,68,2,65,1,n43-1,,,,,0
3,3,17.0,1.0,8.5,0.5,68,4,57,5,n49-1,,,,,0
3,3,17.5,0.5,8.75,0.25,70,2,77,1,n44-1,,,,,0
4,4,18.0,1.0,9.0,0.5,72,4,58,5,n62-1,ii65,,,,0
4,4,18.0,0.5,9.0,0.25,72,2,67,1,n50-1,,,,,0
4,4,18.5,0.5,9.25,0.25,74,2,77,1,n51-1,,,,,0
4,4,19.0,0.5,9.5,0.25,76,2,65,1,n52-1,,,,,0
4,4,19.0,1.0,9.5,0.5,76,4,57,5,n63-1,,,,,0
4,4,19.5,0.5,9.75,0.25,78,2,77,1,n53-1,,,,,0
4,4,20.0,1.0,10.0,0.5,80,4,58,5,n64-1,,,,,0
4,4,20.0,0.5,10.0,0.25,80,2,67,1,n54-1,,,,,0
4,4,20.5,0.5,10.25,0.25,82,2,77,1,n55-1,,,,,0
4,4,21.0,1.0,10.5,0.5,84,4,60,5,n65-1,I64,,,,0
4,4,21.0,0.5,10.5,0.25,84,2,69,1,n56-1,,,,,0
4,4,21.5,0.5,10.75,0.25,86,2,77,1,n57-1,,,,,0
4,4,22.0,0.5,11.0,0.25,88,2,67,1,n58-1,,,,,0
4,4,22.0,1.0,11.0,0.5,88,4,58,5,n66-1,,,,,0
4,4,22.5,0.5,11.25,0.25,90,2,77,1,n59-1,,,,,0
4,4,23.0,0.5,11.5,0.25,92,2,69,1,n60-1,,,,,0
4,4,23.0,1.0,11.5,0.5,92,4,60,5,n67-1,,,,,0
4,4,23.5,0.5,11.75,0.25,94,2,77,1,n61-1,,,,,0
5,5,24.0,2.0,12.0,1.0,96,8,61,5,n80-1,iv6,,,,0
5,5,24.0,0.5,12.0,0.25,96,2,70,1,n68-1,,,,,0
5,5,24.5,0.5,12.25,0.25,98,2,77,1,n69-1,,,,,0
5,5,25.0,0.5,12.5,0.25,100,2,70,1,n70-1,,,,,0
5,5,25.5,0.5,12.75,0.25,102,2,77,1,n71-1,,,,,0
5,5,26.0,1.0,13.0,0.5,104,4,60,5,n81-1,V(64),,,,0
5,5,26.0,0.5,13.0,0.25,104,2,69,1,n72-1,,,,,0
5,5,26.5,0.5,13.25,0.25,106,2,77,1,n73-1,,,,,0
5,5,27.0,0.5,13.5,0.25,108,2,70,1,n74-1,,,,,0
5,5,27.0,2.0,13.5,1.0,108,8,61,5,n82-1,iv6,,,,0
5,5,27.5,0.5,13.75,0.25,110,2,77,1,n75-1,,,,,0
5,5,28.0,0.5,14.0,0.25,112,2,70,1,n76-1,,,,,0
5,5,28.5,0.5,14.25,0.25,114,2,77,1,n77-1,,,,,0
5,5,29.0,1.0,14.5,0.5,116,4,60,5,n83-1,V(64),,,,0
5,5,29.0,0.5,14.5,0.25,116,2,69,1,n78-1,,,,,0
5,5,29.5,0.5,14.75,0.25,118,2,77,1,n79-1,,,,,0
6,6,30.0,0.5,15.0,0.25,120,2,68,1,n84-1,,,,,0
6,6,30.0,1.0,15.0,0.5,120,4,59,5,n94-1,viio7/V,,,,0
6,6,30.5,0.5,15.25,0.25,122,2,77,1,n85-1,,,,,0
6,6,31.0,1.0,15.5,0.5,124,4,59,5,n95-1,,,,,0
6,6,31.0,0.5,15.5,0.25,124,2,68,1,n86-1,,,,,0
6,6,31.5,0.5,15.75,0.25,126,2,77,1,n87-1,,,,,0
6,6,32.0,0.5,16.0,0.25,128,2,68,1,n88-1,,,,,0
6,6,32.0,1.0,16.0,0.5,128,4,59,5,n96-1,,,,,0
6,6,32.5,0.5,16.25,0.25,130,2,77,1,n89-1,,,,,0
6,6,33.0,1.0,16.5,0.5,132,4,76,1,n91-1,,,,,0
6,6,33.0,1.0,16.5,0.5,132,4,60,5,n97-1,V|HC},1.5,6/8,},3
6,6,33.0,1.0,16.5,0.5,132,4,67,1,n90-1,,,,,0
7,7,36.0,2.0,18.0,1.0,144,8,53,5,n115-1,,,,,0
7,7,36.0,2.0,18.0,1.0,144,8,41,5,n112-1,I{,7.5,6/8,{,1
7,7,36.0,2.0,18.0,1.0,144,8,45,5,n113-1,,,,,0
7,7,36.0,2.0,18.0,1.0,144,8,48,5,n114-1,,,,,0
7,7,36.5,0.5,18.25,0.25,146,2,84,1,n101-1,,,,,0
7,7,37.0,0.5,18.5,0.25,148,2,83,1,n102-1,,,,,0
7,7,37.5,0.5,18.75,0.25,150,2,84,1,n103-1,,,,,0
7,7,38.0,0.5,19.0,0.25,152,2,89,1,n104-1,,,,,0
7,7,38.5,0.5,19.25,0.25,154,2,84,1,n105-1,,,,,0
7,7,39.0,0.5,19.5,0.25,156,2,82,1,n106-1,,,,,0
7,7,39.5,0.5,19.75,0.25,158,2,81,1,n107-1,,,,,0
7,7,40.0,0.5,20.0,0.25,160,2,80,1,n108-1,,,,,0
7,7,40.5,0.5,20.25,0.25,162,2,81,1,n109-1,,,,,0
7,7,41.0,0.5,20.5,0.25,164,2,84,1,n110-1,,,,,0
7,7,41.5,0.5,20.75,0.25,166,2,81,1,n111-1,,,,,0
8,8,42.0,0.5,21.0,0.25,168,2,79,1,n119-1,,,,,0
8,8,42.5,0.5,21.25,0.25,170,2,77,1,n120-1,,,,,0
8,8,43.0,0.5,21.5,0.25,172,2,76,1,n121-1,,,,,0
8,8,43.5,0.5,21.75,0.25,174,2,77,1,n122-1,,,,,0
8,8,44.0,0.5,22.0,0.25,176,2,81,1,n123-1,,,,,0
