xml_mn,mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,label,duration_qb,timesig,phraseend,phrase_type
1,1,0.0,1.0,0.0,1.0,0,24,41,5,n9-1,F.I[I{,7.0,3/4,{,1
1,1,0.0,1.0,0.0,1.0,0,24,53,5,n10-1,,,,,0
1,1,0.0,1.0,0.0,1.0,0,24,60,1,n1-1,,,,,0
1,1,0.0,1.0,0.0,1.0,0,24,72,1,n4-1,,,,,0
1,1,0.0,1.0,0.0,1.0,0,24,65,1,n2-1,,,,,0
1,1,0.0,1.0,0.0,1.0,0,24,69,1,n3-1,,,,,0
1,1,1.0,1.0,1.0,1.0,24,24,72,1,n6-1,,,,,0
1,1,1.0,1.0,1.0,1.0,24,24,48,5,n11-1,,,,,0
1,1,1.0,1.0,1.0,1.0,24,24,69,1,n5-1,,,,,0
1,1,2.0,1.0,2.0,1.0,48,24,45,5,n12-1,,,,,0
1,1,2.0,1.0,2.0,1.0,48,24,72,1,n8-1,,,,,0
1,1,2.0,1.0,2.0,1.0,48,24,69,1,n7-1,,,,,0
2,2,3.0,1.5,3.0,1.5,72,36,69,1,n13-1,,,,,0
2,2,3.0,1.0,3.0,1.0,72,24,41,5,n21-1,,,,,0
2,2,3.0,1.5,3.0,1.5,72,36,72,1,n14-1,,,,,0
2,2,4.0,1.0,4.0,1.0,96,24,29,5,n22-1,,,,,0
2,2,4.5,0.25,4.5,0.25,108,6,74,1,n15-1,,,,,0
2,2,4.75,0.25,4.75,0.25,114,6,72,1,n16-1,,,,,0
2,2,5.0,0.25,5.0,0.25,120,6,70,1,n17-1,,,,,0
2,2,5.25,0.25,5.25,0.25,126,6,69,1,n18-1,,,,,0
2,2,5.5,0.25,5.5,0.25,132,6,67,1,n19-1,,,,,0
2,2,5.75,0.25,5.75,0.25,138,6,65,1,n20-1,,,,,0
3,3,6.0,0.5,6.0,0.5,144,12,53,5,n27-1,,,,,0
3,3,6.0,0.5,6.0,0.5,144,12,57,5,n28-1,,,,,0
3,3,6.0,1.0,6.0,1.0,144,24,77,1,n24-1,,,,,0
3,3,6.5,0.5,6.5,0.5,156,12,53,5,n29-1,,,,,0
3,3,6.5,0.5,6.5,0.5,156,12,57,5,n30-1,,,,,0
3,3,7.0,0.5,7.0,0.5,168,12,55,5,n32-1,,,,,0
3,3,7.0,0.5,7.0,0.5,168,12,53,5,n31-1,viio6,,,,0
3,3,7.0,0.5,7.0,0.5,168,12,58,5,n33-1,,,,,0
3,3,7.0,1.0,7.0,1.0,168,24,76,1,n25-1,,,,,0
3,3,7.5,0.5,7.5,0.5,180,12,53,5,n34-1,,,,,0
3,3,7.5,0.5,7.5,0.5,180,12,55,5,n35-1,,,,,0
3,3,7.5,0.5,7.5,0.5,180,12,58,5,n36-1,,,,,0
3,3,8.0,0.5,8.0,0.5,192,12,53,5,n37-1,V7/IV,,,,0
3,3,8.0,0.5,8.0,0.5,192,12,57,5,n38-1,,,,,0
3,3,8.0,0.5,8.0,0.5,192,12,60,5,n39-1,,,,,0
3,3,8.0,1.0,8.0,1.0,192,24,75,1,n26-1,,,,,0
3,3,8.5,0.5,8.5,0.5,204,12,60,5,n42-1,,,,,0
3,3,8.5,0.5,8.5,0.5,204,12,57,5,n41-1,,,,,0
3,3,8.5,0.5,8.5,0.5,204,12,53,5,n40-1,,,,,0
4,4,9.0,1.0,9.0,1.0,216,24,74,1,n43-1,,,,,0
4,4,9.0,0.5,9.0,0.5,216,12,62,5,n48-1,,,,,0
4,4,9.0,0.5,9.0,0.5,216,12,58,5,n47-1,,,,,0
4,4,9.0,0.5,9.0,0.5,216,12,53,5,n46-1,IV,,,,0
4,4,9.5,0.5,9.5,0.5,228,12,53,5,n49-1,,,,,0
4,4,9.5,0.5,9.5,0.5,228,12,62,5,n51-1,,,,,0
4,4,9.5,0.5,9.5,0.5,228,12,58,5,n50-1,,,,,0
4,4,10.0,0.5,10.0,0.5,240,12,62,5,n54-1,,,,,0
4,4,10.0,0.5,10.0,0.5,240,12,58,5,n53-1,,,,,0
4,4,10.0,0.5,10.0,0.5,240,12,53,5,n52-1,,,,,0
4,4,10.5,0.5,10.5,0.5,252,12,62,5,n57-1,,,,,0
4,4,10.5,0.5,10.5,0.5,252,12,53,5,n55-1,,,,,0
4,4,10.5,0.5,10.5,0.5,252,12,58,5,n56-1,,,,,0
4,4,11.0,0.5,11.0,0.5,264,12,53,5,n58-1,,,,,0
4,4,11.0,0.5,11.0,0.5,264,12,58,5,n59-1,,,,,0
4,4,11.0,0.5,11.0,0.5,264,12,62,5,n60-1,,,,,0
4,4,11.5,0.5,11.5,0.5,276,12,53,5,n61-1,,,,,0
4,4,11.5,0.5,11.5,0.5,276,12,62,5,n63-1,,,,,0
4,4,11.5,0.5,11.5,0.5,276,12,58,5,n62-1,,,,,0
5,5,12.0,0.5,12.0,0.5,288,12,53,5,n68-1,V43,,,,0
5,5,12.0,0.5,12.0,0.5,288,12,64,5,n70-1,,,,,0
5,5,12.0,0.5,12.0,0.5,288,12,72,1,n64-1,,,,,0
5,5,12.0,0.5,12.0,0.5,288,12,55,5,n69-1,,,,,0
5,5,12.5,0.5,12.5,0.5,300,12,53,5,n71-1,,,,,0
5,5,12.5,0.5,12.5,0.5,300,12,55,5,n72-1,,,,,0
5,5,12.5,0.5,12.5,0.5,300,12,64,5,n73-1,,,,,0
5,5,12.5,0.5,12.5,0.5,300,12,70,1,n65-1,,,,,0
5,5,13.0,0.5,13.0,0.5,312,12,53,5,n74-1,,,,,0
5,5,13.0,0.5,13.0,0.5,312,12,55,5,n75-1,,,,,0
5,5,13.0,0.5,13.0,0.5,312,12,64,5,n76-1,,,,,0
5,5,13.0,1.0,13.0,1.0,312,24,70,1,n66-1,,,,,0
5,5,13.5,0.5,13.5,0.5,324,12,53,5,n77-1,,,,,0
5,5,13.5,0.5,13.5,0.5,324,12,64,5,n79-1,,,,,0
5,5,13.5,0.5,13.5,0.5,324,12,55,5,n78-1,,,,,0
5,5,14.0,0.5,14.0,0.5,336,12,53,5,n80-1,,,,,0
5,5,14.0,0.5,14.0,0.5,336,12,55,5,n81-1,,,,,0
5,5,14.0,0.5,14.0,0.5,336,12,64,5,n82-1,,,,,0
5,5,14.5,0.5,14.5,0.5,348,12,53,5,n83-1,,,,,0
5,5,14.5,0.5,14.5,0.5,348,12,55,5,n84-1,,,,,0
5,5,14.5,0.5,14.5,0.5,348,12,64,5,n85-1,,,,,0
6,6,15.0,0.5,15.0,0.5,360,12,53,5,n90-1,I],,,,0
6,6,15.0,0.5,15.0,0.5,360,12,57,5,n91-1,,,,,0
6,6,15.0,0.5,15.0,0.5,360,12,65,5,n92-1,,,,,0
6,6,15.0,0.5,15.0,0.5,360,12,74,1,n86-1,,,,,0
6,6,15.5,0.5,15.5,0.5,372,12,53,5,n93-1,,,,,0
6,6,15.5,0.5,15.5,0.5,372,12,57,5,n94-1,,,,,0
6,6,15.5,0.5,15.5,0.5,372,12,65,5,n95-1,,,,,0
6,6,15.5,0.5,15.5,0.5,372,12,72,1,n87-1,,,,,0
6,6,16.0,0.5,16.0,0.5,384,12,53,5,n96-1,,,,,0
6,6,16.0,0.5,16.0,0.5,384,12,57,5,n97-1,,,,,0
6,6,16.0,0.5,16.0,0.5,384,12,65,5,n98-1,,,,,0
6,6,16.0,1.0,16.0,1.0,384,24,72,1,n88-1,,,,,0
6,6,16.5,0.5,16.5,0.5,396,12,53,5,n99-1,,,,,0
6,6,16.5,0.5,16.5,0.5,396,12,57,5,n100-1,,,,,0
6,6,16.5,0.5,16.5,0.5,396,12,65,5,n101-1,,,,,0
6,6,17.0,0.5,17.0,0.5,408,12,53,5,n102-1,,,,,0
6,6,17.0,0.5,17.0,0.5,408,12,57,5,n103-1,,,,,0
6,6,17.0,0.5,17.0,0.5,408,12,65,5,n104-1,,,,,0
6,6,17.5,0.5,17.5,0.5,420,12,57,5,n106-1,,,,,0
6,6,17.5,0.5,17.5,0.5,420,12,65,5,n107-1,,,,,0
6,6,17.5,0.5,17.5,0.5,420,12,53,5,n105-1,,,,,0
7,7,18.0,1.0,18.0,1.0,432,24,52,5,n120-1,V65,,,,0
7,7,18.0,1.0,18.0,1.0,432,24,55,5,n121-1,,,,,0
7,7,18.0,0.25,18.0,0.25,432,6,82,1,n108-1,,,,,0
7,7,18.0,1.0,18.0,1.0,432,24,60,5,n122-1,,,,,0
7,7,18.25,0.25,18.25,0.25,438,6,81,1,n109-1,,,,,0
7,7,18.5,0.25,18.5,0.25,444,6,79,1,n110-1,,,,,0
7,7,18.75,0.25,18.75,0.25,450,6,81,1,n111-1,,,,,0
7,7,19.0,0.25,19.0,0.25,456,6,79,1,n112-1,,,,,0
7,7,19.25,0.25,19.25,0.25,462,6,77,1,n113-1,,,,,0
7,7,19.5,0.25,19.5,0.25,468,6,76,1,n114-1,,,,,0
7,7,19.75,0.25,19.75,0.25,474,6,77,1,n115-1,,,,,0
7,7,20.0,0.25,20.0,0.25,480,6,76,1,n116-1,,,,,0
7,7,20.25,0.25,20.25,0.25,486,6,74,1,n117-1,,,,,0
7,7,20.5,0.25,20.5,0.25,492,6,72,1,n118-1,,,,,0
7,7,20.75,0.25,20.75,0.25,498,6,70,1,n119-1,,,,,0
8,8,21.0,0.5,21.0,0.5,504,12,69,1,n125-1,,,,,0
8,8,21.0,0.25,21.0,0.25,504,6,53,5,n129-1,I,,,,0
8,8,21.25,0.25,21.25,0.25,510,6,60,5,n130-1,,,,,0
8,8,21.5,0.25,21.5,0.25,516,6,57,5,n131-1,,,,,0
8,8,21.5,1.0,21.5,1.0,516,24,77,1,n126-1,,,,,0
8,8,21.75,0.25,21.75,0.25,522,6,60,5,n132-1,,,,,0
8,8,22.0,0.25,22.0,0.25,528,6,55,5,n133-1,V43,,,,0
8,8,22.25,0.25,22.25,0.25,534,6,60,5,n134-1,,,,,0
8,8,22.5,0.25,22.5,0.25,540,6,58,5,n135-1,,,,,0
8,8,22.5,1.0,22.5,1.0,540,24,76,1,n127-1,,,,,0
8,8,22.75,0.25,22.75,0.25,546,6,60,5,n136-1,,,,,0
8,8,23.0,0.25,23.0,0.25,552,6,57,5,n137-1,I6,,,,0
8,8,23.25,0.25,23.25,0.25,558,6,60,5,n138-1,,,,,0
8,8,23.5,0.5,23.5,0.5,564,12,77,1,n128-1,,,,,0
8,8,23.5,0.25,23.5,0.25,564,6,57,5,n139-1,,,,,0
8,8,23.75,0.25,23.75,0.25,570,6,60,5,n140-1,,,,,0
9,9,24.0,0.5,24.0,0.5,576,12,58,5,n150-1,IV,,,,0
9,9,24.5,0.5,24.5,0.5,588,12,65,1,n142-1,,,,,0
9,9,24.5,0.5,24.5,0.5,588,12,74,1,n143-1,,,,,0
9,9,25.0,0.5,25.0,0.5,600,12,46,5,n152-1,ii6,,,,0
9,9,25.5,0.5,25.5,0.5,612,12,67,1,n146-1,,,,,0
9,9,25.5,0.5,25.5,0.5,612,12,58,1,n145-1,,,,,0
9,9,26.0,0.5,26.0,0.5,624,12,48,5,n154-1,V,,,,0
9,9,26.5,0.5,26.5,0.5,636,12,64,1,n149-1,,,,,0
9,9,26.5,0.5,26.5,0.5,636,12,55,1,n148-1,,,,,0
10,10,27.0,1.0,27.0,1.0,648,24,55,5,n169-1,,,,,0
10,10,27.0,1.0,27.0,1.0,648,24,60,5,n170-1,,,,,0
10,10,27.0,1.0,27.0,1.0,648,24,52,5,n168-1,V65|EC,,,,0
10,10,27.0,0.25,27.0,0.25,648,6,82,1,n156-1,,,,,0
10,10,27.25,0.25,27.25,0.25,654,6,81,1,n157-1,,,,,0
10,10,27.5,0.25,27.5,0.25,660,6,79,1,n158-1,,,,,0
10,10,27.75,0.25,27.75,0.25,666,6,81,1,n159-1,,,,,0
10,10,28.0,0.25,28.0,0.25,672,6,79,1,n160-1,,,,,0
10,10,28.25,0.25,28.25,0.25,678,6,77,1,n161-1,,,,,0
10,10,28.5,0.25,28.5,0.25,684,6,76,1,n162-1,,,,,0
10,10,28.75,0.25,28.75,0.25,690,6,77,1,n163-1,,,,,0
10,10,29.0,0.25,29.0,0.25,696,6,76,1,n164-1,,,,,0
10,10,29.25,0.25,29.25,0.25,702,6,74,1,n165-1,,,,,0
10,10,29.5,0.25,29.5,0.25,708,6,72,1,n166-1,,,,,0
10,10,29.75,0.25,29.75,0.25,714,6,70,1,n167-1,,,,,0
11,11,30.0,0.5,30.0,0.5,720,12,69,1,n173-1,,,,,0
11,11,30.0,0.25,30.0,0.25,720,6,53,5,n177-1,I,,,,0
11,11,30.25,0.25,30.25,0.25,726,6,60,5,n178-1,,,,,0
11,11,30.5,0.25,30.5,0.25,732,6,57,5,n179-1,,,,,0
11,11,30.5,1.0,30.5,1.0,732,24,81,1,n174-1,,,,,0
11,11,30.75,0.25,30.75,0.25,738,6,60,5,n180-1,,,,,0
11,11,31.0,0.25,31.0,0.25,744,6,55,5,n181-1,viio6,,,,0
11,11,31.25,0.25,31.25,0.25,750,6,64,5,n182-1,,,,,0
11,11,31.5,1.0,31.5,1.0,756,24,79,1,n175-1,,,,,0
11,11,31.5,0.25,31.5,0.25,756,6,58,5,n183-1,,,,,0
11,11,31.75,0.25,31.75,0.25,762,6,64,5,n184-1,,,,,0
11,11,32.0,0.25,32.0,0.25,768,6,57,5,n185-1,I6,,,,0
11,11,32.25,0.25,32.25,0.25,774,6,65,5,n186-1,,,,,0
11,11,32.5,0.25,32.5,0.25,780,6,60,5,n187-1,,,,,0
11,11,32.5,0.5,32.5,0.5,780,12,77,1,n176-1,,,,,0
11,11,32.75,0.25,32.75,0.25,786,6,65,5,n188-1,,,,,0
12,12,33.0,0.5,33.0,0.5,792,12,58,5,n198-1,IV,,,,0
12,12,33.5,0.5,33.5,0.5,804,12,65,1,n190-1,,,,,0
12,12,33.5,0.5,33.5,0.5,804,12,74,1,n191-1,,,,,0
12,12,34.0,0.5,34.0,0.5,816,12,46,5,n200-1,ii6,,,,0
12,12,34.5,0.5,34.5,0.5,828,12,58,1,n193-1,,,,,0
12,12,34.5,0.5,34.5,0.5,828,12,67,1,n194-1,,,,,0
12,12,35.0,0.5,35.0,0.5,840,12,48,5,n202-1,V,,,,0
12,12,35.5,0.5,35.5,0.5,852,12,55,1,n196-1,,,,,0
12,12,35.5,0.5,35.5,0.5,852,12,64,1,n197-1,,,,,0
