onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,xml_mn,mn,duration_qb,timesig,label,globalkey,localkey,chord,special,numeral,cadence,phraseend,chord_type
0.0,1.0,0.0,1.0,0,24,63,6,n13-1,1,1,2.0,4/4,Eb.I{,Eb,I,I,,I,,{,M
0.0,1.0,0.0,1.0,0,24,67,5,n8-1,1,1,,,,,,,,,,,
0.0,0.75,0.0,0.75,0,18,70,1,n1-1,1,1,,,,,,,,,,,
0.75,0.25,0.75,0.25,18,6,72,1,n2-1,1,1,,,,,,,,,,,
1.0,1.5,1.0,1.5,24,36,70,1,n3-1,1,1,,,,,,,,,,,
1.0,1.0,1.0,1.0,24,24,63,6,n14-1,1,1,,,,,,,,,,,
1.0,1.0,1.0,1.0,24,24,67,5,n9-1,1,1,,,,,,,,,,,
2.0,1.0,2.0,1.0,48,24,62,6,n15-1,1,1,1.0,4/4,V6,Eb,I,V6,,V,,,M
2.0,1.0,2.0,1.0,48,24,65,5,n10-1,1,1,,,,,,,,,,,
2.5,0.5,2.5,0.5,60,12,70,1,n5-1,1,1,,,,,,,,,,,
3.0,1.0,3.0,1.0,72,24,60,6,n16-1,1,1,0.5,4/4,vi,Eb,I,vi,,vi,,,m
3.0,0.5,3.0,0.5,72,12,75,1,n6-1,1,1,,,,,,,,,,,
3.0,0.5,3.0,0.5,72,12,67,5,n11-1,1,1,,,,,,,,,,,
3.5,0.5,3.5,0.5,84,12,75,1,n7-1,1,1,,,,,,,,,,,
3.5,0.5,3.5,0.5,84,12,69,5,n12-1,1,1,0.5,4/4,viio6/V,Eb,I,viio6/V,,vii,,,o
4.0,0.0,4.0,0.0,96,0,75,1,n17-1,2,2,,,,,,,,,,,
4.0,0.5,4.0,0.5,96,12,74,1,n18-1,2,2,,,,,,,,,,,
4.0,1.0,4.0,1.0,96,24,70,5,n27-1,2,2,,,,,,,,,,,
4.0,1.0,4.0,1.0,96,24,58,6,n31-1,2,2,2.0,4/4,V,Eb,I,V,,V,,,M
4.5,0.25,4.5,0.25,108,6,72,1,n19-1,2,2,,,,,,,,,,,
4.75,0.25,4.75,0.25,114,6,70,1,n20-1,2,2,,,,,,,,,,,
5.0,1.0,5.0,1.0,120,24,70,1,n21-1,2,2,,,,,,,,,,,
5.0,2.0,5.0,2.0,120,48,58,6,n32-1,2,2,0.0,4/4,|HC,Eb,I,,,,HC,,
5.0,1.0,5.0,1.0,120,24,62,5,n28-1,2,2,,,,,,,,,,,
6.0,1.0,6.0,1.0,144,24,64,5,n29-1,2,2,1.0,4/4,V2/ii,Eb,I,V2/ii,,V,,,Mm7
6.0,0.25,6.0,0.25,144,6,74,1,n22-1,2,2,,,,,,,,,,,
6.25,0.25,6.25,0.25,150,6,72,1,n23-1,2,2,,,,,,,,,,,
6.5,1.0,6.5,1.0,156,24,72,1,n24-1,2,2,,,,,,,,,,,
7.0,1.0,7.0,1.0,168,24,65,5,n30-1,2,2,,,,,,,,,,,
7.0,2.0,7.0,2.0,168,48,56,6,n33-1,2,2,1.0,4/4,ii6,Eb,I,ii6,,ii,,,m
7.5,0.25,7.5,0.25,180,6,77,1,n25-1,2,2,,,,,,,,,,,
7.75,0.25,7.75,0.25,186,6,74,1,n26-1,2,2,,,,,,,,,,,
8.0,1.0,8.0,1.0,192,24,62,5,n41-1,3,3,1.0,4/4,V2,Eb,I,V2,,V,,,Mm7
8.0,0.25,8.0,0.25,192,6,72,1,n34-1,3,3,,,,,,,,,,,
8.25,0.25,8.25,0.25,198,6,70,1,n35-1,3,3,,,,,,,,,,,
8.5,1.0,8.5,1.0,204,24,70,1,n36-1,3,3,,,,,,,,,,,
9.0,1.0,9.0,1.0,216,24,55,6,n45-1,3,3,1.0,4/4,I6,Eb,I,I6,,I,,,M
9.0,2.0,9.0,2.0,216,48,63,5,n42-1,3,3,,,,,,,,,,,
9.5,0.25,9.5,0.25,228,6,75,1,n37-1,3,3,,,,,,,,,,,
9.75,0.25,9.75,0.25,234,6,70,1,n38-1,3,3,,,,,,,,,,,
10.0,1.0,10.0,1.0,240,24,53,6,n46-1,3,3,1.0,4/4,ii7(4),Eb,I,ii7(4),,ii,,,mm7
10.0,1.5,10.0,1.5,240,36,70,1,n39-1,3,3,,,,,,,,,,,
11.0,1.0,11.0,1.0,264,24,58,6,n47-1,3,3,1.0,4/4,V7,Eb,I,V7,,V,,,Mm7
11.0,1.0,11.0,1.0,264,24,62,5,n43-1,3,3,,,,,,,,,,,
11.5,0.5,11.5,0.5,276,12,68,1,n40-1,3,3,,,,,,,,,,,
12.0,0.5,12.0,0.5,288,12,67,1,n48-1,4,4,,,,,,,,,,,
