onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,xml_mn,mn,duration_qb,timesig,label,alt_label,globalkey,localkey,chord,special,numeral,cadence,phraseend,chord_type
0.0,1.0,0.0,1.0,0,8,38,5,n14-1,1,1,6.0,4/4,D.I{,,D,I,I,,I,,{,M
0.0,1.0,0.0,1.0,0,8,74,1,n4-1,1,1,,,,,,,,,,,,
0.0,1.0,0.0,1.0,0,8,66,1,n2-1,1,1,,,,,,,,,,,,
0.0,1.0,0.0,1.0,0,8,62,1,n1-1,1,1,,,,,,,,,,,,
0.0,1.0,0.0,1.0,0,8,69,1,n3-1,1,1,,,,,,,,,,,,
0.0,1.0,0.0,1.0,0,8,50,5,n15-1,1,1,,,,,,,,,,,,
2.0,0.0,2.0,0.0,16,0,67,1,n6-1,1,1,,,,,,,,,,,,
2.0,0.5,2.0,0.5,16,4,54,5,n18-1,1,1,,,,,,,,,,,,
2.0,0.0,2.0,0.0,16,0,55,5,n17-1,1,1,,,,,,,,,,,,
2.0,0.5,2.0,0.5,16,4,66,1,n7-1,1,1,,,,,,,,,,,,
2.5,0.25,2.5,0.25,20,2,64,1,n8-1,1,1,,,,,,,,,,,,
2.5,0.25,2.5,0.25,20,2,52,5,n19-1,1,1,,,,,,,,,,,,
2.75,0.25,2.75,0.25,22,2,62,1,n9-1,1,1,,,,,,,,,,,,
2.75,0.25,2.75,0.25,22,2,50,5,n20-1,1,1,,,,,,,,,,,,
3.0,0.0,3.0,0.0,24,0,67,1,n10-1,1,1,,,,,,,,,,,,
3.0,0.5,3.0,0.5,24,4,54,5,n22-1,1,1,,,,,,,,,,,,
3.0,0.5,3.0,0.5,24,4,66,1,n11-1,1,1,,,,,,,,,,,,
3.0,0.0,3.0,0.0,24,0,55,5,n21-1,1,1,,,,,,,,,,,,
3.5,0.25,3.5,0.25,28,2,64,1,n12-1,1,1,,,,,,,,,,,,
3.5,0.25,3.5,0.25,28,2,52,5,n23-1,1,1,,,,,,,,,,,,
