xml_mn,mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,label,duration_qb,timesig,phraseend,phrase_type
0,0,-1.0,0.75,-1.0,0.75,0,18,74,1,n1-1,Bb.I6{,4.0,3/4,{,1
0,0,-0.25,0.25,-0.25,0.25,18,6,75,1,n2-1,,,,,0
1,1,0.0,0.5,0.0,0.5,24,12,72,1,n5-1,,,,,0
1,1,0.5,0.5,0.5,0.5,36,12,70,1,n6-1,,,,,0
1,1,1.0,1.0,1.0,1.0,48,24,62,5,n10-1,,,,,0
1,1,1.0,1.0,1.0,1.0,48,24,65,5,n11-1,,,,,0
1,1,1.0,1.0,1.0,1.0,48,24,70,1,n7-1,,,,,0
1,1,2.0,1.0,2.0,1.0,72,24,62,5,n12-1,,,,,0
1,1,2.0,1.0,2.0,1.0,72,24,70,1,n8-1,,,,,0
1,1,2.0,1.0,2.0,1.0,72,24,65,5,n13-1,,,,,0
2,2,3.0,1.0,3.0,1.0,96,24,69,1,n15-1,,,,,0
2,2,3.0,1.0,3.0,1.0,96,24,65,5,n20-1,,,,,0
2,2,3.0,1.0,3.0,1.0,96,24,63,5,n19-1,V2,,,,0
2,2,5.0,0.75,5.0,0.75,144,18,75,1,n17-1,,,,,0
2,2,5.75,0.25,5.75,0.25,162,6,77,1,n18-1,,,,,0
3,3,6.0,0.5,6.0,0.5,168,12,74,1,n25-1,,,,,0
3,3,6.5,0.5,6.5,0.5,180,12,72,1,n26-1,,,,,0
3,3,7.0,1.0,7.0,1.0,192,24,72,1,n27-1,,,,,0
3,3,7.0,1.0,7.0,1.0,192,24,65,5,n30-1,,,,,0
3,3,7.0,1.0,7.0,1.0,192,24,63,6,n33-1,,,,,0
3,3,8.0,1.0,8.0,1.0,216,24,63,6,n34-1,,,,,0
3,3,8.0,1.0,8.0,1.0,216,24,65,5,n31-1,,,,,0
3,3,8.0,1.0,8.0,1.0,216,24,72,1,n28-1,,,,,0
4,4,9.0,1.0,9.0,1.0,240,24,62,6,n43-1,I6,,,,0
4,4,9.0,1.0,9.0,1.0,240,24,65,5,n39-1,,,,,0
4,4,9.0,1.0,9.0,1.0,240,24,70,1,n35-1,,,,,0
4,4,11.0,0.75,11.0,0.75,288,18,58,5,n41-1,I,,,,0
4,4,11.0,0.75,11.0,0.75,288,18,74,1,n37-1,,,,,0
4,4,11.75,0.25,11.75,0.25,306,6,60,5,n42-1,,,,,0
4,4,11.75,0.25,11.75,0.25,306,6,75,1,n38-1,,,,,0
5,5,12.0,0.5,12.0,0.5,312,12,77,1,n46-1,,,,,0
5,5,12.0,0.5,12.0,0.5,312,12,62,5,n52-1,,,,,0
5,5,12.0,7.0,12.0,7.0,312,168,53,6,n58-1,V[I6,,,,0
5,5,12.5,0.5,12.5,0.5,324,12,79,1,n47-1,,,,,0
5,5,12.5,0.5,12.5,0.5,324,12,63,5,n53-1,,,,,0
5,5,13.0,0.5,13.0,0.5,336,12,60,5,n54-1,V7,,,,0
5,5,13.0,0.5,13.0,0.5,336,12,75,1,n48-1,,,,,0
5,5,13.5,0.5,13.5,0.5,348,12,57,5,n55-1,,,,,0
5,5,13.5,0.5,13.5,0.5,348,12,72,1,n49-1,,,,,0
5,5,14.0,0.5,14.0,0.5,360,12,74,1,n50-1,,,,,0
5,5,14.0,0.5,14.0,0.5,360,12,58,5,n56-1,I,,,,0
5,5,14.5,0.5,14.5,0.5,372,12,75,1,n51-1,,,,,0
5,5,14.5,0.5,14.5,0.5,372,12,60,5,n57-1,,,,,0
6,6,15.0,0.5,15.0,0.5,384,12,77,1,n59-1,,,,,0
6,6,15.0,0.5,15.0,0.5,384,12,62,5,n65-1,I6,,,,0
6,6,15.5,0.5,15.5,0.5,396,12,79,1,n60-1,,,,,0
6,6,15.5,0.5,15.5,0.5,396,12,63,5,n66-1,,,,,0
6,6,16.0,0.5,16.0,0.5,408,12,60,5,n67-1,V7,,,,0
6,6,16.0,0.5,16.0,0.5,408,12,75,1,n61-1,,,,,0
6,6,16.5,0.5,16.5,0.5,420,12,57,5,n68-1,,,,,0
6,6,16.5,0.5,16.5,0.5,420,12,72,1,n62-1,,,,,0
6,6,17.0,0.5,17.0,0.5,432,12,74,1,n63-1,,,,,0
6,6,17.0,0.5,17.0,0.5,432,12,58,5,n69-1,I,,,,0
6,6,17.5,0.5,17.5,0.5,444,12,60,5,n70-1,,,,,0
6,6,17.5,0.5,17.5,0.5,444,12,75,1,n64-1,,,,,0
7,7,18.0,0.5,18.0,0.5,456,12,77,1,n72-1,,,,,0
7,7,18.0,1.0,18.0,1.0,456,24,62,5,n78-1,I6],,,,0
7,7,18.5,0.5,18.5,0.5,468,12,82,1,n73-1,,,,,0
7,7,19.0,0.5,19.0,0.5,480,12,81,1,n74-1,,,,,0
7,7,19.5,0.5,19.5,0.5,492,12,79,1,n75-1,,,,,0
7,7,20.0,0.5,20.0,0.5,504,12,77,1,n76-1,,,,,0
7,7,20.5,0.5,20.5,0.5,516,12,76,1,n77-1,,,,,0
8,8,21.0,0.5,21.0,0.5,528,12,74,1,n84-1,,,,,0
8,8,21.5,0.5,21.5,0.5,540,12,72,1,n85-1,,,,,0
8,8,22.0,0.5,22.0,0.5,552,12,71,1,n86-1,,,,,0
8,8,22.5,0.5,22.5,0.5,564,12,70,1,n87-1,,,,,0
8,8,23.0,0.5,23.0,0.5,576,12,69,1,n88-1,,,,,0
8,8,23.5,0.5,23.5,0.5,588,12,67,1,n89-1,,,,,0
9,9,24.0,0.75,24.0,0.75,600,18,72,1,n91-1,V.V(64),,,,0
9,9,24.75,0.25,24.75,0.25,618,6,74,1,n92-1,,,,,0
9,9,25.0,1.0,25.0,1.0,624,24,57,5,n99-1,,,,,0
9,9,25.0,1.0,25.0,1.0,624,24,48,5,n98-1,,,,,0
9,9,25.0,1.0,25.0,1.0,624,24,65,1,n94-1,,,,,0
9,9,25.0,1.0,25.0,1.0,624,24,60,1,n93-1,,,,,0
9,9,26.0,1.0,26.0,1.0,648,24,55,5,n101-1,,,,,0
9,9,26.0,1.0,26.0,1.0,648,24,58,1,n95-1,,,,,0
