xml_mn,mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,label,duration_qb,timesig,globalkey,localkey,chord,numeral,chord_type,chord_label
1,1,0.0,2.0,0.0,2.0,0,96,57,5,n4-1,A.I{,2.0,3/4,A,I,I,I,M,1
1,1,0.0,2.0,0.0,2.0,0,96,61,5,n5-1,,,,,,,,,0
1,1,0.0,2.0,0.0,2.0,0,96,69,1,n1-1,,,,,,,,,0
1,1,2.0,1.0,2.0,1.0,96,48,52,5,n6-1,V7,1.0,3/4,A,I,V7,V,Mm7,1
1,1,2.0,1.0,2.0,1.0,96,48,62,5,n7-1,,,,,,,,,0
1,1,2.0,0.75,2.0,0.75,96,36,71,1,n2-1,,,,,,,,,0
1,1,2.75,0.25,2.75,0.25,132,12,68,1,n3-1,,,,,,,,,0
2,2,3.0,0.5,3.0,0.5,144,24,57,5,n14-1,I,3.0,3/4,A,I,I,I,M,1
2,2,3.0,0.5,3.0,0.5,144,24,61,5,n15-1,,,,,,,,,0
2,2,3.0,0.5,3.0,0.5,144,24,69,1,n8-1,,,,,,,,,0
2,2,3.5,0.5,3.5,0.5,168,24,64,1,n9-1,,,,,,,,,0
2,2,3.5,0.5,3.5,0.5,168,24,61,5,n16-1,,,,,,,,,0
2,2,4.0,0.5,4.0,0.5,192,24,60,5,n17-1,,,,,,,,,0
2,2,4.0,0.5,4.0,0.5,192,24,63,1,n10-1,,,,,,,,,0
2,2,4.5,0.5,4.5,0.5,216,24,61,5,n18-1,,,,,,,,,0
2,2,4.5,0.5,4.5,0.5,216,24,64,1,n11-1,,,,,,,,,0
2,2,5.0,0.5,5.0,0.5,240,24,59,5,n19-1,,,,,,,,,0
2,2,5.0,0.5,5.0,0.5,240,24,62,1,n12-1,,,,,,,,,0
2,2,5.5,0.5,5.5,0.5,264,24,57,5,n20-1,,,,,,,,,0
2,2,5.5,0.5,5.5,0.5,264,24,61,1,n13-1,,,,,,,,,0
3,3,6.0,2.0,6.0,2.0,288,96,56,5,n25-1,,,,,,,,,0
3,3,6.0,2.0,6.0,2.0,288,96,71,1,n21-1,,,,,,,,,0
3,3,6.0,2.0,6.0,2.0,288,96,52,5,n24-1,V,2.0,3/4,A,I,V,V,M,1
3,3,8.0,1.0,8.0,1.0,384,48,57,5,n26-1,I,1.0,3/4,A,I,I,I,M,1
3,3,8.0,1.0,8.0,1.0,384,48,64,5,n27-1,,,,,,,,,0
3,3,8.0,0.75,8.0,0.75,384,36,73,1,n22-1,,,,,,,,,0
3,3,8.75,0.25,8.75,0.25,420,12,69,1,n23-1,,,,,,,,,0
4,4,9.0,0.5,9.0,0.5,432,24,56,5,n34-1,V65,3.0,3/4,A,I,V65,V,Mm7,1
4,4,9.0,0.5,9.0,0.5,432,24,64,5,n35-1,,,,,,,,,0
4,4,9.0,0.5,9.0,0.5,432,24,74,1,n28-1,,,,,,,,,0
4,4,9.5,0.5,9.5,0.5,456,24,62,1,n29-1,,,,,,,,,0
4,4,9.5,0.5,9.5,0.5,456,24,59,5,n36-1,,,,,,,,,0
4,4,10.0,0.5,10.0,0.5,480,24,61,1,n30-1,,,,,,,,,0
4,4,10.0,0.5,10.0,0.5,480,24,58,5,n37-1,,,,,,,,,0
4,4,10.5,0.5,10.5,0.5,504,24,59,5,n38-1,,,,,,,,,0
4,4,10.5,0.5,10.5,0.5,504,24,62,1,n31-1,,,,,,,,,0
4,4,11.0,0.5,11.0,0.5,528,24,57,5,n39-1,,,,,,,,,0
4,4,11.0,0.5,11.0,0.5,528,24,61,1,n32-1,,,,,,,,,0
4,4,11.5,0.5,11.5,0.5,552,24,56,5,n40-1,,,,,,,,,0
4,4,11.5,0.5,11.5,0.5,552,24,59,1,n33-1,,,,,,,,,0
5,5,12.0,1.5,12.0,1.5,576,72,76,1,n41-1,I6,2.0,3/4,A,I,I6,I,M,1
5,5,13.0,1.0,13.0,1.0,624,48,64,5,n50-1,,,,,,,,,0
5,5,13.0,1.0,13.0,1.0,624,48,69,5,n51-1,,,,,,,,,0
5,5,13.0,1.0,13.0,1.0,624,48,61,5,n49-1,,,,,,,,,0
5,5,13.5,0.125,13.5,0.125,648,6,78,1,n42-1,,,,,,,,,0
5,5,13.625,0.125,13.625,0.125,654,6,76,1,n43-1,,,,,,,,,0
5,5,13.75,0.125,13.75,0.125,660,6,74,1,n44-1,,,,,,,,,0
5,5,13.875,0.125,13.875,0.125,666,6,73,1,n45-1,,,,,,,,,0
5,5,14.0,1.0,14.0,1.0,672,48,59,5,n52-1,V43,1.0,3/4,A,I,V43,V,Mm7,1
5,5,14.0,1.0,14.0,1.0,672,48,64,5,n53-1,,,,,,,,,0
5,5,14.0,1.0,14.0,1.0,672,48,68,5,n54-1,,,,,,,,,0
5,5,14.0,0.5,14.0,0.5,672,24,74,1,n46-1,,,,,,,,,0
5,5,14.5,0.5,14.5,0.5,696,24,74,1,n47-1,,,,,,,,,0
6,6,15.0,1.5,15.0,1.5,720,72,73,1,n55-1,I,2.0,3/4,A,I,I,I,M,1
6,6,16.0,1.0,16.0,1.0,768,48,61,5,n64-1,,,,,,,,,0
6,6,16.0,1.0,16.0,1.0,768,48,64,5,n65-1,,,,,,,,,0
6,6,16.0,1.0,16.0,1.0,768,48,57,5,n63-1,,,,,,,,,0
6,6,16.5,0.125,16.5,0.125,792,6,74,1,n56-1,,,,,,,,,0
6,6,16.625,0.125,16.625,0.125,798,6,73,1,n57-1,,,,,,,,,0
6,6,16.75,0.125,16.75,0.125,804,6,71,1,n58-1,,,,,,,,,0
6,6,16.875,0.125,16.875,0.125,810,6,69,1,n59-1,,,,,,,,,0
6,6,17.0,1.0,17.0,1.0,816,48,50,5,n66-1,V2,1.0,3/4,A,I,V2,V,Mm7,1
6,6,17.0,1.0,17.0,1.0,816,48,52,5,n67-1,,,,,,,,,0
6,6,17.0,1.0,17.0,1.0,816,48,59,5,n68-1,,,,,,,,,0
6,6,17.0,0.5,17.0,0.5,816,24,68,1,n60-1,,,,,,,,,0
6,6,17.5,0.5,17.5,0.5,840,24,68,1,n61-1,,,,,,,,,0
7,7,18.0,1.5,18.0,1.5,864,72,69,1,n69-1,I6,1.5,3/4,A,I,I6,I,M,1
7,7,18.5,0.5,18.5,0.5,888,24,49,5,n77-1,,,,,,,,,0
7,7,19.0,0.5,19.0,0.5,912,24,61,5,n78-1,,,,,,,,,0
7,7,19.5,0.5,19.5,0.5,936,24,62,5,n79-1,V2,0.5,3/4,A,I,V2,V,Mm7,1
7,7,19.5,0.5,19.5,0.5,936,24,64,5,n80-1,,,,,,,,,0
7,7,19.5,0.5,19.5,0.5,936,24,68,1,n70-1,,,,,,,,,0
7,7,19.5,0.5,19.5,0.5,936,24,71,1,n71-1,,,,,,,,,0
7,7,20.0,0.5,20.0,0.5,960,24,61,5,n81-1,I6,0.5,3/4,A,I,I6,I,M,1
7,7,20.0,0.5,20.0,0.5,960,24,64,5,n82-1,,,,,,,,,0
7,7,20.0,0.5,20.0,0.5,960,24,69,1,n72-1,,,,,,,,,0
7,7,20.0,0.5,20.0,0.5,960,24,73,1,n73-1,,,,,,,,,0
7,7,20.5,0.5,20.5,0.5,984,24,71,1,n74-1,,,,,,,,,0
7,7,20.5,0.5,20.5,0.5,984,24,74,1,n75-1,,,,,,,,,0
7,7,20.5,0.5,20.5,0.5,984,24,59,5,n83-1,V43,0.5,3/4,A,I,V43,V,Mm7,1
7,7,20.5,0.5,20.5,0.5,984,24,64,5,n84-1,,,,,,,,,0
8,8,21.0,0.5,21.0,0.5,1008,24,57,5,n96-1,I,0.5,3/4,A,I,I,I,M,1
8,8,21.0,0.5,21.0,0.5,1008,24,64,5,n97-1,,,,,,,,,0
8,8,21.0,0.5,21.0,0.5,1008,24,73,2,n91-1,,,,,,,,,0
8,8,21.0,0.25,21.0,0.25,1008,12,75,1,n85-1,,,,,,,,,0
8,8,21.25,0.25,21.25,0.25,1020,12,76,1,n86-1,,,,,,,,,0
8,8,21.5,0.5,21.5,0.5,1032,24,62,5,n98-1,ii6,0.5,3/4,A,I,ii6,ii,m,1
8,8,21.5,0.25,21.5,0.25,1032,12,74,2,n92-1,,,,,,,,,0
8,8,21.5,0.25,21.5,0.25,1032,12,78,1,n87-1,,,,,,,,,0
8,8,21.75,0.25,21.75,0.25,1044,12,74,1,n88-1,,,,,,,,,0
8,8,21.75,0.25,21.75,0.25,1044,12,71,2,n93-1,,,,,,,,,0
8,8,22.0,1.0,22.0,1.0,1056,48,69,2,n94-1,,,,,,,,,0
8,8,22.0,1.0,22.0,1.0,1056,48,73,1,n89-1,,,,,,,,,0
8,8,22.0,1.0,22.0,1.0,1056,48,64,5,n99-1,V(64)},1.0,3/4,A,I,V(64),V,M,1
8,8,23.0,1.0,23.0,1.0,1104,48,52,5,n100-1,V|HC,1.0,3/4,A,I,V,V,M,1
8,8,23.0,1.0,23.0,1.0,1104,48,68,2,n95-1,,,,,,,,,0
8,8,23.0,1.0,23.0,1.0,1104,48,71,1,n90-1,,,,,,,,,0
9,9,24.0,1.3333334,24.0,1.3333334,1152,64,69,1,n101-1,I{,2.0,3/4,A,I,I,I,M,1
9,9,25.0,1.0,25.0,1.0,1200,48,57,6,n111-1,,,,,,,,,0
9,9,25.0,1.0,25.0,1.0,1200,48,61,5,n108-1,,,,,,,,,0
9,9,25.333334,0.33333334,25.333334,0.33333334,1216,16,64,1,n103-1,,,,,,,,,0
9,9,25.666666,0.33333334,25.666666,0.33333334,1232,16,73,1,n104-1,,,,,,,,,0
9,9,26.0,0.33333334,26.0,0.33333334,1248,16,74,1,n105-1,,,,,,,,,0
9,9,26.0,0.5,26.0,0.5,1248,24,59,5,n109-1,,,,,,,,,0
9,9,26.0,1.0,26.0,1.0,1248,48,52,6,n112-1,V7,1.0,3/4,A,I,V7,V,Mm7,1
9,9,26.333334,0.33333334,26.333334,0.33333334,1264,16,71,1,n106-1,,,,,,,,,0
9,9,26.5,0.5,26.5,0.5,1272,24,62,5,n110-1,,,,,,,,,0
9,9,26.666666,0.33333334,26.666666,0.33333334,1280,16,68,1,n107-1,,,,,,,,,0
10,10,27.0,0.5,27.0,0.5,1296,24,57,6,n125-1,I,3.0,3/4,A,I,I,I,M,1
10,10,27.0,0.5,27.0,0.5,1296,24,61,5,n119-1,,,,,,,,,0
10,10,27.0,0.5,27.0,0.5,1296,24,69,1,n113-1,,,,,,,,,0
10,10,27.5,0.5,27.5,0.5,1320,24,61,5,n120-1,,,,,,,,,0
10,10,27.5,0.5,27.5,0.5,1320,24,64,1,n114-1,,,,,,,,,0
10,10,28.0,0.5,28.0,0.5,1344,24,60,5,n121-1,,,,,,,,,0
10,10,28.0,0.5,28.0,0.5,1344,24,63,1,n115-1,,,,,,,,,0
10,10,28.5,0.5,28.5,0.5,1368,24,64,1,n116-1,,,,,,,,,0
10,10,28.5,0.5,28.5,0.5,1368,24,61,5,n122-1,,,,,,,,,0
10,10,29.0,0.5,29.0,0.5,1392,24,59,5,n123-1,,,,,,,,,0
10,10,29.0,0.5,29.0,0.5,1392,24,62,1,n117-1,,,,,,,,,0
10,10,29.5,0.5,29.5,0.5,1416,24,57,5,n124-1,,,,,,,,,0
10,10,29.5,0.5,29.5,0.5,1416,24,61,1,n118-1,,,,,,,,,0
11,11,30.0,1.3333334,30.0,1.3333334,1440,64,71,1,n126-1,V7,2.0,3/4,A,I,V7,V,Mm7,1
11,11,31.0,1.0,31.0,1.0,1488,48,52,5,n134-1,,,,,,,,,0
11,11,31.0,1.0,31.0,1.0,1488,48,56,5,n135-1,,,,,,,,,0
11,11,31.333334,0.33333334,31.333334,0.33333334,1504,16,64,1,n128-1,,,,,,,,,0
11,11,31.666666,0.33333334,31.666666,0.33333334,1520,16,74,1,n129-1,,,,,,,,,0
11,11,32.0,1.0,32.0,1.0,1536,48,64,5,n137-1,,,,,,,,,0
11,11,32.0,0.33333334,32.0,0.33333334,1536,16,73,1,n130-1,,,,,,,,,0
11,11,32.0,1.0,32.0,1.0,1536,48,57,5,n136-1,V,1.0,3/4,A,I,V,V,M,1
11,11,32.333332,0.33333334,32.333332,0.33333334,1552,16,69,1,n131-1,,,,,,,,,0
11,11,32.666668,0.33333334,32.666668,0.33333334,1568,16,78,1,n132-1,,,,,,,,,0
12,12,33.0,0.5,33.0,0.5,1584,24,74,1,n139-1,viio6,3.0,3/4,A,I,viio6,vii,o,1
12,12,33.0,0.0,33.0,0.0,1584,0,76,1,n138-1,,,,,,,,,0
12,12,33.5,0.5,33.5,0.5,1608,24,59,5,n146-1,,,,,,,,,0
12,12,33.5,0.5,33.5,0.5,1608,24,62,1,n140-1,,,,,,,,,0
12,12,34.0,0.5,34.0,0.5,1632,24,58,5,n147-1,,,,,,,,,0
12,12,34.0,0.5,34.0,0.5,1632,24,61,1,n141-1,,,,,,,,,0
12,12,34.5,0.5,34.5,0.5,1656,24,62,1,n142-1,,,,,,,,,0
12,12,34.5,0.5,34.5,0.5,1656,24,59,5,n148-1,,,,,,,,,0
12,12,35.0,0.5,35.0,0.5,1680,24,61,1,n143-1,,,,,,,,,0
12,12,35.0,0.5,35.0,0.5,1680,24,57,5,n149-1,,,,,,,,,0
12,12,35.5,0.5,35.5,0.5,1704,24,56,5,n150-1,,,,,,,,,0
12,12,35.5,0.5,35.5,0.5,1704,24,59,1,n144-1,,,,,,,,,0
13,13,36.0,1.25,36.0,1.25,1728,60,76,1,n151-1,I6,2.0,3/4,A,I,I6,I,M,1
