xml_mn,mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,label,duration_qb,timesig,phraseend,phrase_type
0,0,-1.0,0.75,-1.0,0.75,0,9,74,1,n1-1,G.I{,4.0,3/4,{,1
0,0,-0.25,0.25,-0.25,0.25,9,3,71,1,n2-1,,,,,0
1,1,0.0,1.0,0.0,1.0,12,12,74,1,n4-1,,,,,0
1,1,0.0,0.5,0.0,0.5,12,6,55,5,n7-1,,,,,0
1,1,0.5,0.5,0.5,0.5,18,6,59,5,n8-1,,,,,0
1,1,1.0,0.5,1.0,0.5,24,6,62,5,n9-1,,,,,0
1,1,1.5,0.5,1.5,0.5,30,6,59,5,n10-1,,,,,0
1,1,2.0,0.5,2.0,0.5,36,6,62,5,n11-1,,,,,0
1,1,2.0,1.0,2.0,1.0,36,12,67,1,n6-1,,,,,0
1,1,2.5,0.5,2.5,0.5,42,6,59,5,n12-1,,,,,0
2,2,3.0,1.0,3.0,1.0,48,12,66,1,n13-1,,,,,0
2,2,3.0,0.5,3.0,0.5,48,6,57,5,n17-1,V43,,,,0
2,2,3.5,0.5,3.5,0.5,54,6,60,5,n18-1,,,,,0
2,2,4.0,0.5,4.0,0.5,60,6,62,5,n19-1,,,,,0
2,2,4.5,0.5,4.5,0.5,66,6,60,5,n20-1,,,,,0
2,2,5.0,0.75,5.0,0.75,72,9,81,1,n15-1,,,,,0
2,2,5.0,0.5,5.0,0.5,72,6,62,5,n21-1,,,,,0
2,2,5.5,0.5,5.5,0.5,78,6,60,5,n22-1,,,,,0
2,2,5.75,0.25,5.75,0.25,81,3,78,1,n16-1,,,,,0
3,3,6.0,0.5,6.0,0.5,84,6,54,5,n26-1,V6,,,,0
3,3,6.0,1.0,6.0,1.0,84,12,81,1,n23-1,,,,,0
3,3,6.5,0.5,6.5,0.5,90,6,57,5,n27-1,,,,,0
3,3,7.0,0.5,7.0,0.5,96,6,62,5,n28-1,,,,,0
3,3,7.5,0.5,7.5,0.5,102,6,57,5,n29-1,,,,,0
3,3,8.0,0.5,8.0,0.5,108,6,62,5,n30-1,V65,,,,0
3,3,8.0,1.0,8.0,1.0,108,12,72,1,n25-1,,,,,0
3,3,8.5,0.5,8.5,0.5,114,6,57,5,n31-1,,,,,0
4,4,9.0,1.0,9.0,1.0,120,12,71,1,n32-1,,,,,0
4,4,9.0,0.5,9.0,0.5,120,6,55,5,n36-1,I,,,,0
4,4,9.5,0.5,9.5,0.5,126,6,59,5,n37-1,,,,,0
4,4,10.0,0.5,10.0,0.5,132,6,62,5,n38-1,,,,,0
4,4,10.5,0.5,10.5,0.5,138,6,59,5,n39-1,,,,,0
4,4,11.0,0.75,11.0,0.75,144,9,79,1,n34-1,,,,,0
4,4,11.0,1.0,11.0,1.0,144,12,55,5,n40-1,,,,,0
4,4,11.75,0.25,11.75,0.25,153,3,78,1,n35-1,,,,,0
5,5,12.0,2.0,12.0,2.0,156,24,60,5,n46-1,IV(4),,,,0
5,5,12.0,2.0,12.0,2.0,156,24,67,5,n47-1,,,,,0
5,5,12.0,0.5,12.0,0.5,156,6,78,1,n41-1,,,,,0
5,5,12.5,0.5,12.5,0.5,162,6,76,1,n42-1,IV,,,,0
5,5,13.0,1.0,13.0,1.0,168,12,76,1,n43-1,,,,,0
5,5,14.0,0.75,14.0,0.75,180,9,79,1,n44-1,,,,,0
5,5,14.75,0.25,14.75,0.25,189,3,76,1,n45-1,,,,,0
6,6,15.0,2.0,15.0,2.0,192,24,59,5,n54-1,I6(6),,,,0
6,6,15.0,0.5,15.0,0.5,192,6,76,1,n49-1,,,,,0
6,6,15.0,2.0,15.0,2.0,192,24,67,5,n55-1,,,,,0
6,6,15.5,0.5,15.5,0.5,198,6,74,1,n50-1,I6,,,,0
6,6,16.0,1.0,16.0,1.0,204,12,74,1,n51-1,,,,,0
6,6,17.0,0.75,17.0,0.75,216,9,79,1,n52-1,,,,,0
6,6,17.75,0.25,17.75,0.25,225,3,74,1,n53-1,,,,,0
7,7,18.0,1.0,18.0,1.0,228,12,74,1,n57-1,,,,,0
7,7,18.0,1.0,18.0,1.0,228,12,60,5,n61-1,,,,,0
7,7,18.0,1.0,18.0,1.0,228,12,57,5,n60-1,V43,,,,0
7,7,19.0,1.0,19.0,1.0,240,12,59,5,n63-1,,,,,0
7,7,19.0,1.0,19.0,1.0,240,12,55,5,n62-1,I,,,,0
7,7,19.0,1.0,19.0,1.0,240,12,74,1,n58-1,,,,,0
7,7,20.0,1.0,20.0,1.0,252,12,54,5,n64-1,V6,,,,0
7,7,20.0,1.0,20.0,1.0,252,12,74,1,n59-1,,,,,0
7,7,20.0,1.0,20.0,1.0,252,12,57,5,n65-1,,,,,0
8,8,21.0,1.0,21.0,1.0,264,12,55,5,n78-1,I,,,,0
8,8,21.0,1.0,21.0,1.0,264,12,59,5,n79-1,,,,,0
8,8,21.0,0.25,21.0,0.25,264,3,74,1,n66-1,,,,,0
8,8,21.25,0.25,21.25,0.25,267,3,76,1,n67-1,,,,,0
8,8,21.5,0.25,21.5,0.25,270,3,78,1,n68-1,,,,,0
8,8,21.75,0.25,21.75,0.25,273,3,79,1,n69-1,,,,,0
8,8,22.0,0.25,22.0,0.25,276,3,81,1,n70-1,,,,,0
8,8,22.25,0.25,22.25,0.25,279,3,83,1,n71-1,,,,,0
8,8,22.5,0.25,22.5,0.25,282,3,84,1,n72-1,,,,,0
8,8,22.75,0.25,22.75,0.25,285,3,86,1,n73-1,,,,,0
8,8,23.0,1.0,23.0,1.0,288,12,52,5,n81-1,IV6,,,,0
8,8,23.0,0.25,23.0,0.25,288,3,84,1,n74-1,,,,,0
8,8,23.0,1.0,23.0,1.0,288,12,55,5,n82-1,,,,,0
8,8,23.25,0.25,23.25,0.25,291,3,83,1,n75-1,,,,,0
8,8,23.5,0.25,23.5,0.25,294,3,81,1,n76-1,,,,,0
8,8,23.75,0.25,23.75,0.25,297,3,79,1,n77-1,,,,,0
9,9,24.0,0.25,24.0,0.25,300,3,78,1,n83-1,,,,,0
9,9,24.25,0.25,24.25,0.25,303,3,76,1,n84-1,,,,,0
9,9,24.5,0.25,24.5,0.25,306,3,74,1,n85-1,,,,,0
9,9,24.75,0.25,24.75,0.25,309,3,72,1,n86-1,,,,,0
9,9,25.0,0.25,25.0,0.25,312,3,71,1,n87-1,,,,,0
9,9,25.0,2.0,25.0,2.0,312,24,50,6,n97-1,V(64),,,,0
9,9,25.0,1.0,25.0,1.0,312,12,55,5,n95-1,,,,,0
9,9,25.25,0.25,25.25,0.25,315,3,74,1,n88-1,,,,,0
9,9,25.5,0.25,25.5,0.25,318,3,71,1,n89-1,,,,,0
9,9,25.75,0.25,25.75,0.25,321,3,67,1,n90-1,,,,,0
9,9,26.0,1.0,26.0,1.0,324,12,60,5,n96-1,V7,,,,0
9,9,26.0,0.25,26.0,0.25,324,3,69,1,n91-1,,,,,0
9,9,26.25,0.25,26.25,0.25,327,3,72,1,n92-1,,,,,0
9,9,26.5,0.25,26.5,0.25,330,3,69,1,n93-1,,,,,0
9,9,26.75,0.25,26.75,0.25,333,3,66,1,n94-1,,,,,0
10,10,27.0,1.0,27.0,1.0,336,12,55,6,n105-1,I|PAC},3.0,3/4,},3
10,10,27.0,1.0,27.0,1.0,336,12,59,5,n102-1,,,,,0
10,10,27.0,1.0,27.0,1.0,336,12,67,1,n98-1,,,,,0
10,10,28.0,1.0,28.0,1.0,348,12,43,5,n103-1,,,,,0
10,10,29.0,0.75,29.0,0.75,360,9,67,1,n100-1,{,0.0,3/4,{,1
10,10,29.75,0.25,29.75,0.25,369,3,66,1,n101-1,,,,,0
11,11,30.0,2.0,30.0,2.0,372,24,48,6,n113-1,IV(4),,,,0
11,11,30.0,2.0,30.0,2.0,372,24,55,6,n114-1,,,,,0
11,11,30.0,0.5,30.0,0.5,372,6,66,1,n107-1,,,,,0
11,11,30.5,0.5,30.5,0.5,378,6,64,1,n108-1,IV,,,,0
11,11,31.0,1.0,31.0,1.0,384,12,64,1,n109-1,,,,,0
11,11,32.0,0.75,32.0,0.75,396,9,67,1,n110-1,,,,,0
11,11,32.75,0.25,32.75,0.25,405,3,64,1,n111-1,,,,,0
12,12,33.0,2.0,33.0,2.0,408,24,47,6,n122-1,I6(6),,,,0
12,12,33.0,2.0,33.0,2.0,408,24,55,6,n123-1,,,,,0
12,12,33.0,0.5,33.0,0.5,408,6,64,1,n116-1,,,,,0
12,12,33.5,0.5,33.5,0.5,414,6,62,1,n117-1,I6,,,,0
12,12,34.0,1.0,34.0,1.0,420,12,62,1,n118-1,,,,,0
12,12,35.0,0.75,35.0,0.75,432,9,79,1,n119-1,,,,,0
12,12,35.75,0.25,35.75,0.25,441,3,74,1,n120-1,,,,,0
13,13,36.0,1.0,36.0,1.0,444,12,57,5,n128-1,V43,,,,0
13,13,36.0,1.0,36.0,1.0,444,12,74,1,n125-1,,,,,0
13,13,36.0,1.0,36.0,1.0,444,12,60,5,n129-1,,,,,0
13,13,37.0,1.0,37.0,1.0,456,12,59,5,n131-1,,,,,0
13,13,37.0,1.0,37.0,1.0,456,12,74,1,n126-1,,,,,0
13,13,37.0,1.0,37.0,1.0,456,12,55,5,n130-1,I,,,,0
13,13,38.0,1.0,38.0,1.0,468,12,57,5,n133-1,,,,,0
13,13,38.0,1.0,38.0,1.0,468,12,54,5,n132-1,V6,,,,0
13,13,38.0,1.0,38.0,1.0,468,12,74,1,n127-1,,,,,0
