onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,xml_mn,mn,duration_qb,timesig,label,globalkey,localkey,chord,special,numeral,cadence,phraseend,chord_type
-0.5,0.5,-0.5,0.5,0,2,70,1,n1-1,0,0,2.5,2/4,Eb.I{,Eb,I,I,,I,,{,M
0.0,1.5,0.0,1.5,2,6,70,1,n4-1,1,1,,,,,,,,,,,
0.5,0.5,0.5,0.5,4,2,63,6,n10-1,1,1,,,,,,,,,,,
0.5,0.5,0.5,0.5,4,2,67,5,n7-1,1,1,,,,,,,,,,,
1.0,1.0,1.0,1.0,6,4,63,6,n11-1,1,1,,,,,,,,,,,
1.0,1.0,1.0,1.0,6,4,67,5,n8-1,1,1,,,,,,,,,,,
1.5,0.5,1.5,0.5,8,2,82,1,n5-1,1,1,,,,,,,,,,,
2.0,1.5,2.0,1.5,10,6,82,1,n12-1,2,2,2.0,2/4,V6,Eb,I,V6,,V,,,M
2.5,0.5,2.5,0.5,12,2,65,5,n15-1,2,2,,,,,,,,,,,
2.5,0.5,2.5,0.5,12,2,62,6,n18-1,2,2,,,,,,,,,,,
3.0,1.0,3.0,1.0,14,4,62,6,n19-1,2,2,,,,,,,,,,,
3.0,1.0,3.0,1.0,14,4,65,5,n16-1,2,2,,,,,,,,,,,
3.5,0.5,3.5,0.5,16,2,80,1,n13-1,2,2,,,,,,,,,,,
4.0,0.0,4.0,0.0,18,0,80,1,n20-1,3,3,,,,,,,,,,,
4.0,0.5,4.0,0.5,18,2,79,1,n21-1,3,3,,,,,,,,,,,
4.0,0.5,4.0,0.5,18,2,63,5,n28-1,3,3,0.5,2/4,I,Eb,I,I,,I,,,M
4.5,0.5,4.5,0.5,20,2,55,5,n29-1,3,3,0.5,2/4,I6,Eb,I,I6,,I,,,M
4.5,0.25,4.5,0.25,20,1,77,1,n22-1,3,3,,,,,,,,,,,
4.75,0.25,4.75,0.25,21,1,75,1,n23-1,3,3,,,,,,,,,,,
5.0,0.5,5.0,0.5,22,2,56,5,n30-1,3,3,0.5,2/4,IV,Eb,I,IV,,IV,,,M
5.0,0.25,5.0,0.25,22,1,72,1,n24-1,3,3,,,,,,,,,,,
5.25,0.25,5.25,0.25,23,1,75,1,n25-1,3,3,,,,,,,,,,,
5.5,0.25,5.5,0.25,24,1,74,1,n26-1,3,3,,,,,,,,,,,
5.5,0.5,5.5,0.5,24,2,58,5,n31-1,3,3,0.5,2/4,V,Eb,I,V,,V,,,M
5.75,0.25,5.75,0.25,25,1,77,1,n27-1,3,3,,,,,,,,,,,
6.0,0.5,6.0,0.5,26,2,60,5,n38-1,4,4,0.5,2/4,vi,Eb,I,vi,,vi,,,m
6.0,0.25,6.0,0.25,26,1,75,1,n32-1,4,4,,,,,,,,,,,
6.25,0.25,6.25,0.25,27,1,79,1,n33-1,4,4,,,,,,,,,,,
6.5,0.5,6.5,0.5,28,2,62,5,n39-1,4,4,0.5,2/4,viio,Eb,I,viio,,vii,,,o
6.5,0.25,6.5,0.25,28,1,77,1,n34-1,4,4,,,,,,,,,,,
6.75,0.25,6.75,0.25,29,1,80,1,n35-1,4,4,,,,,,,,,,,
7.0,0.5,7.0,0.5,30,2,63,5,n40-1,4,4,3.0,2/4,I,Eb,I,I,,I,,,M
7.0,0.5,7.0,0.5,30,2,79,1,n36-1,4,4,,,,,,,,,,,
7.5,0.5,7.5,0.5,32,2,70,1,n37-1,4,4,,,,,,,,,,,
8.0,1.5,8.0,1.5,34,6,70,1,n42-1,5,5,,,,,,,,,,,
8.5,0.5,8.5,0.5,36,2,67,5,n45-1,5,5,,,,,,,,,,,
8.5,0.5,8.5,0.5,36,2,63,6,n48-1,5,5,,,,,,,,,,,
9.0,1.0,9.0,1.0,38,4,63,6,n49-1,5,5,,,,,,,,,,,
9.0,1.0,9.0,1.0,38,4,67,5,n46-1,5,5,,,,,,,,,,,
9.5,0.5,9.5,0.5,40,2,82,1,n43-1,5,5,,,,,,,,,,,
10.0,1.5,10.0,1.5,42,6,82,1,n50-1,6,6,2.0,2/4,V6,Eb,I,V6,,V,,,M
10.5,0.5,10.5,0.5,44,2,62,6,n56-1,6,6,,,,,,,,,,,
10.5,0.5,10.5,0.5,44,2,65,5,n53-1,6,6,,,,,,,,,,,
11.0,1.0,11.0,1.0,46,4,62,6,n57-1,6,6,,,,,,,,,,,
11.0,1.0,11.0,1.0,46,4,65,5,n54-1,6,6,,,,,,,,,,,
11.5,0.5,11.5,0.5,48,2,80,1,n51-1,6,6,,,,,,,,,,,
12.0,0.0,12.0,0.0,50,0,80,1,n58-1,7,7,,,,,,,,,,,
12.0,0.5,12.0,0.5,50,2,63,5,n66-1,7,7,0.5,2/4,I,Eb,I,I,,I,,,M
12.0,0.5,12.0,0.5,50,2,79,1,n59-1,7,7,,,,,,,,,,,
12.5,0.5,12.5,0.5,52,2,67,6,n70-1,7,7,0.5,2/4,I6,Eb,I,I6,,I,,,M
12.5,0.25,12.5,0.25,52,1,77,1,n60-1,7,7,,,,,,,,,,,
12.5,0.5,12.5,0.5,52,2,70,5,n67-1,7,7,,,,,,,,,,,
12.75,0.25,12.75,0.25,53,1,75,1,n61-1,7,7,,,,,,,,,,,
13.0,0.5,13.0,0.5,54,2,80,1,n62-1,7,7,,,,,,,,,,,
13.0,0.5,13.0,0.5,54,2,65,6,n71-1,7,7,0.5,2/4,V43,Eb,I,V43,,V,,,Mm7
13.0,0.5,13.0,0.5,54,2,74,2,n64-1,7,7,,,,,,,,,,,
13.0,0.5,13.0,0.5,54,2,70,5,n68-1,7,7,,,,,,,,,,,
13.5,0.5,13.5,0.5,56,2,79,1,n63-1,7,7,,,,,,,,,,,
13.5,0.5,13.5,0.5,56,2,75,2,n65-1,7,7,,,,,,,,,,,
13.5,0.5,13.5,0.5,56,2,70,5,n69-1,7,7,,,,,,,,,,,
13.5,0.5,13.5,0.5,56,2,63,6,n72-1,7,7,0.5,2/4,I,Eb,I,I,,I,,,M
14.0,0.5,14.0,0.5,58,2,58,5,n78-1,8,8,0.5,2/4,V(64)},Eb,I,V(64),,V,,},M
14.0,0.5,14.0,0.5,58,2,79,1,n73-1,8,8,,,,,,,,,,,
14.0,0.5,14.0,0.5,58,2,75,2,n76-1,8,8,,,,,,,,,,,
14.5,0.5,14.5,0.5,60,2,70,5,n79-1,8,8,1.0,2/4,V|HC,Eb,I,V,,V,HC,,M
14.5,0.5,14.5,0.5,60,2,74,2,n77-1,8,8,,,,,,,,,,,
14.5,0.5,14.5,0.5,60,2,77,1,n74-1,8,8,,,,,,,,,,,
15.0,0.5,15.0,0.5,62,2,58,5,n80-1,8,8,,,,,,,,,,,
15.5,0.5,15.5,0.5,64,2,77,1,n75-1,8,8,2.5,2/4,V.I{,Eb,V,I,,I,,{,M
16.0,0.25,16.0,0.25,66,1,58,5,n86-1,9,9,,,,,,,,,,,
16.0,0.25,16.0,0.25,66,1,76,1,n82-1,9,9,,,,,,,,,,,
16.25,0.25,16.25,0.25,67,1,65,5,n87-1,9,9,,,,,,,,,,,
16.25,0.75,16.25,0.75,67,3,77,1,n83-1,9,9,,,,,,,,,,,
16.5,0.25,16.5,0.25,68,1,62,5,n88-1,9,9,,,,,,,,,,,
16.75,0.25,16.75,0.25,69,1,65,5,n89-1,9,9,,,,,,,,,,,
17.0,0.25,17.0,0.25,70,1,58,5,n90-1,9,9,,,,,,,,,,,
17.25,0.25,17.25,0.25,71,1,65,5,n91-1,9,9,,,,,,,,,,,
17.5,0.5,17.5,0.5,72,2,77,1,n85-1,9,9,,,,,,,,,,,
17.5,0.25,17.5,0.25,72,1,62,5,n92-1,9,9,,,,,,,,,,,
17.75,0.25,17.75,0.25,73,1,65,5,n93-1,9,9,,,,,,,,,,,
18.0,0.75,18.0,0.75,74,3,87,1,n94-1,10,10,,,,,,,,,,,
18.0,0.25,18.0,0.25,74,1,57,5,n98-1,10,10,2.0,2/4,V65,Eb,V,V65,,V,,,Mm7
18.25,0.25,18.25,0.25,75,1,65,5,n99-1,10,10,,,,,,,,,,,
18.5,0.25,18.5,0.25,76,1,60,5,n100-1,10,10,,,,,,,,,,,
18.75,0.25,18.75,0.25,77,1,65,5,n101-1,10,10,,,,,,,,,,,
18.75,0.25,18.75,0.25,77,1,84,1,n95-1,10,10,,,,,,,,,,,
19.0,0.25,19.0,0.25,78,1,57,5,n102-1,10,10,,,,,,,,,,,
19.0,0.5,19.0,0.5,78,2,81,1,n96-1,10,10,,,,,,,,,,,
19.25,0.25,19.25,0.25,79,1,65,5,n103-1,10,10,,,,,,,,,,,
19.5,0.25,19.5,0.25,80,1,60,5,n104-1,10,10,,,,,,,,,,,
19.5,0.5,19.5,0.5,80,2,75,1,n97-1,10,10,,,,,,,,,,,
19.75,0.25,19.75,0.25,81,1,65,5,n105-1,10,10,,,,,,,,,,,
20.0,0.25,20.0,0.25,82,1,58,5,n110-1,11,11,2.0,2/4,I,Eb,V,I,,I,,,M
20.0,0.25,20.0,0.25,82,1,74,1,n106-1,11,11,,,,,,,,,,,
20.25,0.75,20.25,0.75,83,3,77,1,n107-1,11,11,,,,,,,,,,,
20.25,0.25,20.25,0.25,83,1,65,5,n111-1,11,11,,,,,,,,,,,
20.5,0.25,20.5,0.25,84,1,62,5,n112-1,11,11,,,,,,,,,,,
20.75,0.25,20.75,0.25,85,1,65,5,n113-1,11,11,,,,,,,,,,,
21.0,0.25,21.0,0.25,86,1,58,5,n114-1,11,11,,,,,,,,,,,
21.25,0.25,21.25,0.25,87,1,65,5,n115-1,11,11,,,,,,,,,,,
21.5,0.25,21.5,0.25,88,1,62,5,n116-1,11,11,,,,,,,,,,,
21.5,0.5,21.5,0.5,88,2,77,1,n109-1,11,11,,,,,,,,,,,
21.75,0.25,21.75,0.25,89,1,65,5,n117-1,11,11,,,,,,,,,,,
22.0,0.25,22.0,0.25,90,1,57,5,n122-1,12,12,2.0,2/4,V65,Eb,V,V65,,V,,,Mm7
22.0,0.75,22.0,0.75,90,3,87,1,n118-1,12,12,,,,,,,,,,,
22.25,0.25,22.25,0.25,91,1,65,5,n123-1,12,12,,,,,,,,,,,
22.5,0.25,22.5,0.25,92,1,60,5,n124-1,12,12,,,,,,,,,,,
22.75,0.25,22.75,0.25,93,1,65,5,n125-1,12,12,,,,,,,,,,,
22.75,0.25,22.75,0.25,93,1,84,1,n119-1,12,12,,,,,,,,,,,
23.0,0.25,23.0,0.25,94,1,57,5,n126-1,12,12,,,,,,,,,,,
23.0,0.5,23.0,0.5,94,2,81,1,n120-1,12,12,,,,,,,,,,,
23.25,0.25,23.25,0.25,95,1,65,5,n127-1,12,12,,,,,,,,,,,
23.5,0.25,23.5,0.25,96,1,60,5,n128-1,12,12,,,,,,,,,,,
23.5,0.5,23.5,0.5,96,2,75,1,n121-1,12,12,,,,,,,,,,,
23.75,0.25,23.75,0.25,97,1,65,5,n129-1,12,12,,,,,,,,,,,
24.0,1.0,24.0,1.0,98,4,58,5,n138-1,13,13,1.0,2/4,I,Eb,V,I,,I,,,M
24.0,0.25,24.0,0.25,98,1,74,1,n130-1,13,13,,,,,,,,,,,
24.25,0.25,24.25,0.25,99,1,75,1,n131-1,13,13,,,,,,,,,,,
24.5,0.25,24.5,0.25,100,1,77,1,n132-1,13,13,,,,,,,,,,,
24.75,0.25,24.75,0.25,101,1,79,1,n133-1,13,13,,,,,,,,,,,
25.0,1.0,25.0,1.0,102,4,62,5,n139-1,13,13,1.0,2/4,I6,Eb,V,I6,,I,,,M
25.0,0.25,25.0,0.25,102,1,77,1,n134-1,13,13,,,,,,,,,,,
25.25,0.25,25.25,0.25,103,1,79,1,n135-1,13,13,,,,,,,,,,,
25.5,0.25,25.5,0.25,104,1,81,1,n136-1,13,13,,,,,,,,,,,
25.75,0.25,25.75,0.25,105,1,82,1,n137-1,13,13,,,,,,,,,,,
26.0,0.25,26.0,0.25,106,1,78,1,n140-1,14,14,,,,,,,,,,,
26.0,1.0,26.0,1.0,106,4,63,5,n148-1,14,14,2.0,2/4,ii6,Eb,V,ii6,,ii,,,m
26.25,0.25,26.25,0.25,107,1,79,1,n141-1,14,14,,,,,,,,,,,
26.5,0.25,26.5,0.25,108,1,74,1,n142-1,14,14,,,,,,,,,,,
26.75,0.25,26.75,0.25,109,1,75,1,n143-1,14,14,,,,,,,,,,,
27.0,0.25,27.0,0.25,110,1,71,1,n144-1,14,14,,,,,,,,,,,
27.25,0.25,27.25,0.25,111,1,72,1,n145-1,14,14,,,,,,,,,,,
27.5,0.25,27.5,0.25,112,1,67,1,n146-1,14,14,,,,,,,,,,,
27.5,0.5,27.5,0.5,112,2,51,5,n150-1,14,14,,,,,,,,,,,
27.5,0.5,27.5,0.5,112,2,63,5,n151-1,14,14,,,,,,,,,,,
27.75,0.25,27.75,0.25,113,1,72,1,n147-1,14,14,,,,,,,,,,,
28.0,1.0,28.0,1.0,114,4,53,6,n161-1,15,15,0.5,2/4,V(64)},Eb,V,V(64),,V,,},M
28.0,0.5,28.0,0.5,114,2,70,1,n152-1,15,15,,,,,,,,,,,
28.0,0.5,28.0,0.5,114,2,62,5,n155-1,15,15,,,,,,,,,,,
28.5,0.5,28.5,0.5,116,2,60,5,n156-1,15,15,1.5,2/4,V|HC,Eb,V,V,,V,HC,,M
28.5,0.5,28.5,0.5,116,2,69,1,n153-1,15,15,,,,,,,,,,,
29.0,0.25,29.0,0.25,118,1,53,5,n157-1,15,15,0.0,2/4,{,Eb,V,,,,,{,
29.25,0.25,29.25,0.25,119,1,55,5,n158-1,15,15,,,,,,,,,,,
29.5,0.25,29.5,0.25,120,1,51,5,n159-1,15,15,,,,,,,,,,,
29.75,0.25,29.75,0.25,121,1,53,5,n160-1,15,15,,,,,,,,,,,
30.0,1.0,30.0,1.0,122,4,50,5,n166-1,16,16,2.0,2/4,I6,Eb,V,I6,,I,,,M
30.5,0.5,30.5,0.5,124,2,77,1,n163-1,16,16,,,,,,,,,,,
31.0,0.5,31.0,0.5,126,2,75,1,n164-1,16,16,,,,,,,,,,,
31.5,0.5,31.5,0.5,128,2,74,1,n165-1,16,16,,,,,,,,,,,
31.5,0.5,31.5,0.5,128,2,62,5,n168-1,16,16,,,,,,,,,,,
31.5,0.5,31.5,0.5,128,2,65,5,n169-1,16,16,,,,,,,,,,,
32.0,1.0,32.0,1.0,130,4,63,5,n174-1,17,17,1.5,2/4,ii6(#7),Eb,V,ii6(#7),,ii,,,m
32.0,1.0,32.0,1.0,130,4,67,5,n175-1,17,17,,,,,,,,,,,
32.5,0.5,32.5,0.5,132,2,71,1,n171-1,17,17,,,,,,,,,,,
33.0,0.5,33.0,0.5,134,2,71,1,n172-1,17,17,,,,,,,,,,,
33.5,0.5,33.5,0.5,136,2,67,5,n178-1,17,17,,,,,,,,,,,
33.5,0.5,33.5,0.5,136,2,72,1,n173-1,17,17,,,,,,,,,,,
33.5,0.5,33.5,0.5,136,2,63,5,n177-1,17,17,0.5,2/4,ii6,Eb,V,ii6,,ii,,,m
34.0,1.0,34.0,1.0,138,4,65,5,n183-1,18,18,2.0,2/4,V7,Eb,V,V7,,V,,,Mm7
34.0,1.0,34.0,1.0,138,4,69,5,n184-1,18,18,,,,,,,,,,,
34.5,0.5,34.5,0.5,140,2,79,1,n180-1,18,18,,,,,,,,,,,
35.0,0.5,35.0,0.5,142,2,77,1,n181-1,18,18,,,,,,,,,,,
35.5,0.5,35.5,0.5,144,2,69,5,n187-1,18,18,,,,,,,,,,,
35.5,0.5,35.5,0.5,144,2,65,5,n186-1,18,18,,,,,,,,,,,
35.5,0.5,35.5,0.5,144,2,75,1,n182-1,18,18,,,,,,,,,,,
36.0,1.0,36.0,1.0,146,4,70,5,n193-1,19,19,,,,,,,,,,,
36.0,1.0,36.0,1.0,146,4,67,5,n192-1,19,19,1.5,2/4,vi(#4),Eb,V,vi(#4),,vi,,,m
36.5,0.5,36.5,0.5,148,2,73,1,n189-1,19,19,,,,,,,,,,,
37.0,0.5,37.0,0.5,150,2,73,1,n190-1,19,19,,,,,,,,,,,
37.5,0.5,37.5,0.5,152,2,70,5,n196-1,19,19,,,,,,,,,,,
37.5,0.5,37.5,0.5,152,2,74,1,n191-1,19,19,,,,,,,,,,,
37.5,0.5,37.5,0.5,152,2,67,5,n195-1,19,19,0.5,2/4,vi,Eb,V,vi,,vi,,,m
38.0,0.25,38.0,0.25,154,1,50,5,n201-1,20,20,2.0,2/4,I6,Eb,V,I6,,I,,,M
38.0,2.0,38.0,2.0,154,8,82,1,n197-1,20,20,,,,,,,,,,,
38.0,1.0,38.0,1.0,154,4,77,2,n200-1,20,20,,,,,,,,,,,
38.0,1.0,38.0,1.0,154,4,74,2,n199-1,20,20,,,,,,,,,,,
38.0,1.0,38.0,1.0,154,4,70,2,n198-1,20,20,,,,,,,,,,,
38.25,0.25,38.25,0.25,155,1,58,5,n202-1,20,20,,,,,,,,,,,
38.5,0.25,38.5,0.25,156,1,53,5,n203-1,20,20,,,,,,,,,,,
38.75,0.25,38.75,0.25,157,1,58,5,n204-1,20,20,,,,,,,,,,,
39.0,0.25,39.0,0.25,158,1,50,5,n205-1,20,20,,,,,,,,,,,
39.25,0.25,39.25,0.25,159,1,58,5,n206-1,20,20,,,,,,,,,,,
39.5,0.25,39.5,0.25,160,1,53,5,n207-1,20,20,,,,,,,,,,,
39.75,0.25,39.75,0.25,161,1,58,5,n208-1,20,20,,,,,,,,,,,
40.0,1.0,40.0,1.0,162,4,75,2,n212-1,21,21,,,,,,,,,,,
40.0,1.0,40.0,1.0,162,4,72,2,n211-1,21,21,,,,,,,,,,,
