xml_mn,mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,label,duration_qb,timesig,globalkey,localkey,chord,numeral,chord_type,chord_label
0,0,-1.0,0.5,-2.0,1.0,0,12,77,1,n1-1,Bb.V65/ii{,2.0,2/2,Bb,I,V65/ii,V,Mm7,1
0,0,-0.5,0.5,-1.0,1.0,12,12,59,5,n4-1,,,,,,,,,0
0,0,-0.5,0.5,-1.0,1.0,12,12,67,5,n5-1,,,,,,,,,0
0,0,-0.5,0.5,-1.0,1.0,12,12,79,1,n2-1,,,,,,,,,0
1,1,0.0,1.0,0.0,2.0,24,24,60,5,n12-1,ii,2.0,2/2,Bb,I,ii,ii,m,1
1,1,0.0,1.0,0.0,2.0,24,24,67,5,n13-1,,,,,,,,,0
1,1,0.0,0.5,0.0,1.0,24,12,75,1,n7-1,,,,,,,,,0
1,1,0.0,0.0,0.0,0.0,24,0,77,1,n6-1,,,,,,,,,0
1,1,0.5,0.25,1.0,0.5,36,6,74,1,n8-1,,,,,,,,,0
1,1,0.75,0.25,1.5,0.5,42,6,72,1,n9-1,,,,,,,,,0
1,1,1.0,0.5,2.0,1.0,48,12,75,1,n10-1,V65,2.0,2/2,Bb,I,V65,V,Mm7,1
1,1,1.5,0.5,3.0,1.0,60,12,57,5,n15-1,,,,,,,,,0
1,1,1.5,0.5,3.0,1.0,60,12,65,5,n16-1,,,,,,,,,0
1,1,1.5,0.5,3.0,1.0,60,12,77,1,n11-1,,,,,,,,,0
2,2,2.0,0.0,4.0,0.0,72,0,75,1,n17-1,,,,,,,,,0
2,2,2.0,0.5,4.0,1.0,72,12,74,1,n18-1,,,,,,,,,0
2,2,2.0,1.0,4.0,2.0,72,24,58,5,n23-1,I,3.0,2/2,Bb,I,I,I,M,1
2,2,2.0,1.0,4.0,2.0,72,24,65,5,n24-1,,,,,,,,,0
2,2,2.5,0.25,5.0,0.5,84,6,72,1,n19-1,,,,,,,,,0
2,2,2.75,0.25,5.5,0.5,90,6,70,1,n20-1,,,,,,,,,0
2,2,3.0,0.5,6.0,1.0,96,12,77,1,n21-1,,,,,,,,,0
2,2,3.5,0.5,7.0,1.0,108,12,62,5,n26-1,I6,1.0,2/2,Bb,I,I6,I,M,1
2,2,3.5,0.5,7.0,1.0,108,12,70,5,n27-1,,,,,,,,,0
2,2,3.5,0.5,7.0,1.0,108,12,82,1,n22-1,,,,,,,,,0
3,3,4.0,0.5,8.0,1.0,120,12,63,6,n39-1,IV,1.0,2/2,Bb,I,IV,IV,M,1
3,3,4.0,1.0,8.0,2.0,120,24,70,5,n36-1,,,,,,,,,0
3,3,4.0,0.25,8.0,0.5,120,6,81,1,n28-1,,,,,,,,,0
3,3,4.25,0.25,8.5,0.5,126,6,79,1,n29-1,,,,,,,,,0
3,3,4.5,0.5,9.0,1.0,132,12,62,6,n40-1,I6,1.0,2/2,Bb,I,I6,I,M,1
3,3,4.5,0.25,9.0,0.5,132,6,79,1,n30-1,,,,,,,,,0
3,3,4.75,0.25,9.5,0.5,138,6,77,1,n31-1,,,,,,,,,0
3,3,5.0,0.5,10.0,1.0,144,12,69,5,n37-1,,,,,,,,,0
3,3,5.0,0.5,10.0,1.0,144,12,60,6,n41-1,viio6,1.0,2/2,Bb,I,viio6,vii,o,1
3,3,5.0,0.25,10.0,0.5,144,6,77,1,n32-1,,,,,,,,,0
