onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,xml_mn,mn,duration_qb,timesig,label,globalkey,localkey,chord,special,numeral,cadence,phraseend,chord_type
-1.0,0.5,-0.5,0.25,0,1,84,1,n1-1,0,0,2.0,3/8,F.I{,F,I,I,,I,,{,M
-0.5,0.5,-0.25,0.25,1,1,81,1,n2-1,0,0,,,,,,,,,,,
0.0,1.0,0.0,0.5,2,2,77,1,n4-1,1,1,,,,,,,,,,,
1.0,1.0,0.5,0.5,4,2,77,1,n5-1,1,1,,,,,,,,,,,
2.0,1.0,1.0,0.5,6,2,77,1,n6-1,1,1,,,,,,,,,,,
3.0,1.0,1.5,0.5,8,2,67,5,n12-1,2,2,1.5,3/8,V43,F,I,V43,,V,,,Mm7
3.0,1.0,1.5,0.5,8,2,72,5,n13-1,2,2,,,,,,,,,,,
3.0,0.0,1.5,0.0,8,0,76,1,n8-1,2,2,,,,,,,,,,,
3.0,1.0,1.5,0.5,8,2,82,1,n9-1,2,2,,,,,,,,,,,
6.0,1.0,3.0,0.5,14,2,81,1,n17-1,3,3,,,,,,,,,,,
6.0,0.0,3.0,0.0,14,0,77,1,n16-1,3,3,,,,,,,,,,,
6.0,1.0,3.0,0.5,14,2,72,5,n21-1,3,3,,,,,,,,,,,
6.0,1.0,3.0,0.5,14,2,65,5,n20-1,3,3,1.5,3/8,I,F,I,I,,I,,,M
9.0,1.0,4.5,0.5,20,2,79,1,n25-1,4,4,,,,,,,,,,,
9.0,1.0,4.5,0.5,20,2,72,5,n29-1,4,4,,,,,,,,,,,
9.0,1.0,4.5,0.5,20,2,70,5,n28-1,4,4,1.5,3/8,V2,F,I,V2,,V,,,Mm7
9.0,0.0,4.5,0.0,20,0,76,1,n24-1,4,4,,,,,,,,,,,
12.0,0.5,6.0,0.25,26,1,77,1,n32-1,5,5,,,,,,,,,,,
12.0,3.0,6.0,1.5,26,6,69,5,n38-1,5,5,1.5,3/8,I6,F,I,I6,,I,,,M
12.5,0.5,6.25,0.25,27,1,79,1,n33-1,5,5,,,,,,,,,,,
13.0,0.5,6.5,0.25,28,1,81,1,n34-1,5,5,,,,,,,,,,,
13.5,0.5,6.75,0.25,29,1,77,1,n35-1,5,5,,,,,,,,,,,
