onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,xml_mn,mn,duration_qb,timesig,label,globalkey,localkey,chord,special,numeral,cadence,phraseend,chord_type
-0.5,0.5,-0.5,0.5,0,2,67,1,n1-1,0,0,0.5,2/4,C.V{,C,I,V,,V,,{,M
0.0,2.0,0.0,2.0,2,8,72,1,n3-1,1,1,1.0,2/4,I6,C,I,I6,,I,,,M
0.5,0.5,0.5,0.5,4,2,64,5,n5-1,1,1,,,,,,,,,,,
0.5,0.5,0.5,0.5,4,2,67,5,n6-1,1,1,,,,,,,,,,,
1.0,0.5,1.0,0.5,6,2,65,5,n8-1,1,1,,,,,,,,,,,
1.0,0.5,1.0,0.5,6,2,62,5,n7-1,1,1,1.0,2/4,I,C,I,I,,I,,,M
1.5,0.5,1.5,0.5,8,2,64,5,n10-1,1,1,,,,,,,,,,,
1.5,0.5,1.5,0.5,8,2,60,5,n9-1,1,1,,,,,,,,,,,
2.0,2.0,2.0,2.0,10,8,77,1,n11-1,2,2,1.0,2/4,viio,C,I,viio,,vii,,,o
2.5,0.5,2.5,0.5,12,2,59,5,n13-1,2,2,,,,,,,,,,,
2.5,0.5,2.5,0.5,12,2,62,5,n14-1,2,2,,,,,,,,,,,
3.0,0.5,3.0,0.5,14,2,60,5,n16-1,2,2,,,,,,,,,,,
3.0,0.5,3.0,0.5,14,2,57,5,n15-1,2,2,1.0,2/4,V7,C,I,V7,,V,,,Mm7
3.5,0.5,3.5,0.5,16,2,55,5,n17-1,2,2,,,,,,,,,,,
3.5,0.5,3.5,0.5,16,2,59,5,n18-1,2,2,,,,,,,,,,,
4.0,0.5,4.0,0.5,18,2,60,5,n27-1,3,3,1.0,2/4,I,C,I,I,,I,,,M
4.0,0.25,4.0,0.25,18,1,76,1,n19-1,3,3,,,,,,,,,,,
4.25,0.25,4.25,0.25,19,1,79,1,n20-1,3,3,,,,,,,,,,,
4.5,0.5,4.5,0.5,20,2,72,5,n28-1,3,3,,,,,,,,,,,
4.5,0.25,4.5,0.25,20,1,77,1,n21-1,3,3,,,,,,,,,,,
4.75,0.25,4.75,0.25,21,1,76,1,n22-1,3,3,,,,,,,,,,,
5.0,0.5,5.0,0.5,22,2,65,5,n29-1,3,3,0.5,2/4,IV,C,I,IV,,IV,,,M
5.0,0.25,5.0,0.25,22,1,81,1,n23-1,3,3,,,,,,,,,,,
5.25,0.25,5.25,0.25,23,1,77,1,n24-1,3,3,,,,,,,,,,,
5.5,0.25,5.5,0.25,24,1,74,1,n25-1,3,3,,,,,,,,,,,
5.5,0.5,5.5,0.5,24,2,66,5,n30-1,3,3,0.5,2/4,V65/V,C,I,V65/V,,V,,,Mm7
5.75,0.25,5.75,0.25,25,1,72,1,n26-1,3,3,,,,,,,,,,,
6.0,0.25,6.0,0.25,26,1,71,1,n31-1,4,4,,,,,,,,,,,
6.0,1.0,6.0,1.0,26,4,67,5,n39-1,4,4,2.0,2/4,V|HC},C,I,V,,V,HC,},M
6.25,0.25,6.25,0.25,27,1,72,1,n32-1,4,4,,,,,,,,,,,
6.5,0.25,6.5,0.25,28,1,74,1,n33-1,4,4,,,,,,,,,,,
6.75,0.25,6.75,0.25,29,1,71,1,n34-1,4,4,,,,,,,,,,,
7.0,1.0,7.0,1.0,30,4,55,5,n40-1,4,4,,,,,,,,,,,
7.0,0.25,7.0,0.25,30,1,69,1,n35-1,4,4,,,,,,,,,,,
7.25,0.25,7.25,0.25,31,1,67,1,n36-1,4,4,,,,,,,,,,,
7.5,0.25,7.5,0.25,32,1,66,1,n37-1,4,4,,,,,,,,,,,
7.75,0.25,7.75,0.25,33,1,67,1,n38-1,4,4,,,,,,,,,,,
8.0,2.0,8.0,2.0,34,8,60,1,n41-1,5,5,1.0,2/4,I6{,C,I,I6,,I,,{,M
8.5,0.5,8.5,0.5,36,2,52,5,n43-1,5,5,,,,,,,,,,,
8.5,0.5,8.5,0.5,36,2,55,5,n44-1,5,5,,,,,,,,,,,
9.0,0.5,9.0,0.5,38,2,50,5,n45-1,5,5,1.0,2/4,I,C,I,I,,I,,,M
9.0,0.5,9.0,0.5,38,2,53,5,n46-1,5,5,,,,,,,,,,,
9.5,0.5,9.5,0.5,40,2,48,5,n47-1,5,5,,,,,,,,,,,
