onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,xml_mn,mn,duration_qb,timesig,volta,label,alt_label,globalkey,localkey,chord,special,numeral,cadence,phraseend,chord_type
238.25,0.25,476.5,0.5,11436,12,61,5,n1504-1,112,112,,,,,,,,,,,,,
238.5,0.25,477.0,0.5,11448,12,65,1,n1492-1,112,112,,,,,,,,,,,,,
238.5,0.25,477.0,0.5,11448,12,68,1,n1493-1,112,112,,,,,,,,,,,,,
238.5,0.25,477.0,0.5,11448,12,60,5,n1505-1,112,112,,,,,,,,,,,,,
238.75,0.25,477.5,0.5,11460,12,58,5,n1506-1,112,112,,,,,,,,,,,,,
238.75,0.25,477.5,0.5,11460,12,70,1,n1495-1,112,112,,,,,,,,,,,,,
238.75,0.25,477.5,0.5,11460,12,67,1,n1494-1,112,112,,,,,,,,,,,,,
239.0,0.25,478.0,0.5,11472,12,72,1,n1497-1,112,112,,,,,,,,,,,,,
239.0,0.25,478.0,0.5,11472,12,56,5,n1507-1,112,112,0.5,2/2,,i6,,F,i,i6,,i,,,m
239.0,0.25,478.0,0.5,11472,12,68,1,n1496-1,112,112,,,,,,,,,,,,,
239.25,0.125,478.5,0.25,11484,6,77,1,n1499-1,112,112,,,,,,,,,,,,,
239.25,0.0,478.5,0.0,11484,0,79,1,n1498-1,112,112,,,,,,,,,,,,,
239.25,0.25,478.5,0.5,11484,12,55,5,n1508-1,112,112,0.5,2/2,,#viio6,,F,i,#viio6,,#vii,,,o
239.375,0.125,478.75,0.25,11490,6,76,1,n1500-1,112,112,,,,,,,,,,,,,
239.5,0.25,479.0,0.5,11496,12,53,5,n1509-1,112,112,0.5,2/2,,i,,F,i,i,,i,,,m
239.5,0.25,479.0,0.5,11496,12,77,1,n1501-1,112,112,,,,,,,,,,,,,
239.75,0.25,479.5,0.5,11508,12,79,1,n1502-1,112,112,,,,,,,,,,,,,
239.75,0.25,479.5,0.5,11508,12,51,5,n1510-1,112,112,0.5,2/2,,v6,,F,i,v6,,v,,,m
240.0,0.25,480.0,0.5,11520,12,80,1,n1511-1,113,113,,,,,,,,,,,,,
240.0,0.5,480.0,1.0,11520,24,49,5,n1519-1,113,113,2.0,2/2,,Ger6,,F,i,Ger6,Ger,vii,,,Ger
240.25,0.25,480.5,0.5,11532,12,71,1,n1512-1,113,113,,,,,,,,,,,,,
240.5,0.5,481.0,1.0,11544,24,61,5,n1520-1,113,113,,,,,,,,,,,,,
240.5,0.25,481.0,0.5,11544,12,71,1,n1513-1,113,113,,,,,,,,,,,,,
240.5,0.5,481.0,1.0,11544,24,65,5,n1521-1,113,113,,,,,,,,,,,,,
240.75,0.25,481.5,0.5,11556,12,71,1,n1514-1,113,113,,,,,,,,,,,,,
241.0,0.25,482.0,0.5,11568,12,80,1,n1515-1,113,113,,,,,,,,,,,,,
241.0,0.5,482.0,1.0,11568,24,50,5,n1522-1,113,113,2.0,2/2,,viio65/V,,F,i,viio65/V,,vii,,,o7
241.25,0.25,482.5,0.5,11580,12,71,1,n1516-1,113,113,,,,,,,,,,,,,
241.5,0.25,483.0,0.5,11592,12,71,1,n1517-1,113,113,,,,,,,,,,,,,
241.5,0.5,483.0,1.0,11592,24,65,5,n1524-1,113,113,,,,,,,,,,,,,
241.5,0.5,483.0,1.0,11592,24,62,5,n1523-1,113,113,,,,,,,,,,,,,
241.75,0.25,483.5,0.5,11604,12,71,1,n1518-1,113,113,,,,,,,,,,,,,
242.0,0.25,484.0,0.5,11616,12,72,1,n1525-1,114,114,1.0,2/2,,V,,F,i,V,,V,,,M
242.25,0.25,484.5,0.5,11628,12,73,1,n1526-1,114,114,,,,,,,,,,,,,
242.5,1.0,485.0,2.0,11640,48,61,5,n1533-1,114,114,,,,,,,,,,,,,
242.5,1.0,485.0,2.0,11640,48,67,1,n1527-1,114,114,,,,,,,,,,,,,
242.5,1.0,485.0,2.0,11640,48,70,1,n1528-1,114,114,,,,,,,,,,,,,
242.5,1.0,485.0,2.0,11640,48,52,5,n1532-1,114,114,2.0,2/2,,#viio7,,F,i,#viio7,,#vii,,,o7
243.5,0.5,487.0,1.0,11688,24,60,5,n1535-1,114,114,,,,,,,,,,,,,
243.5,0.5,487.0,1.0,11688,24,65,1,n1529-1,114,114,,,,,,,,,,,,,
243.5,0.5,487.0,1.0,11688,24,68,1,n1530-1,114,114,,,,,,,,,,,,,
243.5,0.5,487.0,1.0,11688,24,53,5,n1534-1,114,114,1.0,2/2,,i,,F,i,i,,i,,,m
244.0,0.25,488.0,0.5,11712,12,67,1,n1536-1,115,115,,,,,,,,,,,,,
244.0,1.0,488.0,2.0,11712,48,46,6,n1548-1,115,115,2.0,2/2,,iio6,,F,i,iio6,,ii,,,o
244.25,0.25,488.5,0.5,11724,12,73,1,n1537-1,115,115,,,,,,,,,,,,,
244.5,0.0,489.0,0.0,11736,0,72,1,n1538-1,115,115,,,,,,,,,,,,,
244.5,0.5,489.0,1.0,11736,24,58,5,n1545-1,115,115,,,,,,,,,,,,,
244.5,0.25,489.0,0.5,11736,12,70,1,n1539-1,115,115,,,,,,,,,,,,,
244.75,0.125,489.5,0.25,11748,6,68,1,n1540-1,115,115,,,,,,,,,,,,,
244.875,0.125,489.75,0.25,11754,6,67,1,n1541-1,115,115,,,,,,,,,,,,,
245.0,1.0,490.0,2.0,11760,48,48,6,n1549-1,115,115,1.0,2/2,,V(64),,F,i,V(64),,V,,,M
245.0,0.5,490.0,1.0,11760,24,65,1,n1542-1,115,115,,,,,,,,,,,,,
245.0,0.5,490.0,1.0,11760,24,56,5,n1546-1,115,115,,,,,,,,,,,,,
245.5,0.5,491.0,1.0,11784,24,55,5,n1547-1,115,115,1.0,2/2,,V,,F,i,V,,V,,,M
245.5,0.5,491.0,1.0,11784,24,64,1,n1543-1,115,115,,,,,,,,,,,,,
246.0,0.5,492.0,1.0,11808,24,53,5,n1555-1,116,116,2.0,2/2,1.0,i(94)|PAC},,F,i,i(94),,i,PAC,},m
246.0,1.0,492.0,2.0,11808,48,67,1,n1551-1,116,116,,,,,,,,,,,,,
246.0,1.0,492.0,2.0,11808,48,58,1,n1550-1,116,116,,,,,,,,,,,,,
246.5,0.5,493.0,1.0,11832,24,48,5,n1556-1,116,116,,,,,,,,,,,,,
247.0,0.5,494.0,1.0,11856,24,56,1,n1552-1,116,116,,,,,,,,,,,,,
247.0,0.5,494.0,1.0,11856,24,65,1,n1553-1,116,116,,,,,,,,,,,,,
247.0,0.5,494.0,1.0,11856,24,41,5,n1557-1,116,116,2.0,2/2,1.0,i,,F,i,i,,i,,,m
248.0,1.0,496.0,2.0,11904,48,72,1,n1377-2,103,103,,,,,,,,,,,,,
248.0,1.0,496.0,2.0,11904,48,69,1,n1376-2,103,103,2.0,2/2,,V/ii{,,F,bIII,V/ii,,V,,{,M
248.5,0.5,497.0,1.0,11928,24,65,5,n1381-2,103,103,,,,,,,,,,,,,
249.0,1.0,498.0,2.0,11952,48,73,1,n1379-2,103,103,,,,,,,,,,,,,
249.0,1.0,498.0,2.0,11952,48,70,1,n1378-2,103,103,2.0,2/2,,viio7/V/ii,,F,bIII,viio7/V/ii,,vii,,,o7
249.5,0.5,499.0,1.0,11976,24,64,5,n1383-2,103,103,,,,,,,,,,,,,
250.0,1.0,500.0,2.0,12000,48,69,2,n1390-2,104,104,,,,,,,,,,,,,
250.0,0.25,500.0,0.5,12000,12,72,1,n1384-2,104,104,,,,,,,,,,,,,
250.0,0.5,500.0,1.0,12000,24,63,5,n1392-2,104,104,1.0,2/2,,#viio43/ii,,F,bIII,#viio43/ii,,#vii,,,o7
250.25,0.25,500.5,0.5,12012,12,78,1,n1385-2,104,104,,,,,,,,,,,,,
250.5,0.25,501.0,0.5,12024,12,77,1,n1386-2,104,104,,,,,,,,,,,,,
250.5,0.25,501.0,0.5,12024,12,61,5,n1393-2,104,104,1.0,2/2,,V43/ii,,F,bIII,V43/ii,,V,,,Mm7
250.75,0.25,501.5,0.5,12036,12,75,1,n1387-2,104,104,,,,,,,,,,,,,
250.75,0.25,501.5,0.5,12036,12,60,5,n1394-2,104,104,,,,,,,,,,,,,
251.0,0.5,502.0,1.0,12048,24,70,2,n1391-2,104,104,,,,,,,,,,,,,
251.0,0.25,502.0,0.5,12048,12,58,5,n1395-2,104,104,2.0,2/2,,ii,,F,bIII,ii,,ii,,,m
251.0,0.5,502.0,1.0,12048,24,73,1,n1388-2,104,104,,,,,,,,,,,,,
251.25,0.25,502.5,0.5,12060,12,60,5,n1396-2,104,104,,,,,,,,,,,,,
251.5,0.25,503.0,0.5,12072,12,61,5,n1397-2,104,104,,,,,,,,,,,,,
251.75,0.25,503.5,0.5,12084,12,62,5,n1398-2,104,104,,,,,,,,,,,,,
252.0,1.0,504.0,2.0,12096,48,70,1,n1399-2,105,105,,,,,,,,,,,,,
252.0,1.0,504.0,2.0,12096,48,67,2,n1401-2,105,105,,,,,,,,,,,,,
252.0,0.5,504.0,1.0,12096,24,63,5,n1403-2,105,105,2.0,2/2,,V,,F,bIII,V,,V,,,M
252.5,0.5,505.0,1.0,12120,24,63,5,n1404-2,105,105,,,,,,,,,,,,,
253.0,1.0,506.0,2.0,12144,48,71,1,n1400-2,105,105,,,,,,,,,,,,,
253.0,1.0,506.0,2.0,12144,48,68,2,n1402-2,105,105,2.0,2/2,,viio7/V,,F,bIII,viio7/V,,vii,,,o7
253.5,0.5,507.0,1.0,12168,24,62,5,n1406-2,105,105,,,,,,,,,,,,,
254.0,1.0,508.0,2.0,12192,48,67,2,n1414-2,106,106,,,,,,,,,,,,,
254.0,0.5,508.0,1.0,12192,24,61,5,n1419-2,106,106,1.0,2/2,,vii%7,,F,bIII,vii%7,,vii,,,%7
254.0,0.25,508.0,0.5,12192,12,70,1,n1407-2,106,106,,,,,,,,,,,,,
254.25,0.25,508.5,0.5,12204,12,77,1,n1408-2,106,106,,,,,,,,,,,,,
254.5,0.25,509.0,0.5,12216,12,60,5,n1420-2,106,106,1.0,2/2,,V43,,F,bIII,V43,,V,,,Mm7
254.5,0.25,509.0,0.5,12216,12,75,1,n1409-2,106,106,,,,,,,,,,,,,
254.75,0.25,509.5,0.5,12228,12,73,1,n1410-2,106,106,,,,,,,,,,,,,
254.75,0.25,509.5,0.5,12228,12,58,5,n1421-2,106,106,,,,,,,,,,,,,
255.0,0.25,510.0,0.5,12240,12,56,5,n1422-2,106,106,1.0,2/2,,I},,F,bIII,I,,I,,},M
255.0,0.25,510.0,0.5,12240,12,68,2,n1415-2,106,106,,,,,,,,,,,,,
255.0,0.5,510.0,1.0,12240,24,72,1,n1411-2,106,106,,,,,,,,,,,,,
255.25,0.25,510.5,0.5,12252,12,55,5,n1423-2,106,106,,,,,,,,,,,,,
255.25,0.25,510.5,0.5,12252,12,70,2,n1416-2,106,106,,,,,,,,,,,,,
255.5,0.25,511.0,0.5,12264,12,68,2,n1417-2,106,106,,,,,,,,,,,,,
255.5,0.25,511.0,0.5,12264,12,53,5,n1424-2,106,106,0.5,2/2,,i.i{,,F,i,i,,i,,{,m
255.75,0.25,511.5,0.5,12276,12,72,1,n1413-2,106,106,,,,,,,,,,,,,
255.75,0.25,511.5,0.5,12276,12,51,5,n1425-2,106,106,0.5,2/2,,v6,,F,i,v6,,v,,,m
255.75,0.25,511.5,0.5,12276,12,67,2,n1418-2,106,106,,,,,,,,,,,,,
256.0,0.5,512.0,1.0,12288,24,50,5,n1437-2,107,107,1.0,2/2,,viio6/V,,F,i,viio6/V,,vii,,,o
256.0,0.5,512.0,1.0,12288,24,65,2,n1436-2,107,107,,,,,,,,,,,,,
256.0,0.25,512.0,0.5,12288,12,72,1,n1426-2,107,107,,,,,,,,,,,,,
256.25,0.25,512.5,0.5,12300,12,71,1,n1427-2,107,107,,,,,,,,,,,,,
256.5,0.5,513.0,1.0,12312,24,52,5,n1438-2,107,107,1.0,2/2,,#viio,,F,i,#viio,,#vii,,,o
256.75,0.25,513.5,0.5,12324,12,67,1,n1428-2,107,107,,,,,,,,,,,,,
256.75,0.25,513.5,0.5,12324,12,70,1,n1429-2,107,107,,,,,,,,,,,,,
257.0,0.5,514.0,1.0,12336,24,53,5,n1439-2,107,107,1.0,2/2,,I,,F,i,I,,I,,,M
257.0,0.25,514.0,0.5,12336,12,67,1,n1430-2,107,107,,,,,,,,,,,,,
257.0,0.25,514.0,0.5,12336,12,70,1,n1431-2,107,107,,,,,,,,,,,,,
257.25,0.25,514.5,0.5,12348,12,65,1,n1432-2,107,107,,,,,,,,,,,,,
257.25,0.25,514.5,0.5,12348,12,69,1,n1433-2,107,107,,,,,,,,,,,,,
257.5,0.5,515.0,1.0,12360,24,47,5,n1440-2,107,107,1.0,2/2,,viio7/V,,F,i,viio7/V,,vii,,,o7
257.75,0.25,515.5,0.5,12372,12,65,1,n1434-2,107,107,,,,,,,,,,,,,
257.75,0.25,515.5,0.5,12372,12,68,1,n1435-2,107,107,,,,,,,,,,,,,
258.0,0.5,516.0,1.0,12384,24,48,5,n1449-2,108,108,2.0,2/2,,V(64)},,F,i,V(64),,V,,},M
258.0,1.0,516.0,2.0,12384,48,65,2,n1448-2,108,108,,,,,,,,,,,,,
258.0,0.25,516.0,0.5,12384,12,68,1,n1441-2,108,108,,,,,,,,,,,,,
258.25,0.25,516.5,0.5,12396,12,70,1,n1442-2,108,108,,,,,,,,,,,,,
258.5,0.25,517.0,0.5,12408,12,71,1,n1443-2,108,108,,,,,,,,,,,,,
258.5,0.75,517.0,1.5,12408,36,60,5,n1450-2,108,108,,,,,,,,,,,,,
258.75,0.25,517.5,0.5,12420,12,72,1,n1444-2,108,108,,,,,,,,,,,,,
259.0,0.5,518.0,1.0,12432,24,67,1,n1446-2,108,108,,,,,,,,,,,,,
259.0,0.5,518.0,1.0,12432,24,64,1,n1445-2,108,108,2.0,2/2,,V|HC,,F,i,V,,V,HC,,M
259.25,0.25,518.5,0.5,12444,12,59,5,n1452-2,108,108,,,,,,,,,,,,,
259.5,0.25,519.0,0.5,12456,12,60,5,n1453-2,108,108,,,,,,,,,,,,,
259.75,0.25,519.5,0.5,12468,12,59,5,n1454-2,108,108,,,,,,,,,,,,,
260.0,1.0,520.0,2.0,12480,48,60,5,n1460-2,109,109,2.0,2/2,,V7{,,F,i,V7,,V,,{,Mm7
260.5,1.0,521.0,2.0,12504,48,70,1,n1456-2,109,109,,,,,,,,,,,,,
260.5,1.0,521.0,2.0,12504,48,76,1,n1457-2,109,109,,,,,,,,,,,,,
261.0,1.25,522.0,2.5,12528,60,61,5,n1461-2,109,109,1.0,2/2,,VI(6#2),,F,i,VI(6#2),,VI,,,M
261.5,0.5,523.0,1.0,12552,24,77,1,n1459-2,109,109,,,,,,,,,,,,,
261.5,0.5,523.0,1.0,12552,24,68,1,n1458-2,109,109,1.0,2/2,,VI,,F,i,VI,,VI,,,M
262.0,0.5,524.0,1.0,12576,24,70,1,n1462-2,110,110,,,,,,,,,,,,,
262.0,1.25,524.0,2.5,12576,60,67,2,n1466-2,110,110,2.0,2/2,,V2/III,,F,i,V2/III,,V,,,Mm7
262.25,0.25,524.5,0.5,12588,12,65,5,n1472-2,110,110,,,,,,,,,,,,,
262.5,0.25,525.0,0.5,12600,12,72,1,n1463-2,110,110,,,,,,,,,,,,,
262.5,0.25,525.0,0.5,12600,12,63,5,n1473-2,110,110,,,,,,,,,,,,,
262.75,0.25,525.5,0.5,12612,12,61,5,n1474-2,110,110,,,,,,,,,,,,,
262.75,0.25,525.5,0.5,12612,12,73,1,n1464-2,110,110,,,,,,,,,,,,,
263.0,1.0,526.0,2.0,12624,48,75,1,n1465-2,110,110,,,,,,,,,,,,,
263.0,1.25,526.0,2.5,12624,60,60,5,n1475-2,110,110,2.0,2/2,,IIIM65,,F,i,IIIM65,,III,,,MM7
263.25,0.25,526.5,0.5,12636,12,70,2,n1468-2,110,110,,,,,,,,,,,,,
263.5,0.25,527.0,0.5,12648,12,68,2,n1469-2,110,110,,,,,,,,,,,,,
263.75,0.25,527.5,0.5,12660,12,67,2,n1470-2,110,110,,,,,,,,,,,,,
264.0,1.25,528.0,2.5,12672,60,65,2,n1480-2,111,111,2.0,2/2,,VIM2,,F,i,VIM2,,VI,,,MM7
264.0,0.5,528.0,1.0,12672,24,68,1,n1476-2,111,111,,,,,,,,,,,,,
264.25,0.25,528.5,0.5,12684,12,63,5,n1486-2,111,111,,,,,,,,,,,,,
264.5,0.25,529.0,0.5,12696,12,70,1,n1477-2,111,111,,,,,,,,,,,,,
264.5,0.25,529.0,0.5,12696,12,61,5,n1487-2,111,111,,,,,,,,,,,,,
264.75,0.25,529.5,0.5,12708,12,72,1,n1478-2,111,111,,,,,,,,,,,,,
264.75,0.25,529.5,0.5,12708,12,60,5,n1488-2,111,111,,,,,,,,,,,,,
265.0,1.25,530.0,2.5,12720,60,58,5,n1489-2,111,111,2.0,2/2,,ii%65,,F,i,ii%65,,ii,,,%7
265.0,1.0,530.0,2.0,12720,48,73,1,n1479-2,111,111,,,,,,,,,,,,,
265.25,0.25,530.5,0.5,12732,12,68,2,n1482-2,111,111,,,,,,,,,,,,,
265.5,0.25,531.0,0.5,12744,12,67,2,n1483-2,111,111,,,,,,,,,,,,,
265.75,0.25,531.5,0.5,12756,12,65,2,n1484-2,111,111,,,,,,,,,,,,,
266.0,0.5,532.0,1.0,12768,24,64,1,n1490-2,112,112,2.0,2/2,,V2,,F,i,V2,,V,,,Mm7
266.0,0.5,532.0,1.0,12768,24,67,1,n1491-2,112,112,,,,,,,,,,,,,
266.25,0.25,532.5,0.5,12780,12,61,5,n1504-2,112,112,,,,,,,,,,,,,
266.5,0.25,533.0,0.5,12792,12,65,1,n1492-2,112,112,,,,,,,,,,,,,
266.5,0.25,533.0,0.5,12792,12,60,5,n1505-2,112,112,,,,,,,,,,,,,
266.5,0.25,533.0,0.5,12792,12,68,1,n1493-2,112,112,,,,,,,,,,,,,
266.75,0.25,533.5,0.5,12804,12,58,5,n1506-2,112,112,,,,,,,,,,,,,
266.75,0.25,533.5,0.5,12804,12,70,1,n1495-2,112,112,,,,,,,,,,,,,
266.75,0.25,533.5,0.5,12804,12,67,1,n1494-2,112,112,,,,,,,,,,,,,
267.0,0.25,534.0,0.5,12816,12,72,1,n1497-2,112,112,,,,,,,,,,,,,
267.0,0.25,534.0,0.5,12816,12,56,5,n1507-2,112,112,0.5,2/2,,i6,,F,i,i6,,i,,,m
267.0,0.25,534.0,0.5,12816,12,68,1,n1496-2,112,112,,,,,,,,,,,,,
267.25,0.0,534.5,0.0,12828,0,79,1,n1498-2,112,112,,,,,,,,,,,,,
267.25,0.25,534.5,0.5,12828,12,55,5,n1508-2,112,112,0.5,2/2,,#viio6,,F,i,#viio6,,#vii,,,o
267.25,0.125,534.5,0.25,12828,6,77,1,n1499-2,112,112,,,,,,,,,,,,,
267.375,0.125,534.75,0.25,12834,6,76,1,n1500-2,112,112,,,,,,,,,,,,,
267.5,0.25,535.0,0.5,12840,12,53,5,n1509-2,112,112,0.5,2/2,,i,,F,i,i,,i,,,m
267.5,0.25,535.0,0.5,12840,12,77,1,n1501-2,112,112,,,,,,,,,,,,,
267.75,0.25,535.5,0.5,12852,12,79,1,n1502-2,112,112,,,,,,,,,,,,,
267.75,0.25,535.5,0.5,12852,12,51,5,n1510-2,112,112,0.5,2/2,,v6,,F,i,v6,,v,,,m
268.0,0.25,536.0,0.5,12864,12,80,1,n1511-2,113,113,,,,,,,,,,,,,
268.0,0.5,536.0,1.0,12864,24,49,5,n1519-2,113,113,2.0,2/2,,Ger6,,F,i,Ger6,Ger,vii,,,Ger
268.25,0.25,536.5,0.5,12876,12,71,1,n1512-2,113,113,,,,,,,,,,,,,
268.5,0.5,537.0,1.0,12888,24,65,5,n1521-2,113,113,,,,,,,,,,,,,
268.5,0.5,537.0,1.0,12888,24,61,5,n1520-2,113,113,,,,,,,,,,,,,
268.5,0.25,537.0,0.5,12888,12,71,1,n1513-2,113,113,,,,,,,,,,,,,
268.75,0.25,537.5,0.5,12900,12,71,1,n1514-2,113,113,,,,,,,,,,,,,
269.0,0.25,538.0,0.5,12912,12,80,1,n1515-2,113,113,,,,,,,,,,,,,
269.0,0.5,538.0,1.0,12912,24,50,5,n1522-2,113,113,2.0,2/2,,viio65/V,,F,i,viio65/V,,vii,,,o7
269.25,0.25,538.5,0.5,12924,12,71,1,n1516-2,113,113,,,,,,,,,,,,,
269.5,0.5,539.0,1.0,12936,24,62,5,n1523-2,113,113,,,,,,,,,,,,,
269.5,0.5,539.0,1.0,12936,24,65,5,n1524-2,113,113,,,,,,,,,,,,,
269.5,0.25,539.0,0.5,12936,12,71,1,n1517-2,113,113,,,,,,,,,,,,,
269.75,0.25,539.5,0.5,12948,12,71,1,n1518-2,113,113,,,,,,,,,,,,,
270.0,0.25,540.0,0.5,12960,12,72,1,n1525-2,114,114,1.0,2/2,,V,,F,i,V,,V,,,M
270.25,0.25,540.5,0.5,12972,12,73,1,n1526-2,114,114,,,,,,,,,,,,,
270.5,1.0,541.0,2.0,12984,48,70,1,n1528-2,114,114,,,,,,,,,,,,,
270.5,1.0,541.0,2.0,12984,48,67,1,n1527-2,114,114,,,,,,,,,,,,,
270.5,1.0,541.0,2.0,12984,48,61,5,n1533-2,114,114,,,,,,,,,,,,,
270.5,1.0,541.0,2.0,12984,48,52,5,n1532-2,114,114,2.0,2/2,,#viio7,,F,i,#viio7,,#vii,,,o7
271.5,0.5,543.0,1.0,13032,24,53,5,n1534-2,114,114,1.0,2/2,,i,,F,i,i,,i,,,m
271.5,0.5,543.0,1.0,13032,24,60,5,n1535-2,114,114,,,,,,,,,,,,,
271.5,0.5,543.0,1.0,13032,24,68,1,n1530-2,114,114,,,,,,,,,,,,,
271.5,0.5,543.0,1.0,13032,24,65,1,n1529-2,114,114,,,,,,,,,,,,,
272.0,0.25,544.0,0.5,13056,12,67,1,n1536-2,115,115,,,,,,,,,,,,,
272.0,1.0,544.0,2.0,13056,48,46,6,n1548-2,115,115,2.0,2/2,,iio6,,F,i,iio6,,ii,,,o
272.25,0.25,544.5,0.5,13068,12,73,1,n1537-2,115,115,,,,,,,,,,,,,
272.5,0.0,545.0,0.0,13080,0,72,1,n1538-2,115,115,,,,,,,,,,,,,
272.5,0.25,545.0,0.5,13080,12,70,1,n1539-2,115,115,,,,,,,,,,,,,
272.5,0.5,545.0,1.0,13080,24,58,5,n1545-2,115,115,,,,,,,,,,,,,
272.75,0.125,545.5,0.25,13092,6,68,1,n1540-2,115,115,,,,,,,,,,,,,
272.875,0.125,545.75,0.25,13098,6,67,1,n1541-2,115,115,,,,,,,,,,,,,
273.0,1.0,546.0,2.0,13104,48,48,6,n1549-2,115,115,1.0,2/2,,V(64),,F,i,V(64),,V,,,M
273.0,0.5,546.0,1.0,13104,24,56,5,n1546-2,115,115,,,,,,,,,,,,,
273.0,0.5,546.0,1.0,13104,24,65,1,n1542-2,115,115,,,,,,,,,,,,,
273.5,0.5,547.0,1.0,13128,24,64,1,n1543-2,115,115,,,,,,,,,,,,,
273.5,0.5,547.0,1.0,13128,24,55,5,n1547-2,115,115,1.0,2/2,,V,,F,i,V,,V,,,M
274.0,2.0,548.0,4.0,13152,96,58,2,n1567-1,X1,116,,,,,,,,,,,,,
274.0,1.25,548.0,2.5,13152,60,64,1,n1559-1,X1,116,,,,,,,,,,,,,
274.0,2.0,548.0,4.0,13152,96,41,5,n1568-1,X1,116,4.0,2/2,2.0,I.I[I(74)|PAC},,F,I,I(74),,I,PAC,},M
274.0,2.0,548.0,4.0,13152,96,53,5,n1569-1,X1,116,,,,,,,,,,,,,
275.25,0.0625,550.5,0.125,13212,3,65,1,n1561-1,X1,116,,,,,,,,,,,,,
275.3125,0.0625,550.625,0.125,13215,3,64,1,n1562-1,X1,116,,,,,,,,,,,,,
275.375,0.0625,550.75,0.125,13218,3,62,1,n1563-1,X1,116,,,,,,,,,,,,,
275.4375,0.0625,550.875,0.125,13221,3,64,1,n1564-1,X1,116,,,,,,,,,,,,,
275.5,0.25,551.0,0.5,13224,12,67,1,n1565-1,X1,116,,,,,,,,,,,,,
275.75,0.25,551.5,0.5,13236,12,65,1,n1566-1,X1,116,,,,,,,,,,,,,
276.0,0.25,552.0,0.5,13248,12,65,1,n1570-1,117,117,,,,,,,,,,,,,
276.0,0.25,552.0,0.5,13248,12,57,2,n1584-1,117,117,,,,,,,,,,,,,
276.0,0.25,552.0,0.5,13248,12,41,5,n1586-1,117,117,2.0,2/2,,I,,F,I,I,,I,,,M
276.0,0.25,552.0,0.5,13248,12,53,5,n1587-1,117,117,,,,,,,,,,,,,
276.25,0.0625,552.5,0.125,13260,3,67,1,n1571-1,117,117,,,,,,,,,,,,,
276.3125,0.0625,552.625,0.125,13263,3,65,1,n1572-1,117,117,,,,,,,,,,,,,
276.375,0.0625,552.75,0.125,13266,3,64,1,n1573-1,117,117,,,,,,,,,,,,,
276.4375,0.0625,552.875,0.125,13269,3,65,1,n1574-1,117,117,,,,,,,,,,,,,
276.5,0.25,553.0,0.5,13272,12,69,1,n1575-1,117,117,,,,,,,,,,,,,
276.75,0.25,553.5,0.5,13284,12,67,1,n1576-1,117,117,,,,,,,,,,,,,
277.0,0.25,554.0,0.5,13296,12,64,2,n1585-1,117,117,,,,,,,,,,,,,
277.0,0.25,554.0,0.5,13296,12,67,1,n1577-1,117,117,,,,,,,,,,,,,
277.0,0.25,554.0,0.5,13296,12,41,5,n1590-1,117,117,2.0,2/2,,viio,,F,I,viio,,vii,,,o
277.0,0.25,554.0,0.5,13296,12,53,5,n1591-1,117,117,,,,,,,,,,,,,
277.25,0.0625,554.5,0.125,13308,3,69,1,n1578-1,117,117,,,,,,,,,,,,,
277.3125,0.0625,554.625,0.125,13311,3,67,1,n1579-1,117,117,,,,,,,,,,,,,
277.375,0.0625,554.75,0.125,13314,3,66,1,n1580-1,117,117,,,,,,,,,,,,,
277.4375,0.0625,554.875,0.125,13317,3,67,1,n1581-1,117,117,,,,,,,,,,,,,
277.5,0.25,555.0,0.5,13320,12,70,1,n1582-1,117,117,,,,,,,,,,,,,
277.75,0.25,555.5,0.5,13332,12,69,1,n1583-1,117,117,,,,,,,,,,,,,
278.0,0.16666667,556.0,0.33333334,13344,8,69,1,n1594-1,118,118,,,,,,,,,,,,,
278.0,0.25,556.0,0.5,13344,12,65,2,n1606-1,118,118,,,,,,,,,,,,,
278.0,0.5,556.0,1.0,13344,24,41,5,n1607-1,118,118,2.0,2/2,,I],,F,I,I,,I,,,M
278.0,0.5,556.0,1.0,13344,24,53,5,n1608-1,118,118,,,,,,,,,,,,,
278.16666,0.16666667,556.3333,0.33333334,13352,8,65,1,n1595-1,118,118,,,,,,,,,,,,,
278.33334,0.16666667,556.6667,0.33333334,13360,8,67,1,n1596-1,118,118,,,,,,,,,,,,,
278.5,0.16666667,557.0,0.33333334,13368,8,69,1,n1597-1,118,118,,,,,,,,,,,,,
278.66666,0.16666667,557.3333,0.33333334,13376,8,70,1,n1598-1,118,118,,,,,,,,,,,,,
278.83334,0.16666667,557.6667,0.33333334,13384,8,72,1,n1599-1,118,118,,,,,,,,,,,,,
279.0,0.16666667,558.0,0.33333334,13392,8,70,1,n1600-1,118,118,2.0,2/2,,ii,,F,I,ii,,ii,,,m
279.16666,0.16666667,558.3333,0.33333334,13400,8,67,1,n1601-1,118,118,,,,,,,,,,,,,
279.33334,0.16666667,558.6667,0.33333334,13408,8,69,1,n1602-1,118,118,,,,,,,,,,,,,
279.5,0.16666667,559.0,0.33333334,13416,8,70,1,n1603-1,118,118,,,,,,,,,,,,,
279.66666,0.16666667,559.3333,0.33333334,13424,8,72,1,n1604-1,118,118,,,,,,,,,,,,,
279.83334,0.16666667,559.6667,0.33333334,13432,8,74,1,n1605-1,118,118,,,,,,,,,,,,,
