xml_mn,mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,label,duration_qb,timesig,volta,phraseend,phrase_type
1,1,0.0,2.0,0.0,2.0,0,16,45,5,n5-1,A.I{,8.0,3/4,,{,1
1,1,0.0,2.0,0.0,2.0,0,16,57,5,n6-1,,,,,,0
1,1,0.0,0.0,0.0,0.0,0,0,61,1,n1-1,,,,,,0
1,1,0.0,2.0,0.0,2.0,0,16,69,1,n3-1,,,,,,0
1,1,0.0,0.0,0.0,0.0,0,0,64,1,n2-1,,,,,,0
1,1,2.0,1.0,2.0,1.0,16,8,64,1,n4-1,,,,,,0
1,1,2.0,1.0,2.0,1.0,16,8,52,5,n8-1,,,,,,0
1,1,2.0,1.0,2.0,1.0,16,8,40,5,n7-1,,,,,,0
2,2,3.0,0.5,3.0,0.5,24,4,73,1,n9-1,,,,,,0
2,2,3.0,1.0,3.0,1.0,24,8,61,5,n15-1,,,,,,0
2,2,3.0,1.0,3.0,1.0,24,8,49,5,n14-1,,,,,,0
2,2,3.5,0.25,3.5,0.25,28,2,74,1,n10-1,,,,,,0
2,2,3.75,0.25,3.75,0.25,30,2,71,1,n11-1,,,,,,0
2,2,4.0,1.0,4.0,1.0,32,8,45,5,n16-1,,,,,,0
2,2,4.0,1.0,4.0,1.0,32,8,69,1,n12-1,,,,,,0
2,2,4.0,1.0,4.0,1.0,32,8,57,5,n17-1,,,,,,0
3,3,6.0,0.5,6.0,0.5,48,4,76,1,n19-1,,,,,,0
3,3,6.5,0.25,6.5,0.25,52,2,78,1,n20-1,,,,,,0
3,3,6.75,0.25,6.75,0.25,54,2,74,1,n21-1,,,,,,0
3,3,7.0,1.0,7.0,1.0,56,8,73,1,n22-1,,,,,,0
3,3,8.0,1.0,8.0,1.0,64,8,66,5,n27-1,,,,,,0
3,3,8.0,1.0,8.0,1.0,64,8,85,1,n23-1,,,,,,0
3,3,8.0,1.0,8.0,1.0,64,8,57,5,n26-1,vi6,,,,,0
4,4,9.0,1.0,9.0,1.0,72,8,59,5,n31-1,V7/V,,,,,0
4,4,9.0,1.0,9.0,1.0,72,8,69,5,n32-1,,,,,,0
4,4,9.0,1.0,9.0,1.0,72,8,75,1,n28-1,,,,,,0
4,4,10.0,1.0,10.0,1.0,80,8,68,5,n34-1,,,,,,0
4,4,10.0,1.0,10.0,1.0,80,8,64,5,n33-1,V|HC,,,,,0
4,4,10.0,1.5,10.0,1.5,80,12,76,1,n29-1,,,,,,0
4,4,11.5,0.5,11.5,0.5,92,4,77,1,n30-1,,,,,,0
5,5,12.0,0.5,12.0,0.5,96,4,80,1,n36-1,,,,,,0
5,5,12.5,0.5,12.5,0.5,100,4,78,1,n37-1,,,,,,0
5,5,13.0,0.5,13.0,0.5,104,4,76,1,n38-1,,,,,,0
5,5,13.5,0.5,13.5,0.5,108,4,74,1,n39-1,,,,,,0
5,5,14.0,0.5,14.0,0.5,112,4,73,1,n40-1,,,,,,0
5,5,14.5,0.5,14.5,0.5,116,4,71,1,n41-1,,,,,,0
6,6,15.0,0.5,15.0,0.5,120,4,52,5,n48-1,V7,,,,,0
6,6,15.0,0.5,15.0,0.5,120,4,69,1,n43-1,,,,,,0
6,6,15.5,0.5,15.5,0.5,124,4,68,1,n44-1,,,,,,0
6,6,15.5,0.5,15.5,0.5,124,4,62,5,n49-1,,,,,,0
6,6,16.0,0.5,16.0,0.5,128,4,59,5,n50-1,,,,,,0
6,6,16.0,0.5,16.0,0.5,128,4,76,1,n45-1,,,,,,0
6,6,16.5,0.5,16.5,0.5,132,4,62,5,n51-1,,,,,,0
6,6,16.5,0.5,16.5,0.5,132,4,74,1,n46-1,,,,,,0
6,6,17.0,0.5,17.0,0.5,136,4,59,5,n52-1,,,,,,0
6,6,17.5,0.5,17.5,0.5,140,4,62,5,n53-1,,,,,,0
7,7,18.0,0.5,18.0,0.5,144,4,52,5,n59-1,V(64),,,,,0
7,7,18.0,0.5,18.0,0.5,144,4,71,1,n54-1,,,,,,0
7,7,18.5,0.5,18.5,0.5,148,4,61,5,n60-1,,,,,,0
7,7,18.5,0.5,18.5,0.5,148,4,69,1,n55-1,,,,,,0
7,7,19.0,0.5,19.0,0.5,152,4,57,5,n61-1,,,,,,0
7,7,19.0,0.5,19.0,0.5,152,4,78,1,n56-1,,,,,,0
7,7,19.5,0.5,19.5,0.5,156,4,61,5,n62-1,,,,,,0
7,7,19.5,0.5,19.5,0.5,156,4,76,1,n57-1,,,,,,0
7,7,20.0,0.5,20.0,0.5,160,4,57,5,n63-1,,,,,,0
7,7,20.5,0.5,20.5,0.5,164,4,61,5,n64-1,,,,,,0
8,8,21.0,0.5,21.0,0.5,168,4,50,5,n70-1,ii6,,,,,0
8,8,21.0,0.5,21.0,0.5,168,4,73,1,n65-1,,,,,,0
