xml_mn,mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,label,duration_qb,timesig,globalkey,localkey,chord,numeral,chord_type,chord_label
1,1,0.0,0.25,0.0,0.25,0,2,48,5,n15-1,C.I{,4.0,4/4,C,I,I,I,M,1
1,1,0.0,1.0,0.0,1.0,0,8,64,1,n1-1,,,,,,,,,0
1,1,0.0,1.0,0.0,1.0,0,8,67,1,n2-1,,,,,,,,,0
1,1,0.0,1.0,0.0,1.0,0,8,72,1,n3-1,,,,,,,,,0
1,1,0.25,0.25,0.25,0.25,2,2,60,5,n16-1,,,,,,,,,0
1,1,0.5,0.25,0.5,0.25,4,2,59,5,n17-1,,,,,,,,,0
1,1,0.75,0.25,0.75,0.25,6,2,60,5,n18-1,,,,,,,,,0
1,1,1.0,0.5,1.0,0.5,8,4,48,5,n19-1,,,,,,,,,0
1,1,1.5,0.25,1.5,0.25,12,2,72,1,n5-1,,,,,,,,,0
1,1,1.75,0.25,1.75,0.25,14,2,71,1,n6-1,,,,,,,,,0
1,1,2.0,0.25,2.0,0.25,16,2,74,1,n7-1,,,,,,,,,0
1,1,2.25,0.25,2.25,0.25,18,2,72,1,n8-1,,,,,,,,,0
1,1,2.5,0.25,2.5,0.25,20,2,76,1,n9-1,,,,,,,,,0
1,1,2.75,0.25,2.75,0.25,22,2,74,1,n10-1,,,,,,,,,0
1,1,3.0,0.25,3.0,0.25,24,2,77,1,n11-1,,,,,,,,,0
1,1,3.25,0.25,3.25,0.25,26,2,76,1,n12-1,,,,,,,,,0
1,1,3.5,0.25,3.5,0.25,28,2,79,1,n13-1,,,,,,,,,0
1,1,3.75,0.25,3.75,0.25,30,2,77,1,n14-1,,,,,,,,,0
2,2,4.0,1.0,4.0,1.0,32,8,74,1,n23-1,,,,,,,,,0
2,2,4.0,1.0,4.0,1.0,32,8,69,1,n22-1,,,,,,,,,0
2,2,4.0,1.0,4.0,1.0,32,8,53,5,n39-1,,,,,,,,,0
2,2,4.0,1.0,4.0,1.0,32,8,41,5,n38-1,ii6,2.0,4/4,C,I,ii6,ii,m,1
2,2,4.0,1.0,4.0,1.0,32,8,77,1,n24-1,,,,,,,,,0
2,2,4.0,1.0,4.0,1.0,32,8,81,1,n25-1,,,,,,,,,0
2,2,5.0,0.25,5.0,0.25,40,2,79,1,n26-1,,,,,,,,,0
2,2,5.25,0.25,5.25,0.25,42,2,77,1,n27-1,,,,,,,,,0
2,2,5.5,0.25,5.5,0.25,44,2,76,1,n28-1,,,,,,,,,0
2,2,5.75,0.25,5.75,0.25,46,2,74,1,n29-1,,,,,,,,,0
2,2,6.0,0.25,6.0,0.25,48,2,72,1,n30-1,V2,0.5,4/4,C,I,V2,V,Mm7,1
2,2,6.25,0.25,6.25,0.25,50,2,71,1,n31-1,,,,,,,,,0
2,2,6.5,0.25,6.5,0.25,52,2,72,1,n32-1,,,,,,,,,0
2,2,6.5,0.5,6.5,0.5,52,4,52,5,n42-1,I6,0.5,4/4,C,I,I6,I,M,1
