xml_mn,mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,label,duration_qb,timesig,phraseend,phrase_type
1,1,0.0,1.0,0.0,0.5,0,12,39,5,n6-1,Eb.I{,4.5,3/8,{,1
1,1,0.0,1.0,0.0,0.5,0,12,51,5,n7-1,,,,,0
1,1,1.0,1.0,0.5,0.5,12,12,79,1,n2-1,,,,,0
1,1,1.0,1.0,0.5,0.5,12,12,82,1,n3-1,,,,,0
1,1,2.0,1.0,1.0,0.5,24,12,77,1,n4-1,,,,,0
1,1,2.0,1.0,1.0,0.5,24,12,80,1,n5-1,,,,,0
2,2,3.0,1.0,1.5,0.5,36,12,79,1,n11-1,,,,,0
2,2,3.0,1.0,1.5,0.5,36,12,75,1,n10-1,,,,,0
2,2,4.0,1.0,2.0,0.5,48,12,77,1,n13-1,,,,,0
2,2,4.0,1.0,2.0,0.5,48,12,74,1,n12-1,,,,,0
2,2,5.0,1.0,2.5,0.5,60,12,72,1,n14-1,,,,,0
2,2,5.0,1.0,2.5,0.5,60,12,75,1,n15-1,,,,,0
3,3,6.0,1.0,3.0,0.5,72,12,74,1,n18-1,,,,,0
3,3,6.0,1.0,3.0,0.5,72,12,70,1,n17-1,,,,,0
3,3,7.0,1.0,3.5,0.5,84,12,72,1,n20-1,,,,,0
3,3,7.0,1.0,3.5,0.5,84,12,68,1,n19-1,,,,,0
3,3,8.0,1.0,4.0,0.5,96,12,67,1,n21-1,,,,,0
3,3,8.0,1.0,4.0,0.5,96,12,51,5,n24-1,,,,,0
3,3,8.0,1.0,4.0,0.5,96,12,70,1,n22-1,,,,,0
3,3,8.0,1.0,4.0,0.5,96,12,63,5,n25-1,,,,,0
4,4,9.0,1.0,4.5,0.5,108,12,50,5,n30-1,V6,,,,0
4,4,9.0,1.0,4.5,0.5,108,12,62,5,n31-1,,,,,0
4,4,9.0,1.0,4.5,0.5,108,12,65,2,n27-1,,,,,0
4,4,9.0,4.0,4.5,2.0,108,48,70,1,n26-1,,,,,0
4,4,10.0,1.0,5.0,0.5,120,12,60,5,n33-1,,,,,0
4,4,10.0,1.0,5.0,0.5,120,12,63,2,n28-1,,,,,0
4,4,10.0,1.0,5.0,0.5,120,12,48,5,n32-1,vi7,,,,0
4,4,11.0,2.0,5.5,1.0,132,24,62,2,n29-1,,,,,0
4,4,11.0,1.0,5.5,0.5,132,12,46,5,n34-1,V,,,,0
