xml_mn,mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,label,duration_qb,timesig,phraseend,phrase_type
0,0,-0.5,0.5,-0.5,0.5,0,2,70,1,n1-1,Eb.I{,2.5,2/4,{,1
1,1,0.0,1.5,0.0,1.5,2,6,70,1,n4-1,,,,,0
1,1,0.5,0.5,0.5,0.5,4,2,63,6,n10-1,,,,,0
1,1,0.5,0.5,0.5,0.5,4,2,67,5,n7-1,,,,,0
1,1,1.0,1.0,1.0,1.0,6,4,63,6,n11-1,,,,,0
1,1,1.0,1.0,1.0,1.0,6,4,67,5,n8-1,,,,,0
1,1,1.5,0.5,1.5,0.5,8,2,82,1,n5-1,,,,,0
2,2,2.0,1.5,2.0,1.5,10,6,82,1,n12-1,V6,,,,0
2,2,2.5,0.5,2.5,0.5,12,2,65,5,n15-1,,,,,0
2,2,2.5,0.5,2.5,0.5,12,2,62,6,n18-1,,,,,0
2,2,3.0,1.0,3.0,1.0,14,4,62,6,n19-1,,,,,0
2,2,3.0,1.0,3.0,1.0,14,4,65,5,n16-1,,,,,0
2,2,3.5,0.5,3.5,0.5,16,2,80,1,n13-1,,,,,0
3,3,4.0,0.0,4.0,0.0,18,0,80,1,n20-1,,,,,0
3,3,4.0,0.5,4.0,0.5,18,2,79,1,n21-1,,,,,0
3,3,4.0,0.5,4.0,0.5,18,2,63,5,n28-1,I,,,,0
3,3,4.5,0.5,4.5,0.5,20,2,55,5,n29-1,I6,,,,0
3,3,4.5,0.25,4.5,0.25,20,1,77,1,n22-1,,,,,0
3,3,4.75,0.25,4.75,0.25,21,1,75,1,n23-1,,,,,0
3,3,5.0,0.5,5.0,0.5,22,2,56,5,n30-1,IV,,,,0
3,3,5.0,0.25,5.0,0.25,22,1,72,1,n24-1,,,,,0
3,3,5.25,0.25,5.25,0.25,23,1,75,1,n25-1,,,,,0
3,3,5.5,0.25,5.5,0.25,24,1,74,1,n26-1,,,,,0
3,3,5.5,0.5,5.5,0.5,24,2,58,5,n31-1,V,,,,0
3,3,5.75,0.25,5.75,0.25,25,1,77,1,n27-1,,,,,0
4,4,6.0,0.5,6.0,0.5,26,2,60,5,n38-1,vi,,,,0
4,4,6.0,0.25,6.0,0.25,26,1,75,1,n32-1,,,,,0
4,4,6.25,0.25,6.25,0.25,27,1,79,1,n33-1,,,,,0
4,4,6.5,0.5,6.5,0.5,28,2,62,5,n39-1,viio,,,,0
4,4,6.5,0.25,6.5,0.25,28,1,77,1,n34-1,,,,,0
4,4,6.75,0.25,6.75,0.25,29,1,80,1,n35-1,,,,,0
4,4,7.0,0.5,7.0,0.5,30,2,63,5,n40-1,I,,,,0
4,4,7.0,0.5,7.0,0.5,30,2,79,1,n36-1,,,,,0
4,4,7.5,0.5,7.5,0.5,32,2,70,1,n37-1,,,,,0
5,5,8.0,1.5,8.0,1.5,34,6,70,1,n42-1,,,,,0
5,5,8.5,0.5,8.5,0.5,36,2,67,5,n45-1,,,,,0
5,5,8.5,0.5,8.5,0.5,36,2,63,6,n48-1,,,,,0
5,5,9.0,1.0,9.0,1.0,38,4,63,6,n49-1,,,,,0
5,5,9.0,1.0,9.0,1.0,38,4,67,5,n46-1,,,,,0
5,5,9.5,0.5,9.5,0.5,40,2,82,1,n43-1,,,,,0
6,6,10.0,1.5,10.0,1.5,42,6,82,1,n50-1,V6,,,,0
6,6,10.5,0.5,10.5,0.5,44,2,62,6,n56-1,,,,,0
6,6,10.5,0.5,10.5,0.5,44,2,65,5,n53-1,,,,,0
6,6,11.0,1.0,11.0,1.0,46,4,62,6,n57-1,,,,,0
6,6,11.0,1.0,11.0,1.0,46,4,65,5,n54-1,,,,,0
6,6,11.5,0.5,11.5,0.5,48,2,80,1,n51-1,,,,,0
7,7,12.0,0.0,12.0,0.0,50,0,80,1,n58-1,,,,,0
7,7,12.0,0.5,12.0,0.5,50,2,63,5,n66-1,I,,,,0
7,7,12.0,0.5,12.0,0.5,50,2,79,1,n59-1,,,,,0
7,7,12.5,0.5,12.5,0.5,52,2,67,6,n70-1,I6,,,,0
7,7,12.5,0.25,12.5,0.25,52,1,77,1,n60-1,,,,,0
7,7,12.5,0.5,12.5,0.5,52,2,70,5,n67-1,,,,,0
7,7,12.75,0.25,12.75,0.25,53,1,75,1,n61-1,,,,,0
7,7,13.0,0.5,13.0,0.5,54,2,80,1,n62-1,,,,,0
7,7,13.0,0.5,13.0,0.5,54,2,65,6,n71-1,V43,,,,0
7,7,13.0,0.5,13.0,0.5,54,2,74,2,n64-1,,,,,0
7,7,13.0,0.5,13.0,0.5,54,2,70,5,n68-1,,,,,0
