xml_mn,mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,label,duration_qb,timesig,cadence,cadence_type
0,0,-0.5,0.5,-0.5,0.5,0,2,67,1,n1-1,C.V{,0.5,2/4,,0
1,1,0.0,2.0,0.0,2.0,2,8,72,1,n3-1,I6,1.0,2/4,,0
1,1,0.5,0.5,0.5,0.5,4,2,64,5,n5-1,,,,,0
1,1,0.5,0.5,0.5,0.5,4,2,67,5,n6-1,,,,,0
1,1,1.0,0.5,1.0,0.5,6,2,65,5,n8-1,,,,,0
1,1,1.0,0.5,1.0,0.5,6,2,62,5,n7-1,I,1.0,2/4,,0
1,1,1.5,0.5,1.5,0.5,8,2,64,5,n10-1,,,,,0
1,1,1.5,0.5,1.5,0.5,8,2,60,5,n9-1,,,,,0
2,2,2.0,2.0,2.0,2.0,10,8,77,1,n11-1,viio,1.0,2/4,,0
2,2,2.5,0.5,2.5,0.5,12,2,59,5,n13-1,,,,,0
2,2,2.5,0.5,2.5,0.5,12,2,62,5,n14-1,,,,,0
2,2,3.0,0.5,3.0,0.5,14,2,60,5,n16-1,,,,,0
2,2,3.0,0.5,3.0,0.5,14,2,57,5,n15-1,V7,1.0,2/4,,0
2,2,3.5,0.5,3.5,0.5,16,2,55,5,n17-1,,,,,0
2,2,3.5,0.5,3.5,0.5,16,2,59,5,n18-1,,,,,0
3,3,4.0,0.5,4.0,0.5,18,2,60,5,n27-1,I,1.0,2/4,,0
3,3,4.0,0.25,4.0,0.25,18,1,76,1,n19-1,,,,,0
3,3,4.25,0.25,4.25,0.25,19,1,79,1,n20-1,,,,,0
3,3,4.5,0.5,4.5,0.5,20,2,72,5,n28-1,,,,,0
3,3,4.5,0.25,4.5,0.25,20,1,77,1,n21-1,,,,,0
3,3,4.75,0.25,4.75,0.25,21,1,76,1,n22-1,,,,,0
3,3,5.0,0.5,5.0,0.5,22,2,65,5,n29-1,IV,0.5,2/4,,0
3,3,5.0,0.25,5.0,0.25,22,1,81,1,n23-1,,,,,0
3,3,5.25,0.25,5.25,0.25,23,1,77,1,n24-1,,,,,0
3,3,5.5,0.25,5.5,0.25,24,1,74,1,n25-1,,,,,0
3,3,5.5,0.5,5.5,0.5,24,2,66,5,n30-1,V65/V,0.5,2/4,,0
3,3,5.75,0.25,5.75,0.25,25,1,72,1,n26-1,,,,,0
4,4,6.0,0.25,6.0,0.25,26,1,71,1,n31-1,,,,,0
4,4,6.0,1.0,6.0,1.0,26,4,67,5,n39-1,V|HC},2.0,2/4,HC,2
4,4,6.25,0.25,6.25,0.25,27,1,72,1,n32-1,,,,,0
4,4,6.5,0.25,6.5,0.25,28,1,74,1,n33-1,,,,,0
4,4,6.75,0.25,6.75,0.25,29,1,71,1,n34-1,,,,,0
4,4,7.0,1.0,7.0,1.0,30,4,55,5,n40-1,,,,,0
4,4,7.0,0.25,7.0,0.25,30,1,69,1,n35-1,,,,,0
4,4,7.25,0.25,7.25,0.25,31,1,67,1,n36-1,,,,,0
4,4,7.5,0.25,7.5,0.25,32,1,66,1,n37-1,,,,,0
4,4,7.75,0.25,7.75,0.25,33,1,67,1,n38-1,,,,,0
5,5,8.0,2.0,8.0,2.0,34,8,60,1,n41-1,I6{,1.0,2/4,,0
5,5,8.5,0.5,8.5,0.5,36,2,52,5,n43-1,,,,,0
5,5,8.5,0.5,8.5,0.5,36,2,55,5,n44-1,,,,,0
5,5,9.0,0.5,9.0,0.5,38,2,50,5,n45-1,I,1.0,2/4,,0
5,5,9.0,0.5,9.0,0.5,38,2,53,5,n46-1,,,,,0
5,5,9.5,0.5,9.5,0.5,40,2,48,5,n47-1,,,,,0
5,5,9.5,0.5,9.5,0.5,40,2,52,5,n48-1,,,,,0
6,6,10.0,2.0,10.0,2.0,42,8,65,1,n49-1,viio,1.0,2/4,,0
6,6,10.5,0.5,10.5,0.5,44,2,50,5,n52-1,,,,,0
6,6,10.5,0.5,10.5,0.5,44,2,47,5,n51-1,,,,,0
6,6,11.0,0.5,11.0,0.5,46,2,48,5,n54-1,,,,,0
6,6,11.0,0.5,11.0,0.5,46,2,45,5,n53-1,V7,1.0,2/4,,0
6,6,11.5,0.5,11.5,0.5,48,2,47,5,n56-1,,,,,0
6,6,11.5,0.5,11.5,0.5,48,2,43,5,n55-1,,,,,0
7,7,12.0,0.5,12.0,0.5,50,2,48,5,n65-1,I,1.0,2/4,,0
7,7,12.0,0.25,12.0,0.25,50,1,64,1,n57-1,,,,,0
7,7,12.25,0.25,12.25,0.25,51,1,67,1,n58-1,,,,,0
7,7,12.5,0.5,12.5,0.5,52,2,52,5,n66-1,,,,,0
7,7,12.5,0.25,12.5,0.25,52,1,72,1,n59-1,,,,,0
7,7,12.75,0.25,12.75,0.25,53,1,67,1,n60-1,,,,,0
7,7,13.0,0.25,13.0,0.25,54,1,66,1,n61-1,,,,,0
7,7,13.0,0.5,13.0,0.5,54,2,50,5,n67-1,V65,1.0,2/4,,0
7,7,13.25,0.25,13.25,0.25,55,1,67,1,n62-1,,,,,0
7,7,13.5,0.5,13.5,0.5,56,2,47,5,n68-1,,,,,0
7,7,13.5,0.25,13.5,0.25,56,1,65,1,n63-1,,,,,0
7,7,13.75,0.25,13.75,0.25,57,1,67,1,n64-1,,,,,0
8,8,14.0,0.5,14.0,0.5,58,2,48,5,n77-1,I,1.0,2/4,,0
8,8,14.0,0.25,14.0,0.25,58,1,64,1,n69-1,,,,,0
8,8,14.25,0.25,14.25,0.25,59,1,67,1,n70-1,,,,,0
8,8,14.5,0.5,14.5,0.5,60,2,52,5,n78-1,,,,,0
8,8,14.5,0.25,14.5,0.25,60,1,72,1,n71-1,,,,,0
8,8,14.75,0.25,14.75,0.25,61,1,67,1,n72-1,,,,,0
8,8,15.0,0.5,15.0,0.5,62,2,50,5,n79-1,V65,1.0,2/4,,0
8,8,15.0,0.25,15.0,0.25,62,1,66,1,n73-1,,,,,0
8,8,15.25,0.25,15.25,0.25,63,1,67,1,n74-1,,,,,0
8,8,15.5,0.5,15.5,0.5,64,2,47,5,n80-1,,,,,0
8,8,15.5,0.25,15.5,0.25,64,1,65,1,n75-1,,,,,0
8,8,15.75,0.25,15.75,0.25,65,1,67,1,n76-1,,,,,0
9,9,16.0,0.5,16.0,0.5,66,2,48,5,n89-1,I,0.5,2/4,,0
