onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,xml_mn,mn,duration_qb,timesig,label,globalkey,localkey,chord,special,numeral,cadence,phraseend,chord_type
-1.5,0.5,-1.5,0.5,0,8,72,1,n1-1,0,0,1.5,3/4,F.V{,F,I,V,,V,,{,M
-1.0,0.5,-1.0,0.5,8,8,72,1,n2-1,0,0,,,,,,,,,,,
-0.5,0.5,-0.5,0.5,16,8,72,1,n3-1,0,0,,,,,,,,,,,
0.0,0.75,0.0,0.75,24,12,72,1,n6-1,1,1,,,,,,,,,,,
0.0,2.0,0.0,2.0,24,32,60,5,n18-1,1,1,,,,,,,,,,,
0.0,2.0,0.0,2.0,24,32,53,5,n16-1,1,1,2.0,3/4,I,F,I,I,,I,,,M
0.0,2.0,0.0,2.0,24,32,57,5,n17-1,1,1,,,,,,,,,,,
0.75,0.0,0.75,0.0,36,0,72,1,n10-1,1,1,,,,,,,,,,,
0.75,0.25,0.75,0.25,36,4,77,1,n11-1,1,1,,,,,,,,,,,
0.75,0.0,0.75,0.0,36,0,74,1,n7-1,1,1,,,,,,,,,,,
0.75,0.0,0.75,0.0,36,0,71,1,n9-1,1,1,,,,,,,,,,,
0.75,0.0,0.75,0.0,36,0,72,1,n8-1,1,1,,,,,,,,,,,
1.0,0.5,1.0,0.5,40,8,72,1,n12-1,1,1,,,,,,,,,,,
1.5,0.5,1.5,0.5,48,8,69,1,n13-1,1,1,,,,,,,,,,,
2.0,1.0,2.0,1.0,56,16,55,5,n20-1,1,1,,,,,,,,,,,
2.0,1.0,2.0,1.0,56,16,58,5,n21-1,1,1,,,,,,,,,,,
2.0,1.0,2.0,1.0,56,16,48,5,n19-1,1,1,1.0,3/4,V7,F,I,V7,,V,,,Mm7
2.0,0.5,2.0,0.5,56,8,72,1,n14-1,1,1,,,,,,,,,,,
2.5,0.5,2.5,0.5,64,8,64,1,n15-1,1,1,,,,,,,,,,,
3.0,1.0,3.0,1.0,72,16,67,1,n22-1,2,2,,,,,,,,,,,
3.0,1.0,3.0,1.0,72,16,58,5,n31-1,2,2,,,,,,,,,,,
3.0,1.5,3.0,1.5,72,24,50,6,n39-1,2,2,1.0,3/4,vi(64),F,I,vi(64),,vi,,,m
4.0,0.5,4.0,0.5,88,8,65,1,n23-1,2,2,,,,,,,,,,,
4.0,0.5,4.0,0.5,88,8,57,5,n32-1,2,2,0.5,3/4,vi,F,I,vi,,vi,,,m
4.5,0.5,4.5,0.5,96,8,45,5,n33-1,2,2,0.5,3/4,I6,F,I,I6,,I,,,M
4.5,0.5,4.5,0.5,96,8,57,5,n34-1,2,2,,,,,,,,,,,
4.5,1.0,4.5,1.0,96,16,60,2,n29-1,2,2,,,,,,,,,,,
4.5,0.5,4.5,0.5,96,8,65,1,n24-1,2,2,,,,,,,,,,,
5.0,0.5,5.0,0.5,104,8,43,5,n35-1,2,2,0.5,3/4,V64,F,I,V64,,V,,,M
5.0,0.5,5.0,0.5,104,8,64,1,n25-1,2,2,,,,,,,,,,,
5.0,0.5,5.0,0.5,104,8,55,5,n36-1,2,2,,,,,,,,,,,
5.0,0.5,5.0,0.5,104,8,67,1,n26-1,2,2,,,,,,,,,,,
5.5,0.5,5.5,0.5,112,8,60,2,n30-1,2,2,,,,,,,,,,,
5.5,0.5,5.5,0.5,112,8,53,5,n38-1,2,2,,,,,,,,,,,
5.5,0.5,5.5,0.5,112,8,69,1,n28-1,2,2,,,,,,,,,,,
5.5,0.5,5.5,0.5,112,8,41,5,n37-1,2,2,0.5,3/4,I,F,I,I,,I,,,M
5.5,0.5,5.5,0.5,112,8,65,1,n27-1,2,2,,,,,,,,,,,
6.0,0.5,6.0,0.5,120,8,50,5,n49-1,3,3,0.5,3/4,IV6,F,I,IV6,,IV,,,M
6.0,0.75,6.0,0.75,120,12,70,1,n40-1,3,3,,,,,,,,,,,
6.0,1.5,6.0,1.5,120,24,65,2,n47-1,3,3,,,,,,,,,,,
6.0,0.5,6.0,0.5,120,8,62,5,n50-1,3,3,,,,,,,,,,,
6.5,0.5,6.5,0.5,128,8,58,5,n52-1,3,3,,,,,,,,,,,
6.5,0.5,6.5,0.5,128,8,46,5,n51-1,3,3,0.5,3/4,IV,F,I,IV,,IV,,,M
6.75,0.125,6.75,0.125,132,2,72,1,n41-1,3,3,,,,,,,,,,,
6.875,0.125,6.875,0.125,134,2,74,1,n42-1,3,3,,,,,,,,,,,
7.0,0.5,7.0,0.5,136,8,45,5,n53-1,3,3,1.0,3/4,I6,F,I,I6,,I,,,M
7.0,0.5,7.0,0.5,136,8,72,1,n43-1,3,3,,,,,,,,,,,
7.0,0.5,7.0,0.5,136,8,57,5,n54-1,3,3,,,,,,,,,,,
7.5,0.5,7.5,0.5,144,8,65,1,n44-1,3,3,,,,,,,,,,,
8.0,1.0,8.0,1.0,152,16,50,5,n56-1,3,3,1.0,3/4,viio6/V,F,I,viio6/V,,vii,,,o
8.0,1.0,8.0,1.0,152,16,59,2,n48-1,3,3,,,,,,,,,,,
8.0,0.5,8.0,0.5,152,8,64,1,n45-1,3,3,,,,,,,,,,,
8.5,0.5,8.5,0.5,160,8,65,1,n46-1,3,3,,,,,,,,,,,
9.0,2.0,9.0,2.0,168,32,48,5,n65-1,4,4,1.0,3/4,V(64)},F,I,V(64),,V,,},M
9.0,2.0,9.0,2.0,168,32,60,2,n64-1,4,4,,,,,,,,,,,
9.0,1.0,9.0,1.0,168,16,65,1,n57-1,4,4,,,,,,,,,,,
9.0,1.0,9.0,1.0,168,16,69,1,n58-1,4,4,,,,,,,,,,,
10.0,0.5,10.0,0.5,184,8,67,1,n60-1,4,4,,,,,,,,,,,
10.0,0.5,10.0,0.5,184,8,64,1,n59-1,4,4,2.0,3/4,V|HC,F,I,V,,V,HC,,M
10.5,0.5,10.5,0.5,192,8,67,1,n61-1,4,4,0.0,3/4,{,F,I,,,,,{,
11.0,1.0,11.0,1.0,200,16,60,5,n66-1,4,4,,,,,,,,,,,
11.0,0.5,11.0,0.5,200,8,67,1,n62-1,4,4,,,,,,,,,,,
11.0,1.0,11.0,1.0,200,16,64,5,n67-1,4,4,,,,,,,,,,,
11.5,0.5,11.5,0.5,208,8,67,1,n63-1,4,4,,,,,,,,,,,
12.0,2.0,12.0,2.0,216,32,62,5,n77-1,5,5,,,,,,,,,,,
12.0,0.0,12.0,0.0,216,0,67,1,n68-1,5,5,,,,,,,,,,,
12.0,0.75,12.0,0.75,216,12,79,1,n69-1,5,5,,,,,,,,,,,
12.0,2.0,12.0,2.0,216,32,59,5,n76-1,5,5,2.0,3/4,V.V65,F,V,V65,,V,,,Mm7
