xml_mn,mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,label,duration_qb,timesig,globalkey,localkey,chord,numeral,chord_type,chord_label
0,0,-1.0,0.5,-2.0,1.0,0,96,69,1,n1-1,D.V{,2.0,2/2,D,I,V,V,M,1
0,0,-0.5,0.5,-1.0,1.0,96,96,69,1,n2-1,,,,,,,,,0
1,1,0.0,0.25,0.0,0.5,192,48,62,5,n9-1,I,2.0,2/2,D,I,I,I,M,1
1,1,0.0,1.0,0.0,2.0,192,192,74,1,n4-1,,,,,,,,,0
1,1,0.25,0.25,0.5,0.5,240,48,69,5,n10-1,,,,,,,,,0
1,1,0.5,0.25,1.0,0.5,288,48,66,5,n11-1,,,,,,,,,0
1,1,0.75,0.25,1.5,0.5,336,48,69,5,n12-1,,,,,,,,,0
1,1,1.0,0.25,2.0,0.5,384,48,73,1,n5-1,,,,,,,,,0
1,1,1.0,0.25,2.0,0.5,384,48,59,5,n13-1,vi,2.0,2/2,D,I,vi,vi,m,1
1,1,1.25,0.25,2.5,0.5,432,48,74,1,n6-1,,,,,,,,,0
1,1,1.25,0.25,2.5,0.5,432,48,66,5,n14-1,,,,,,,,,0
1,1,1.5,0.25,3.0,0.5,480,48,62,5,n15-1,,,,,,,,,0
1,1,1.5,0.25,3.0,0.5,480,48,76,1,n7-1,,,,,,,,,0
1,1,1.75,0.25,3.5,0.5,528,48,78,1,n8-1,,,,,,,,,0
1,1,1.75,0.25,3.5,0.5,528,48,66,5,n16-1,,,,,,,,,0
2,2,2.0,0.25,4.0,0.5,576,48,55,5,n25-1,ii6,2.0,2/2,D,I,ii6,ii,m,1
2,2,2.0,0.25,4.0,0.5,576,48,79,1,n17-1,,,,,,,,,0
2,2,2.25,0.25,4.5,0.5,624,48,76,1,n18-1,,,,,,,,,0
2,2,2.25,0.25,4.5,0.5,624,48,64,5,n26-1,,,,,,,,,0
2,2,2.5,0.25,5.0,0.5,672,48,79,1,n19-1,,,,,,,,,0
2,2,2.5,0.25,5.0,0.5,672,48,59,5,n27-1,,,,,,,,,0
2,2,2.75,0.25,5.5,0.5,720,48,76,1,n20-1,,,,,,,,,0
2,2,2.75,0.25,5.5,0.5,720,48,64,5,n28-1,,,,,,,,,0
2,2,3.0,0.25,6.0,0.5,768,48,57,5,n29-1,V7,2.0,2/2,D,I,V7,V,Mm7,1
2,2,3.0,0.25,6.0,0.5,768,48,74,1,n21-1,,,,,,,,,0
2,2,3.25,0.25,6.5,0.5,816,48,73,1,n22-1,,,,,,,,,0
2,2,3.25,0.25,6.5,0.5,816,48,67,5,n30-1,,,,,,,,,0
2,2,3.5,0.25,7.0,0.5,864,48,64,5,n31-1,,,,,,,,,0
2,2,3.5,0.25,7.0,0.5,864,48,71,1,n23-1,,,,,,,,,0
2,2,3.75,0.25,7.5,0.5,912,48,69,1,n24-1,,,,,,,,,0
2,2,3.75,0.25,7.5,0.5,912,48,67,5,n32-1,,,,,,,,,0
3,3,4.0,0.25,8.0,0.5,960,48,81,1,n33-1,,,,,,,,,0
3,3,4.0,0.25,8.0,0.5,960,48,62,5,n41-1,I,2.0,2/2,D,I,I,I,M,1
3,3,4.25,0.25,8.5,0.5,1008,48,78,1,n34-1,,,,,,,,,0
3,3,4.25,0.25,8.5,0.5,1008,48,69,5,n42-1,,,,,,,,,0
3,3,4.5,0.25,9.0,0.5,1056,48,81,1,n35-1,,,,,,,,,0
3,3,4.5,0.25,9.0,0.5,1056,48,66,5,n43-1,,,,,,,,,0
3,3,4.75,0.25,9.5,0.5,1104,48,69,5,n44-1,,,,,,,,,0
3,3,4.75,0.25,9.5,0.5,1104,48,78,1,n36-1,,,,,,,,,0
3,3,5.0,0.25,10.0,0.5,1152,48,83,1,n37-1,,,,,,,,,0
3,3,5.0,0.25,10.0,0.5,1152,48,55,5,n45-1,ii6,2.0,2/2,D,I,ii6,ii,m,1
3,3,5.25,0.25,10.5,0.5,1200,48,64,5,n46-1,,,,,,,,,0
3,3,5.25,0.25,10.5,0.5,1200,48,79,1,n38-1,,,,,,,,,0
3,3,5.5,0.25,11.0,0.5,1248,48,59,5,n47-1,,,,,,,,,0
